datetime,cpu,mem
Sat Oct 22 14:14:14 GMT 2022,93,1343718
Sat Oct 22 14:14:16 GMT 2022,0,1414929
Sat Oct 22 14:14:19 GMT 2022,0,1326643
Sat Oct 22 14:14:23 GMT 2022,0.2,1292107
Sat Oct 22 14:14:26 GMT 2022,0.2,1317781
Sat Oct 22 14:14:31 GMT 2022,96,1336408
Sat Oct 22 14:14:34 GMT 2022,96,1356515
Sat Oct 22 14:14:38 GMT 2022,97,1362178
Sat Oct 22 14:14:41 GMT 2022,97,1375801
Sat Oct 22 14:14:44 GMT 2022,87,1392302
Sat Oct 22 14:14:46 GMT 2022,87,1401805
Sat Oct 22 14:14:49 GMT 2022,0,1410888
Sat Oct 22 14:14:52 GMT 2022,0,1417305
Sat Oct 22 14:14:55 GMT 2022,0.2,1420144
Sat Oct 22 14:14:57 GMT 2022,0.2,1420876
Sat Oct 22 14:14:59 GMT 2022,0.2,1412099
Sat Oct 22 14:15:01 GMT 2022,0,1407020
Sat Oct 22 14:15:04 GMT 2022,0,1413062
Sat Oct 22 14:15:06 GMT 2022,0,1417485
Sat Oct 22 14:15:09 GMT 2022,71,1411852
Sat Oct 22 14:15:11 GMT 2022,71,1408402
Sat Oct 22 14:15:14 GMT 2022,71,1413539
Sat Oct 22 14:15:16 GMT 2022,60,1410952
Sat Oct 22 14:15:19 GMT 2022,60,1416485
Sat Oct 22 14:15:21 GMT 2022,69,1417064
Sat Oct 22 14:15:24 GMT 2022,69,1421785
Sat Oct 22 14:15:26 GMT 2022,0.2,1419034
Sat Oct 22 14:15:29 GMT 2022,0.2,1407316
