Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
18,3764182,0
123,3712111,0
218,4209344,303145
313,3539989,0
423,3426263,0
520,3669157,0
617,4070968,164769
719,3272753,0
819,3091943,0
921,2679411,0
971,2694132,0
1070,3663978,0
1173,2484713,0
1276,2607260,0
1374,3522690,0
1476,2089374,0
1576,2960544,0
1675,2432792,0
1786,4019246,113047
1877,3948294,42095
1978,2815399,0
2079,3270377,0
2178,3659243,0
2286,3642431,0
2374,3065888,0
2480,3175272,0
2583,2449163,0
2683,2140849,0
2784,1990277,0
2883,1673660,0
2984,1855550,0
3085,1253262,0
3185,2018370,0
3285,1560443,0
3394,1776679,0
3490,2725471,0
3584,3324253,0
3696,3245043,0
3786,3223533,0
3891,2571055,0
3990,2915219,0
4092,2416331,0
4201,2972580,0
4294,3104660,0
4398,2420483,0
4502,2118237,0
4599,2183924,0
4700,2026321,0
4802,2200810,0
4902,2195182,0
5006,2200810,0
5104,2580290,0
5203,2512746,0
5314,2484603,0
5404,2524004,0
5502,2473346,0
5612,2580290,0
5709,2417059,0
5804,2524004,0
5908,2512746,0
6010,2524004,0
6109,2466881,0
6208,2562568,0
6313,2630112,0
6414,2579454,0
6514,2573826,0
6619,2573826,0
6711,2433109,0
6818,2573826,0
6919,2466881,0
7011,2506282,0
7113,2420102,0
7218,2346929,0
7315,2313157,0
7422,2273756,0
7521,2358186,0
7617,2296271,0
7717,2403216,0
7816,2403216,0
7930,2375072,0
8023,2245613,0
8117,2456460,0
8232,2456460,0
8327,2456460,0
8420,2197823,0
8522,2129131,0
8642,2074274,0
8726,2323625,0
8842,2193962,0
8939,2323625,0
9025,2323625,0
9128,2089245,0
9234,1989505,0
9327,2014440,0
9428,2014440,0
9531,2134128,0
9633,2054336,0
9743,2164050,0
9834,2154076,0
9938,2114180,0
10042,2169037,0
10146,2144102,0
10238,2139115,0
10346,2094232,0
10441,2313661,0
10553,2169037,0
10648,2263791,0
10763,2263791,0
10851,2203947,0
10944,2169037,0
11050,2313661,0
11151,2223895,0
11264,2313661,0
11351,2248830,0
11451,2263791,0
11558,2313661,0
11649,2313661,0
11773,2228882,0
11856,2313661,0
11963,2313661,0
12083,2268778,0
12163,2303697,0
12276,2303697,0
12384,2258814,0
12477,2243853,0
12579,2243853,0
12666,2253827,0
12778,2109203,0
12868,2253827,0
12984,2089255,0
13070,2129151,0
13179,2223885,0
13279,2159053,0
13376,2263781,0
13473,2064300,0
13576,2223885,0
13683,2124144,0
13721,2124144,0
13819,2174014,0
13928,2034378,0
14021,2323625,0
14121,2129131,0
14223,2178972,0
14329,2288687,0
14431,2218868,0
14536,2144063,0
14637,2188946,0
14738,2178972,0
14841,2238817,0
14950,2253778,0
15040,2293674,0
15142,2223876,0
15239,2233850,0
15346,2333590,0
15449,2273746,0
15543,2283720,0
15643,2139096,0
15744,2273746,0
15846,2099200,0
15945,2238837,0
16048,2188966,0
16145,2228872,0
16248,2223885,0
16348,2174014,0
