datetime,cpu,mem
Sat Oct 22 16:29:52 GMT 2022,43,1201991
Sat Oct 22 16:29:54 GMT 2022,0.2,1200264
Sat Oct 22 16:29:55 GMT 2022,0.2,1158644
Sat Oct 22 16:29:56 GMT 2022,0.2,1202324
Sat Oct 22 16:29:58 GMT 2022,0.2,1205347
Sat Oct 22 16:30:00 GMT 2022,0.1,1195318
Sat Oct 22 16:30:02 GMT 2022,0.1,1194214
Sat Oct 22 16:30:05 GMT 2022,0.1,1193588
Sat Oct 22 16:30:06 GMT 2022,0,1196402
Sat Oct 22 16:30:08 GMT 2022,0,1196246
Sat Oct 22 16:30:10 GMT 2022,0,1198883
Sat Oct 22 16:30:12 GMT 2022,34,1197256
Sat Oct 22 16:30:13 GMT 2022,34,1197320
Sat Oct 22 16:30:15 GMT 2022,34,1198763
Sat Oct 22 16:30:17 GMT 2022,33,1198538
Sat Oct 22 16:30:19 GMT 2022,33,1197706
Sat Oct 22 16:30:20 GMT 2022,33,1198705
Sat Oct 22 16:30:22 GMT 2022,37,1187178
Sat Oct 22 16:30:24 GMT 2022,37,1188454
Sat Oct 22 16:30:26 GMT 2022,37,1178253
Sat Oct 22 16:30:27 GMT 2022,37,1176644
Sat Oct 22 16:30:29 GMT 2022,37,1174964
Sat Oct 22 16:30:31 GMT 2022,37,1176955
Sat Oct 22 16:30:33 GMT 2022,96,1174940
Sat Oct 22 16:30:35 GMT 2022,96,1174932
Sat Oct 22 16:30:37 GMT 2022,96,1176371
Sat Oct 22 16:30:39 GMT 2022,35,1176624
Sat Oct 22 16:30:41 GMT 2022,35,1172524
Sat Oct 22 16:30:43 GMT 2022,35,1176975
Sat Oct 22 16:30:44 GMT 2022,46,1175156
Sat Oct 22 16:30:46 GMT 2022,46,1176494
Sat Oct 22 16:30:48 GMT 2022,46,1173367
Sat Oct 22 16:30:50 GMT 2022,40,1177028
Sat Oct 22 16:30:52 GMT 2022,40,1176680
Sat Oct 22 16:30:54 GMT 2022,40,1179357
Sat Oct 22 16:30:55 GMT 2022,34,1177370
Sat Oct 22 16:30:57 GMT 2022,34,1178630
Sat Oct 22 16:30:59 GMT 2022,34,1179439
Sat Oct 22 16:31:01 GMT 2022,45,1179748
Sat Oct 22 16:31:03 GMT 2022,45,1175557
Sat Oct 22 16:31:05 GMT 2022,45,1164613
