Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
63,1512542,0
128,1737371,0
229,1737872,0
328,1561263,0
429,1668815,0
530,1419104,0
631,1631837,0
731,1621537,0
831,2693790,809700
932,2657251,773161
1036,4098335,2214245
1135,4309912,2425822
1234,4765652,2881562
1334,4033836,2149746
1441,2545497,661407
1541,2802811,918721
1642,2773956,889866
1743,2602773,718683
1843,2716142,832052
1944,1734901,0
2045,1357235,0
2145,2144198,260108
2239,2780179,896089
2340,4346912,2462822
2442,4122956,2238866
2542,4186540,2302450
2643,2966281,1082191
2747,2691255,807165
2852,3547794,1663704
2948,3151872,1267782
3051,3429088,1544998
3094,3634532,1750442
3205,2939327,1055237
3297,2791334,907244
3402,2297254,413164
3501,3146794,1262704
3601,2142167,258077
3706,2293225,409135
3799,2924879,1040789
3905,2383518,499428
3998,1771059,0
4101,3933741,2049651
4207,3657478,1773388
4302,3553630,1669540
4403,4338840,2454750
4508,1635841,0
4602,2930231,1046141
4709,1430810,0
4814,1530344,0
4907,1492479,0
5015,908573,0
5108,1344407,0
5215,1533905,0
5306,2164233,280143
5415,1332006,0
5515,1079113,0
5608,892691,0
5710,1001506,0
5808,1192761,0
5913,593613,0
6011,963439,0
6115,1142692,0
6213,1900307,16217
6313,1741093,0
6419,1404363,0
6520,1237417,0
6623,1588371,0
6720,1088349,0
6820,1518555,0
6921,909097,0
7023,787206,0
7122,1382737,0
7220,1477039,0
7319,1074009,0
7422,1626107,0
7524,945742,0
7623,1035140,0
7729,572103,0
7822,715505,0
7922,722939,0
8023,999290,0
8123,1580067,0
8223,1587238,0
8327,1253262,0
8425,802679,0
8525,777017,0
8628,540688,0
8726,1435057,0
8828,698146,0
8929,399091,0
9028,659574,0
9128,1043095,0
9230,762677,0
9329,1297073,0
9431,1213185,0
9541,376592,0
9630,790828,0
9731,662295,0
9832,778118,0
9934,1546483,0
10053,722694,0
10141,952127,0
10236,1387989,0
10349,1469522,0
10441,2191040,306950
10538,1127599,0
10651,412231,0
10744,1045329,0
10843,758525,0
10939,820038,0
11038,1027970,0
11139,425682,0
11239,1099671,0
11340,726826,0
11439,774327,0
11540,734261,0
11641,1016649,0
11742,903812,0
11843,804995,0
11941,1607815,0
12042,1043522,0
12143,869933,0
12244,675440,0
12343,883701,0
12447,933425,0
12545,1288916,0
12644,1343333,0
12746,810528,0
12846,1085210,0
12947,726098,0
13047,1285972,0
13149,755385,0
13248,1219363,0
13348,839626,0
13454,852167,0
13555,1220686,0
13651,812390,0
13768,844462,0
13859,1166295,0
13957,1365917,0
14059,1061568,0
14158,1222515,0
14253,759859,0
14359,1480639,0
14459,1358747,0
14563,1050433,0
14655,1016125,0
14755,892009,0
14857,1538934,0
14956,1073759,0
15057,594865,0
15161,642973,0
15266,1013214,0
15365,993072,0
15460,1272706,0
15561,1123069,0
15665,653745,0
15765,735793,0
15864,652465,0
15963,2101663,217573
16064,993325,0
16165,780408,0
16269,716234,0
16366,779533,0
16470,691439,0
16569,723997,0
16671,742195,0
16771,652137,0
16871,549711,0
16974,769428,0
17075,1273248,0
17172,1100566,0
17273,1494979,0
17373,1525390,0
17483,839093,0
17584,864921,0
17683,991749,0
17786,874771,0
17890,753292,0
17988,1171282,0
18088,993072,0
18181,887022,0
18281,1137802,0
18381,927745,0
18482,766919,0
18581,1058929,0
18682,785121,0
18786,649610,0
18883,691452,0
18994,947748,0
