Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,2949736,1351241
98,2650900,1052405
200,2497242,898747
301,1111364,0
402,2301313,702818
501,2337163,738668
601,2387354,788859
702,2380123,781628
803,2351443,752948
906,2871922,1273427
997,4388931,2790436
1104,2304738,706243
1204,1613509,15014
1299,2256047,657552
1404,2689014,1090519
1499,3054937,1456442
1600,1743595,145100
1706,3146196,1547701
1802,767517,0
1902,3642816,2044321
2001,2397725,799230
2110,1555991,0
2206,2408864,810369
2310,1670284,71789
2419,1619371,20876
2512,1200598,0
2610,1489653,0
2734,1138157,0
2823,1316922,0
2919,1417568,0
3014,2552205,953710
3114,3088137,1489642
3210,4120440,2521945
3318,4452138,2853643
3416,3334508,1736013
3511,1940251,341756
3616,1987080,388585
3716,2794218,1195723
3819,3208870,1610375
3915,2942970,1344475
4021,3173885,1575390
4120,2590044,991549
4222,3001802,1403307
4323,2441829,843334
4419,1939853,341358
4520,1986145,387650
4623,2205196,606701
4724,2678422,1079927
4821,3121894,1523399
4922,3457814,1859319
5029,4077316,2478821
5120,4164349,2565854
5220,3472598,1874103
5324,3656002,2057507
5430,3101642,1503147
5528,2771817,1173322
5645,3015600,1417105
5727,3029941,1431446
5833,2599735,1001240
5931,2463503,865008
6030,2097828,499333
6131,1832535,234040
6233,2155189,556694
6331,1875555,277060
6431,2033298,434803
6534,2333308,734813
6633,1416669,0
6734,2935596,1337101
6840,2757477,1158982
6937,2592565,994070
7038,2018957,420462
7135,1710643,112148
7237,1316288,0
7338,1502711,0
7438,1854045,255550
7533,2018957,420462
7634,1319910,0
7735,647955,0
7836,804995,0
7935,1491612,0
8037,691960,0
8136,1551387,0
8236,1332397,0
8341,1321797,0
8448,1097591,0
8541,1131363,0
8652,675440,0
8746,1153877,0
8844,1345252,0
8944,911844,0
9049,1069447,0
9146,985017,0
9255,973760,0
9348,996274,0
9451,1238307,0
9551,681069,0
9650,1553513,0
9752,1666086,67591
9848,1649200,50705
9957,1784289,185794
10050,2071351,472856
10149,1970035,371540
10250,1542256,0
10352,591010,0
10453,947473,0
10555,1225135,0
10652,1788003,189508
10755,887415,0
10854,808614,0
10956,1082078,0
11054,1090987,0
11152,184356,0
11254,705887,0
11352,770167,0
11454,373426,0
11560,986902,0
11658,361152,0
11757,890247,0
11857,931988,0
11958,608813,0
12060,414611,0
12160,692755,0
12263,1014075,0
12363,2013161,414666
12463,737330,0
12564,640240,0
12667,486535,0
12765,843807,0
12865,726075,0
12968,367718,0
13068,832082,0
13168,418086,0
13269,893998,0
13372,518754,0
13469,928707,0
13570,704500,0
13669,1119142,0
13771,873361,0
13873,473725,0
13972,809100,0
14074,377699,0
14176,731430,0
14275,1373372,0
14375,803471,0
14477,378352,0
14577,613958,0
14678,559959,0
14780,561673,0
14880,454680,0
14981,1613733,15238
15080,948413,0
15186,1070364,0
15283,1179654,0
15387,1189518,0
15481,852113,0
15583,836745,0
15682,814383,0
15784,779081,0
15885,771916,0
15985,807073,0
16086,1332296,0
16186,948296,0
16286,1279104,0
16338,825523,0
16438,996258,0
16539,1041304,0
16638,985017,0
16740,958270,0
16840,853543,0
16940,646152,0
17045,361921,0
17145,1028481,0
17242,787241,0
17342,786544,0
17442,756085,0
17543,760580,0
17646,805123,0
17746,751993,0
17847,763003,0
17950,714003,0
18051,705076,0
18152,654368,0
18253,683825,0
18354,722930,0
18454,718466,0
18555,1029081,0
18655,1637943,39448
18756,1003153,0
18857,723405,0
18958,737413,0
19059,449144,0
19162,770021,0
19267,1013807,0
19359,837152,0
19460,973873,0
19560,896996,0
19662,803673,0
19761,949084,0
19861,1494536,0
19962,833906,0
20064,686444,0
20164,759325,0
20266,724453,0
20367,748753,0
20467,743893,0
20568,773053,0
20670,714733,0
20769,682747,0
20870,767863,0
20971,734088,0
21071,1136991,0
21176,1154524,0
21279,1429223,0
21381,1215793,0
21473,1080705,0
21574,730310,0
21674,774402,0
21775,781603,0
21879,922411,0
21979,695707,0
22079,695033,0
22181,608124,0
22281,245658,0
22382,735204,0
22485,700612,0
22582,717350,0
22683,722930,0
22784,672715,0
22884,1818061,219566
22984,1125734,0
23085,1192659,0
23190,828061,0
23299,1019436,0
23386,1075076,0
23486,1564770,0
23587,1030046,0
23687,1073117,0
23788,937680,0
23889,667791,0
23991,760419,0
24091,782443,0
24191,908702,0
24293,769759,0
24393,705026,0
24494,750826,0
24595,1412796,0
24695,1058190,0
24795,963403,0
24898,943309,0
24997,819429,0
25098,641654,0
25202,742984,0
25306,1300870,0
25399,1142620,0
25500,894004,0
25601,693794,0
25703,744307,0
25804,669666,0
25904,627314,0
26005,756800,0
26106,694923,0
26207,700148,0
26308,646474,0
26409,739668,0
26512,1013137,0
26609,1514112,0
26711,938964,0
26811,884157,0
26912,743443,0
27016,710683,0
27113,687826,0
27216,928410,0
27317,845640,0
27415,981775,0
27515,819901,0
27618,754062,0
27716,756853,0
27817,1131805,0
27918,1046932,0
28017,1042407,0
28118,979388,0
28219,933481,0
28321,986762,0
28421,983064,0
28523,686791,0
28624,717205,0
28724,781153,0
28825,755233,0
28925,763003,0
29026,753613,0
29128,727693,0
29230,453081,0
29331,612685,0
29433,576524,0
29528,720875,0
29629,983205,0
29729,682793,0
29830,806016,0
29931,791695,0
30032,693868,0
30133,699496,0
30234,715147,0
30336,814843,0
30437,792163,0
30536,922140,0
30636,1390281,0
30737,1009367,0
30839,1163672,0
30938,943309,0
31039,832165,0
31140,1038062,0
31240,807230,0
31340,1266451,0
31440,930419,0
31543,906069,0
31644,763614,0
31742,792071,0
31842,1256061,0
31946,795511,0
32044,752518,0
32094,735736,0
