datetime,cpu,mem
Sat Oct 22 19:02:15 GMT 2022,4.8,1253478
Sat Oct 22 19:02:16 GMT 2022,27,1250004
Sat Oct 22 19:02:17 GMT 2022,27,1186012
Sat Oct 22 19:02:19 GMT 2022,27,1224151
Sat Oct 22 19:02:20 GMT 2022,27,1261617
Sat Oct 22 19:02:22 GMT 2022,53,1255440
Sat Oct 22 19:02:23 GMT 2022,53,1246609
Sat Oct 22 19:02:25 GMT 2022,53,1242427
Sat Oct 22 19:02:27 GMT 2022,53,1231898
Sat Oct 22 19:02:28 GMT 2022,0.1,1231187
Sat Oct 22 19:02:30 GMT 2022,0.1,1232583
Sat Oct 22 19:02:32 GMT 2022,0.1,1233095
Sat Oct 22 19:02:33 GMT 2022,0.1,1233832
Sat Oct 22 19:02:34 GMT 2022,0,1232399
Sat Oct 22 19:02:36 GMT 2022,0,1232427
Sat Oct 22 19:02:37 GMT 2022,0,1233707
Sat Oct 22 19:02:39 GMT 2022,0,1233560
Sat Oct 22 19:02:41 GMT 2022,33,1231596
Sat Oct 22 19:02:42 GMT 2022,33,1232188
Sat Oct 22 19:02:43 GMT 2022,33,1233272
Sat Oct 22 19:02:45 GMT 2022,33,1235541
Sat Oct 22 19:02:46 GMT 2022,0.1,1233412
Sat Oct 22 19:02:48 GMT 2022,0.1,1228544
Sat Oct 22 19:02:50 GMT 2022,0.1,1230650
Sat Oct 22 19:02:51 GMT 2022,0.1,1223983
Sat Oct 22 19:02:52 GMT 2022,0,1221118
Sat Oct 22 19:02:54 GMT 2022,0,1218504
Sat Oct 22 19:02:56 GMT 2022,0,1220835
Sat Oct 22 19:02:58 GMT 2022,0.1,1220830
Sat Oct 22 19:02:59 GMT 2022,0.1,1221914
Sat Oct 22 19:03:00 GMT 2022,0.1,1220574
Sat Oct 22 19:03:01 GMT 2022,0.1,1221191
Sat Oct 22 19:03:03 GMT 2022,30,1220498
Sat Oct 22 19:03:05 GMT 2022,30,1221718
Sat Oct 22 19:03:07 GMT 2022,30,1221811
Sat Oct 22 19:03:08 GMT 2022,0,1216662
Sat Oct 22 19:03:09 GMT 2022,0,1217126
Sat Oct 22 19:03:11 GMT 2022,0,1217502
Sat Oct 22 19:03:12 GMT 2022,0,1219171
Sat Oct 22 19:03:14 GMT 2022,0.1,1218718
Sat Oct 22 19:03:16 GMT 2022,0.1,1219126
Sat Oct 22 19:03:17 GMT 2022,0.1,1220462
Sat Oct 22 19:03:18 GMT 2022,0.1,1223216
Sat Oct 22 19:03:20 GMT 2022,0,1223079
Sat Oct 22 19:03:21 GMT 2022,0,1224465
Sat Oct 22 19:03:23 GMT 2022,0,1223589
Sat Oct 22 19:03:25 GMT 2022,0,1225158
Sat Oct 22 19:03:26 GMT 2022,0.1,1222373
Sat Oct 22 19:03:28 GMT 2022,0.1,1208801
