Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
74,3050880,1633508
174,2836071,1418699
275,1655943,238571
382,1758588,341216
485,1842366,424994
576,1957087,539715
679,2893138,1475766
777,2363759,946387
880,3071605,1654233
981,3019052,1601680
1083,4356077,2938705
1185,5353548,3936176
1283,4686376,3269004
1384,4464762,3047390
1486,4029057,2611685
1590,3600854,2183482
1699,4071763,2654391
1788,3780743,2363371
1887,3217842,1800470
1988,3359592,1942220
2088,3264695,1847323
2190,2952119,1534747
2290,3706379,2289007
2390,3283934,1866562
2498,1928976,511604
2592,1451915,34543
2697,3220798,1803426
2799,2713164,1295792
2902,3110435,1693063
3002,3572631,2155259
3095,3821694,2404322
3194,3369458,1952086
3297,3093565,1676193
3395,2632742,1215370
3502,2950240,1532868
3605,3426828,2009456
3698,2863308,1445936
3803,1839387,422015
3904,1984521,567149
4005,2426319,1008947
4108,1390745,0
4202,3605456,2188084
4306,3642259,2224887
4403,3533960,2116588
4503,3986416,2569044
4602,2016511,599139
4702,1948446,531074
4804,2286972,869600
4905,2069103,651731
5011,2435728,1018356
5114,3036647,1619275
5213,2801516,1384144
5312,2272191,854819
5413,1316860,0
5514,1225770,0
5614,2578988,1161616
5715,1942747,525375
5815,2193700,776328
5908,2394524,977152
6009,2046411,629039
6110,2273904,856532
6210,1488883,71511
6310,1301128,0
6412,1074559,0
6512,773751,0
6614,926918,0
6713,1615796,198424
6813,1689506,272134
6914,1272706,0
7014,1889801,472429
7115,1285972,0
7217,898787,0
7320,1257292,0
7417,1006710,0
7518,1030947,0
7619,763674,0
7718,2307348,889976
7818,1156115,0
7919,1028923,0
8024,1342897,0
8131,1324155,0
8226,1644268,226896
8330,1682853,265481
8428,1726291,308919
8522,1150814,0
8624,893439,0
8722,999168,0
8827,688813,0
8925,879464,0
9025,1249048,0
9127,643539,0
9228,884424,0
9328,1129772,0
9428,1085210,0
9530,684345,0
9629,1594634,177262
9734,1057196,0
9832,1618310,200938
9932,1271284,0
10031,1483165,65793
10135,1418634,1262
10238,1665828,248456
10337,2290889,873517
10456,1308532,0
10542,1588850,171478
10640,1050433,0
10747,942882,0
10836,1071943,0
10938,696483,0
11037,1122134,0
11142,743054,0
11239,1321823,0
11339,725044,0
11440,1163752,0
11542,970488,0
11650,641471,0
11743,1227715,0
11843,1758801,341429
11944,484065,0
12047,820063,0
12145,708424,0
12245,920738,0
12346,825197,0
12447,763923,0
12551,714053,0
12648,1202944,0
12751,784854,0
12849,849867,0
12948,1022688,0
13048,1466245,48873
13149,1105924,0
13251,818634,0
13351,1121060,0
13455,748215,0
13552,1171251,0
13653,948978,0
13754,699796,0
13855,666547,0
13957,736715,0
14059,681456,0
14159,693181,0
14259,714003,0
14360,693917,0
14459,1012854,0
14560,756853,0
14661,508944,0
14764,305773,0
14864,1301569,0
14973,334129,0
15070,1065125,0
15171,961827,0
15271,936892,0
15322,1046606,0
15426,911957,0
15522,1285972,0
15623,1472112,54740
15728,1036632,0
15827,885521,0
15919,1021753,0
16019,928990,0
16118,842411,0
16220,688338,0
16325,693917,0
16420,1112099,0
16525,2131717,714345
16623,1191334,0
16723,1055100,0
16830,983351,0
16930,921931,0
17034,1190069,0
17130,1051654,0
17232,926918,0
17333,951853,0
17437,848505,0
17540,763674,0
17638,904319,0
17740,887022,0
17839,1031645,0
17940,1129304,0
18041,1086284,0
18133,1026586,0
18234,644234,0
18334,1302242,0
18446,861186,0
18545,1071943,0
18635,1114964,0
18735,928990,0
18838,963257,0
18938,887440,0
19040,728414,0
19138,916001,0
19239,719593,0
19341,625356,0
19441,680526,0
19542,642120,0
19642,764953,0
19745,734173,0
19843,680085,0
19946,808339,0
20043,1067061,0
20161,772321,0
20251,1111344,0
20358,935150,0
20458,1064132,0
20553,1157985,0
20654,971801,0
20754,703584,0
20855,855671,0
20963,733077,0
21059,808298,0
21162,841939,0
21257,986762,0
21358,1135512,0
21459,892009,0
21565,838977,0
21659,1695881,278509
21759,1203293,0
21862,1136474,0
21954,1122134,0
22056,879120,0
22155,973231,0
22256,825539,0
22356,775006,0
22459,700612,0
22559,842222,0
22659,733824,0
22762,750373,0
22863,752386,0
22963,738946,0
23064,607283,0
23166,654368,0
23270,678918,0
23366,572250,0
23470,1003623,0
23577,1531903,114531
23668,1100624,0
23768,825057,0
23869,773042,0
23970,873303,0
24068,1363352,0
24169,1383599,0
24271,1224041,0
24373,1389342,0
24477,1143400,0
24576,1258960,0
24676,1246135,0
24778,542613,0
24881,991080,0
24982,1118329,0
25084,1569902,152530
25177,1444825,27453
25278,1350072,0
25381,1665696,248324
25502,1183140,0
25590,1416614,0
25695,1325780,0
25793,1307980,0
25893,1381560,0
25993,1345548,0
26094,758196,0
26195,923102,0
26291,1593338,175966
26396,1670284,252912
26485,1540901,123529
26585,1795905,378533
26686,1577198,159826
26788,1295750,0
26887,1282209,0
27005,756202,0
27101,350565,0
27207,719582,0
27312,800695,0
27401,1021671,0
27502,1011697,0
27599,1113701,0
27701,1188883,0
27804,1150814,0
27896,1036093,0
27997,906970,0
28098,842411,0
28198,712801,0
28299,695033,0
28400,139977,0
28501,682327,0
28602,700148,0
28703,698947,0
28806,687607,0
28905,748423,0
29006,727693,0
