datetime,cpu,mem
Sat Oct 22 18:54:42 GMT 2022,9.3,1069104
Sat Oct 22 18:54:44 GMT 2022,4.2,1060501
Sat Oct 22 18:54:45 GMT 2022,4.2,1154194
Sat Oct 22 18:54:46 GMT 2022,4.2,1215108
Sat Oct 22 18:54:48 GMT 2022,4.2,1240205
Sat Oct 22 18:54:50 GMT 2022,56,1266726
Sat Oct 22 18:54:51 GMT 2022,56,1250832
Sat Oct 22 18:54:52 GMT 2022,56,1240195
Sat Oct 22 18:54:54 GMT 2022,56,1242218
Sat Oct 22 18:54:55 GMT 2022,34,1240326
Sat Oct 22 18:54:56 GMT 2022,34,1235598
Sat Oct 22 18:54:58 GMT 2022,34,1235034
Sat Oct 22 18:54:59 GMT 2022,34,1234631
Sat Oct 22 18:55:00 GMT 2022,29,1232454
Sat Oct 22 18:55:02 GMT 2022,29,1233570
Sat Oct 22 18:55:03 GMT 2022,29,1233754
Sat Oct 22 18:55:04 GMT 2022,29,1233199
Sat Oct 22 18:55:06 GMT 2022,27,1233066
Sat Oct 22 18:55:07 GMT 2022,27,1231938
Sat Oct 22 18:55:08 GMT 2022,27,1230678
Sat Oct 22 18:55:10 GMT 2022,27,1232523
Sat Oct 22 18:55:11 GMT 2022,29,1232230
Sat Oct 22 18:55:12 GMT 2022,29,1233130
Sat Oct 22 18:55:14 GMT 2022,29,1232126
Sat Oct 22 18:55:15 GMT 2022,29,1232303
Sat Oct 22 18:55:16 GMT 2022,28,1231866
Sat Oct 22 18:55:17 GMT 2022,28,1233174
Sat Oct 22 18:55:19 GMT 2022,28,1234358
Sat Oct 22 18:55:21 GMT 2022,28,1234565
Sat Oct 22 18:55:22 GMT 2022,0.8,1233052
Sat Oct 22 18:55:23 GMT 2022,0.8,1232924
Sat Oct 22 18:55:25 GMT 2022,0.8,1233912
Sat Oct 22 18:55:26 GMT 2022,0.8,1233985
Sat Oct 22 18:55:27 GMT 2022,28,1233840
Sat Oct 22 18:55:29 GMT 2022,28,1234096
Sat Oct 22 18:55:31 GMT 2022,28,1233768
Sat Oct 22 18:55:32 GMT 2022,28,1236217
Sat Oct 22 18:55:34 GMT 2022,35,1233988
Sat Oct 22 18:55:35 GMT 2022,35,1232924
Sat Oct 22 18:55:36 GMT 2022,35,1233188
Sat Oct 22 18:55:38 GMT 2022,35,1235581
Sat Oct 22 18:55:39 GMT 2022,28,1235252
Sat Oct 22 18:55:40 GMT 2022,28,1234040
Sat Oct 22 18:55:42 GMT 2022,28,1233936
Sat Oct 22 18:55:43 GMT 2022,28,1235105
Sat Oct 22 18:55:45 GMT 2022,37,1234984
Sat Oct 22 18:55:46 GMT 2022,37,1236248
Sat Oct 22 18:55:47 GMT 2022,37,1235412
Sat Oct 22 18:55:49 GMT 2022,37,1236425
Sat Oct 22 18:55:51 GMT 2022,0.1,1234936
Sat Oct 22 18:55:52 GMT 2022,0.1,1236352
Sat Oct 22 18:55:54 GMT 2022,0.1,1235505
Sat Oct 22 18:55:55 GMT 2022,0.1,1232730
