Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
13,2344272,798929
94,2258231,712888
196,2528932,983589
296,2308422,763079
396,2487674,942331
497,2157850,612507
596,1881773,336430
697,2717117,1171774
799,2486730,941387
899,3279437,1734094
999,2837267,1291924
1100,3827239,2281896
1202,3703463,2158120
1298,2088950,543607
1401,1837828,292485
1500,2265253,719910
1614,1591411,46068
1704,1669515,124172
1802,1734875,189532
1918,905167,0
2004,2222381,677038
2102,1360275,0
2208,1241547,0
2299,1720474,175131
2400,1722444,177101
2524,1172855,0
2614,1517723,0
2717,2288542,743199
2804,2554370,1009027
2905,3563778,2018435
3012,2611000,1065657
3109,2201888,656545
3209,3100503,1555160
3309,1991274,445931
3410,2709421,1164078
3514,3701303,2155960
3611,4019965,2474622
3711,2712149,1166806
3813,2099146,553803
3911,3341254,1795911
4017,1984311,438968
4111,3443356,1898013
4211,3662649,2117306
4314,2772434,1227091
4418,3182372,1637029
4517,3421481,1876138
4620,3105997,1560654
4721,3853948,2308605
4821,3728587,2183244
4922,3027540,1482197
5029,2887924,1342581
5118,2682816,1137473
5219,3017474,1472131
5320,3050102,1504759
5420,1993085,447742
5521,1951069,405726
5622,1741895,196552
5722,2055698,510355
5826,2818274,1272931
5930,2600776,1055433
6027,1704299,158956
6128,2449163,903820
6229,1968767,423424
6330,2191040,645697
6432,2234060,688717
6531,1674793,129450
6633,2363122,817779
6730,2284251,738908
6837,2129527,584184
6938,2520864,975521
7044,2649926,1104583
7133,2528034,982691
7232,2341612,796269
7330,1194736,0
7430,1190468,0
7533,1555920,10577
7634,1445350,0
7737,2470673,925330
7836,1753664,208321
7938,1466860,0
8038,1330628,0
8138,1158546,0
8237,1316288,0
8347,871742,0
8440,1359309,0
8539,798527,0
8641,873247,0
8739,787206,0
8841,686824,0
8943,866077,0
9046,521912,0
9139,794376,0
9240,364435,0
9340,1157032,0
9441,651503,0
9543,977780,0
9645,1209108,0
9745,1273035,0
9848,892119,0
9952,902192,0
10047,971668,0
10169,696701,0
10254,1063832,0
10352,1484054,0
10450,993634,0
10570,748141,0
10658,1913065,367722
10749,830226,0
10851,428576,0
10951,629531,0
11050,877398,0
11154,369861,0
11253,603870,0
11354,876144,0
11454,672484,0
11555,398576,0
11660,617686,0
11756,1024687,0
11860,700561,0
11961,2033404,488061
12060,1118841,0
12161,1103219,0
12259,639239,0
12362,610004,0
12460,674711,0
12563,552362,0
12662,794640,0
12764,432300,0
12863,560632,0
12970,660372,0
13069,1964615,419272
13164,1092724,0
13265,765695,0
13366,770086,0
13467,596871,0
13567,710242,0
13668,625463,0
13767,768382,0
13867,1281190,0
13968,701101,0
14070,695281,0
14170,554757,0
14273,830014,0
14371,1296374,0
14479,880417,0
14576,642501,0
14676,1260432,0
14780,887587,0
14873,722675,0
14976,593837,0
15073,860675,0
15174,869324,0
15274,745062,0
15375,711001,0
15474,740653,0
15577,700563,0
15678,607283,0
15779,734088,0
15879,787633,0
15978,1272079,0
16080,906970,0
16131,968244,0
16229,850533,0
16330,1298512,0
16430,888452,0
16532,772992,0
16632,891463,0
16734,844121,0
16834,638978,0
16935,779203,0
17037,722833,0
17136,722833,0
17238,777913,0
17338,760093,0
17439,703960,0
17541,700148,0
17640,714003,0
17744,717350,0
17841,683825,0
17942,628982,0
18044,803517,0
18152,1267968,0
18252,1043263,0
18354,1261294,0
18451,1235782,0
18552,1021671,0
18661,996736,0
18751,1071943,0
18856,1129304,0
18947,1107794,0
19048,914029,0
19150,1003299,0
19251,730296,0
19352,719582,0
19453,745642,0
19553,693917,0
19653,665527,0
19756,448287,0
19858,639467,0
19959,1144991,0
20068,833617,0
20164,991896,0
20264,1061568,0
20366,833458,0
20465,966814,0
20569,913240,0
20667,859374,0
20767,482238,0
20868,966814,0
20968,1011738,0
21061,1730518,185175
21162,1551266,5923
21262,1194302,0
21364,973231,0
21464,659948,0
21565,805453,0
21669,839544,0
21772,941148,0
21873,986762,0
21976,977497,0
22078,754062,0
22181,736783,0
22283,782042,0
22385,717671,0
22480,903124,0
22585,746940,0
22681,969984,0
22778,1358747,0
22885,896996,0
22979,1344407,0
23081,1079113,0
23183,1107794,0
23287,861299,0
23384,782960,0
23483,1058670,0
23583,993072,0
23690,882035,0
23790,1114643,0
23884,1193835,0
23989,877048,0
24087,1106832,0
24191,946866,0
24288,971801,0
24389,1279876,0
24481,1398476,0
24583,909042,0
24684,766897,0
24784,794027,0
24885,763333,0
24985,756085,0
25087,589531,0
25189,776987,0
25291,901722,0
25393,882035,0
25494,1226927,0
25600,1078600,0
25696,1081516,0
25796,1241527,0
25895,1201005,0
26005,824961,0
26100,768134,0
26191,888452,0
26294,868504,0
26393,885093,0
26494,805685,0
26594,734173,0
26695,701773,0
26796,718387,0
26898,760148,0
27000,1064908,0
27097,1042515,0
27205,936892,0
27306,872061,0
27407,892009,0
27507,1108995,0
27609,779558,0
27714,802540,0
27809,1021671,0
27910,872061,0
28010,887022,0
28115,837152,0
28216,936892,0
28312,981775,0
28417,1056580,0
28514,1036632,0
28615,1051593,0
28715,932112,0
28813,1202351,0
28917,1143644,0
29010,1264462,0
29111,1156264,0
