datetime,cpu,mem
Sat Oct 22 15:13:41 GMT 2022,0.1,1352557
Sat Oct 22 15:13:42 GMT 2022,0.2,1344819
Sat Oct 22 15:13:44 GMT 2022,0.2,1240342
Sat Oct 22 15:13:45 GMT 2022,0.2,1279683
Sat Oct 22 15:13:47 GMT 2022,0.2,1299057
Sat Oct 22 15:13:50 GMT 2022,0.2,1319503
Sat Oct 22 15:13:52 GMT 2022,0.2,1339442
Sat Oct 22 15:13:55 GMT 2022,0.2,1337418
Sat Oct 22 15:13:57 GMT 2022,0.2,1351230
Sat Oct 22 15:13:59 GMT 2022,0.2,1355081
Sat Oct 22 15:14:02 GMT 2022,0,1352920
Sat Oct 22 15:14:04 GMT 2022,0,1351804
Sat Oct 22 15:14:06 GMT 2022,0,1352694
Sat Oct 22 15:14:08 GMT 2022,0,1352057
Sat Oct 22 15:14:09 GMT 2022,0,1353501
Sat Oct 22 15:14:11 GMT 2022,0,1353826
Sat Oct 22 15:14:13 GMT 2022,34,1353450
Sat Oct 22 15:14:14 GMT 2022,34,1345468
Sat Oct 22 15:14:16 GMT 2022,34,1346549
Sat Oct 22 15:14:18 GMT 2022,35,1335380
Sat Oct 22 15:14:20 GMT 2022,35,1329586
Sat Oct 22 15:14:21 GMT 2022,35,1331627
Sat Oct 22 15:14:23 GMT 2022,34,1330986
Sat Oct 22 15:14:25 GMT 2022,34,1331262
Sat Oct 22 15:14:27 GMT 2022,34,1330251
Sat Oct 22 15:14:29 GMT 2022,31,1330174
Sat Oct 22 15:14:30 GMT 2022,31,1332702
Sat Oct 22 15:14:32 GMT 2022,31,1333815
Sat Oct 22 15:14:34 GMT 2022,33,1334026
Sat Oct 22 15:14:35 GMT 2022,33,1333082
Sat Oct 22 15:14:37 GMT 2022,33,1334207
Sat Oct 22 15:14:39 GMT 2022,32,1332862
Sat Oct 22 15:14:41 GMT 2022,32,1334194
Sat Oct 22 15:14:42 GMT 2022,32,1334555
Sat Oct 22 15:14:44 GMT 2022,33,1333426
Sat Oct 22 15:14:46 GMT 2022,33,1333278
Sat Oct 22 15:14:48 GMT 2022,33,1335923
Sat Oct 22 15:14:50 GMT 2022,32,1333718
Sat Oct 22 15:14:51 GMT 2022,32,1330742
Sat Oct 22 15:14:53 GMT 2022,32,1339425
Sat Oct 22 15:14:55 GMT 2022,33,1315254
