Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
38,2326138,0
80,5059612,2258426
182,4330197,1529011
282,2866921,65735
382,1457864,0
485,1627324,0
585,2449230,0
685,2122688,0
784,2921393,120207
885,2419981,0
984,2458396,0
1086,2081722,0
1187,3263688,462502
1290,2611658,0
1389,3743540,942354
1491,4274069,1472883
1591,3560140,758954
1696,3561134,759948
1795,3508941,707755
1905,3478394,677208
1995,2785722,0
2096,3056428,255242
2196,3527999,726813
2297,1988611,0
2399,2443643,0
2502,1431650,0
2617,2016579,0
2705,2598388,0
2801,2328978,0
2896,1819491,0
2996,2644000,0
3100,3280714,479528
3198,2454903,0
3299,1492138,0
3413,1908967,0
3499,2381524,0
3604,3938057,1136871
3707,2033075,0
3807,2007655,0
3908,2244269,0
4010,2731835,0
4109,2765537,0
4203,2836771,35585
4303,2601699,0
4404,3328892,527706
4516,3486495,685309
4605,2878250,77064
4705,2746364,0
4805,4337210,1536024
4910,2733725,0
5006,2050676,0
5107,2329236,0
5208,2300555,0
5309,1899030,0
5409,2402011,0
5509,2255456,0
5609,2358990,0
5715,2422971,0
5817,1703473,0
5918,2212550,0
6015,2377462,0
6118,1768004,0
6217,1825365,0
6319,1531391,0
6417,2085374,0
6517,1991781,0
6620,1663281,0
6721,1990277,0
6823,1868385,0
6923,2047638,0
7023,1868385,0
7125,1739324,0
7224,1768004,0
7327,1760834,0
7427,1846875,0
7527,1868385,0
7628,2033298,0
7728,1968767,0
7827,2291421,0
7930,1646112,0
8029,1789514,0
8130,1746494,0
8230,1947256,0
8330,2054808,0
8433,1574412,0
8532,1839705,0
8632,2298591,0
8733,2621245,0
8836,2572559,0
8940,2913218,112032
9040,2298591,0
9141,2664266,0
9244,2380481,0
9345,3051451,250265
9446,1964615,0
9548,2499354,0
9648,2929559,128373
9749,2836348,35162
9851,2800498,0
9948,2490860,0
10053,1623088,0
10146,1877589,0
10254,2498221,0
10351,2815641,14455
10451,1959382,0
10553,1715598,0
10652,1280438,0
10757,1444217,0
10872,2077864,0
10958,3524677,723491
11055,2119339,0
11154,1905740,0
11256,1346473,0
11357,1461194,0
11457,787206,0
11558,866077,0
11671,81800,0
11758,1142620,0
11858,1249565,0
11958,855558,0
12064,962502,0
12166,1457826,0
12264,1801175,0
12361,996274,0
12468,968131,0
12517,1238307,0
12616,1097591,0
12715,889330,0
12822,1260822,0
12917,1885605,0
13018,1716744,0
13118,1801175,0
13221,1446568,0
13319,1778660,0
13427,1722373,0
13519,1559142,0
13621,1266451,0
13721,1435311,0
13820,1245793,0
13925,620068,0
14021,1196992,0
14123,1073161,0
14223,1320823,0
14327,1185735,0
14428,1146334,0
14525,1174477,0
14626,1090047,0
14726,1123819,0
14826,1202621,0
14926,1065574,0
15029,821211,0
15128,1405253,0
15232,1168849,0
15329,1101305,0
15431,1140379,0
15535,1303937,0
15637,1180106,0
15736,1202621,0
15833,1256690,0
15934,1013838,0
16035,1253189,0
16138,1473744,0
16240,848966,0
16335,1050647,0
16437,1416510,0
16535,2553502,0
16640,1695603,0
16732,1077389,0
16832,753281,0
16933,1215770,0
17033,974677,0
17134,1047849,0
17234,952162,0
17336,907130,0
17438,756456,0
17538,705255,0
17638,672423,0
17740,576923,0
17839,665359,0
17940,595541,0
18041,584409,0
18141,1079276,0
18246,862103,0
18341,1121951,0
18443,978425,0
18542,875241,0
18643,785193,0
18746,665359,0
18846,710129,0
18945,548014,0
19045,814233,0
19146,722327,0
19249,701599,0
19348,694183,0
19448,548294,0
19549,500667,0
19650,461580,0
19753,458833,0
19851,457961,0
19954,436720,0
20053,445630,0
20154,1059107,0
20259,650398,0
20356,687346,0
20457,634967,0
20557,477792,0
20657,539697,0
20761,481666,0
20860,416473,0
20961,393813,0
21063,487157,0
21163,1167535,0
21263,962479,0
21365,623386,0
21463,540812,0
21563,527650,0
21665,490751,0
21765,718819,0
21865,688338,0
21967,715119,0
22066,746757,0
22166,1446568,0
22266,1440940,0
22370,1216694,0
22469,748136,0
22570,836695,0
22671,724268,0
22771,726073,0
22873,766573,0
22974,580129,0
23075,473253,0
23176,1203606,0
23274,1079917,0
23375,938568,0
23477,865393,0
23577,852261,0
23677,713472,0
23778,766775,0
23879,673027,0
23979,340414,0
24079,1104595,0
24180,1058190,0
24280,1182021,0
24383,757048,0
24482,817076,0
24583,622008,0
24684,763333,0
24784,769813,0
24885,755290,0
24986,1063819,0
25093,1108848,0
25186,1007532,0
25287,839223,0
25387,1045908,0
25488,746429,0
25589,791695,0
25691,739033,0
25790,769813,0
25891,705427,0
25992,1122621,0
26093,798205,0
26194,914641,0
26293,763716,0
26395,901821,0
26495,671407,0
26596,722930,0
26697,702761,0
26799,419546,0
26902,607896,0
27009,962412,0
27099,1204535,0
27200,804900,0
27300,766463,0
27402,878887,0
27503,704245,0
27604,751221,0
27706,663295,0
27806,693181,0
27856,649905,0
27958,762478,0
28057,808693,0
28157,1153877,0
28258,867074,0
28359,1220105,0
28459,766425,0
28560,685181,0
28660,520780,0
28762,555333,0
28864,776853,0
28961,802388,0
29063,842678,0
29162,1277708,0
29263,823621,0
29368,957798,0
29463,865041,0
29564,1029253,0
29668,695707,0
29767,706633,0
29867,708423,0
29967,1045969,0
30069,795265,0
30168,1114477,0
30269,817172,0
30372,1073679,0
30471,838851,0
30572,575976,0
30675,578492,0
30782,1055977,0
30874,976788,0
30974,899068,0
31075,731073,0
31175,1215793,0
31276,853543,0
31376,831979,0
31478,691107,0
31579,739033,0
31680,782773,0
31781,697265,0
31884,782773,0
31981,2476615,0
32081,2611703,0
32182,1604171,0
32283,1041304,0
32384,1238307,0
32488,494216,0
32593,1047579,0
32685,1159506,0
32785,853543,0
32885,868504,0
32987,868504,0
33086,1255193,0
33187,1311480,0
33287,710611,0
33389,934894,0
33491,739033,0
33591,761713,0
33694,729313,0
33794,695707,0
33895,739033,0
33995,729119,0
34097,814130,0
34195,1204535,0
34296,748613,0
34401,894130,0
34497,724962,0
34598,766313,0
34699,753453,0
34801,679507,0
34900,745513,0
35003,699496,0
35103,982653,0
35203,941879,0
35302,968390,0
35404,1035788,0
35503,813800,0
35605,760093,0
35706,774673,0
35806,681642,0
35908,643210,0
36008,726672,0
36109,859749,0
36213,738002,0
36309,973760,0
36417,1007442,0
36517,976788,0
36626,941879,0
36717,1176392,0
36818,1840575,0
36912,1480340,0
37016,968131,0
37114,1069447,0
37216,878624,0
37314,885093,0
37416,915800,0
37517,1516815,0
37616,1497226,0
37718,883689,0
37819,772992,0
37921,753424,0
38023,704597,0
38125,1114870,0
38226,874844,0
38327,1046932,0
38428,1204535,0
38538,855072,0
38632,1066555,0
38730,1069008,0
38831,906970,0
38934,495143,0
39035,1021671,0
39131,1204535,0
39227,1091962,0
39326,990646,0
39428,702823,0
39528,803698,0
39630,755233,0
39730,679507,0
39830,960134,0
39932,894958,0
40031,1080248,0
40131,1125734,0
40232,893439,0
40332,936892,0
40432,1250612,0
40534,852113,0
40636,838192,0
40735,660067,0
40836,818083,0
40936,663295,0
41038,703960,0
41140,696665,0
41244,696665,0
41341,845842,0
41441,738601,0
41542,710655,0
41643,677802,0
42045,571336,0
43455,661162,0
44711,582311,0
45919,774862,0
47024,859762,0
48031,548589,0
48939,654651,0
49744,582447,0
50449,646705,0
50954,618476,0
51256,569677,0
51355,860478,0
51455,1030046,0
51556,809579,0
51657,694087,0
51758,719593,0
51860,708423,0
51962,712887,0
52061,733367,0
52162,836915,0
52265,769966,0
52365,806441,0
52465,730741,0
52567,695794,0
52669,687085,0
52769,708423,0
52870,718466,0
52971,742294,0
53072,659948,0
53171,656649,0
53271,878072,0
53322,1261048,0
53429,1587285,0
53529,956874,0
53622,990646,0
53724,899068,0
53823,942667,0
53924,873491,0
54025,818634,0
54126,832165,0
54227,855544,0
54326,1333995,0
54427,985478,0
54529,720445,0
54629,738265,0
54730,721814,0
54831,695390,0
54931,693917,0
55032,395252,0
55133,838672,0
55233,718753,0
55333,941879,0
55434,929188,0
55534,775337,0
55638,758725,0
55736,782525,0
55837,960089,0
55938,638932,0
56039,704256,0
56141,1379024,0
56239,828733,0
56341,926918,0
56441,973231,0
56543,858827,0
56643,827405,0
56744,674647,0
56846,705076,0
56944,1090173,0
57050,952539,0
57152,822433,0
57247,1042407,0
57348,749729,0
57449,860090,0
57551,666547,0
57652,775963,0
57754,671106,0
57852,176150,0
57953,712887,0
58055,703960,0
58156,730741,0
58256,950757,0
58357,1243936,0
58457,933335,0
58557,746726,0
58658,880874,0
58760,771433,0
58861,1221208,0
58959,637379,0
59071,961827,0
59171,1098996,0
59261,1075076,0
59361,1040775,0
59463,904333,0
59565,833906,0
59664,734173,0
59764,720445,0
59866,693917,0
59965,959247,0
60067,724453,0
60168,707307,0
60270,674892,0
60370,845623,0
60471,763617,0
60572,748989,0
60673,437166,0
60776,861186,0
60879,929377,0
60973,928730,0
61074,911957,0
61176,893439,0
61277,817172,0
61377,897274,0
61480,667759,0
61581,696149,0
61681,705026,0
61783,770289,0
61883,702795,0
61983,725161,0
62085,712887,0
62185,702795,0
62285,739484,0
62387,815417,0
62489,697327,0
62588,547365,0
62692,789523,0
62789,935006,0
62896,852113,0
62996,1011697,0
63102,1322737,0
63191,1075076,0
63291,787282,0
63393,1006012,0
63493,747853,0
63594,707047,0
63694,740323,0
63794,764507,0
63896,673027,0
63997,743410,0
64097,708374,0
64198,635398,0
64298,718466,0
64400,745642,0
64502,621757,0
64600,916888,0
64701,956581,0
64801,862087,0
64901,829278,0
65006,752057,0
65105,777885,0
65206,751993,0
65307,560701,0
65409,444221,0
65510,773538,0
65610,705076,0
65711,779216,0
65812,618605,0
65914,711722,0
66013,719582,0
66113,1130860,0
66215,1136991,0
66315,881975,0
66414,1357929,0
66515,1114477,0
66616,823184,0
66718,744286,0
66819,731912,0
66920,783514,0
,,
,,
,,
