Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
86,3579942,1798502
186,2794783,1013343
294,2220912,439472
395,2251061,469621
488,2423143,641703
595,2408803,627363
695,2358787,577347
791,2895956,1114516
890,3114029,1332589
991,1405319,0
1092,2081117,299677
1198,3939326,2157886
1293,4109948,2328508
1393,2188808,407368
1496,2618312,836872
1600,2606340,824900
1700,2657797,876357
1800,2026177,244737
1901,1143644,0
2007,2778754,997314
2099,3462111,1680671
2203,3792124,2010684
2302,2718967,937527
2403,1872498,91058
2504,3063668,1282228
2605,2479529,698089
2706,1583694,0
2806,1722373,0
2908,1440501,0
3008,3060585,1279145
3114,2301490,520050
3207,2411587,630147
3309,1554866,0
3412,1195683,0
3511,2988824,1207384
3612,2245531,464091
3712,2683444,902004
3823,2108160,326720
3919,2535204,753764
4019,1354702,0
4117,1341569,0
4226,2004617,223177
4320,3182927,1401487
4426,2965410,1183970
4520,2363122,581682
4622,1595922,0
4725,1975937,194497
4826,2320101,538661
4933,3452976,1671536
5030,3402786,1621346
5134,3359765,1578325
5227,2499354,717914
5343,1818195,36755
5430,3316744,1535304
5532,1230247,0
5630,1445350,0
5730,1398178,0
5828,1294778,0
5936,782531,0
6033,1230145,0
6133,1185262,0
6234,1304951,0
6335,2825026,1043586
6429,2819551,1038111
6535,1765134,0
6637,2341612,560172
6734,1989409,207969
6835,1065335,0
6938,1749512,0
7040,1266097,0
7142,1484054,0
7241,1882726,101286
7357,731403,0
7447,1037491,0
7545,1318223,0
7644,1789514,8074
7744,1380819,0
7846,1366479,0
7946,1610262,0
8047,1163220,0
8145,1050995,0
8248,1137036,0
8353,1395159,0
8450,1079675,0
8560,930385,0
8649,1559690,0
8754,1218925,0
8852,1266097,0
8962,993634,0
9058,1330628,0
9154,1058165,0
9258,1488370,0
9356,1144206,0
9456,1194397,0
9557,1074878,0
9657,1031253,0
9756,1129866,0
9863,990343,0
9961,2218852,437412
10056,2213641,432201
10159,1567241,0
10257,1445350,0
10364,914763,0
10461,1280438,0
10559,1151376,0
10667,840840,0
10761,2036465,255025
10862,1736899,0
10972,545721,0
11061,823321,0
11164,353576,0
11262,820800,0
11364,877398,0
11466,751355,0
11516,436665,0
11615,992120,0
11716,705316,0
11818,361796,0
11918,643507,0
12023,1638561,0
12119,1907329,125889
12221,588477,0
12320,867135,0
12422,528865,0
12522,471823,0
12621,1039292,0
12723,400020,0
12822,1075746,0
12923,507572,0
13023,786149,0
13125,1569202,0
13231,454530,0
13324,1069477,0
13425,946684,0
13528,535640,0
13625,992120,0
13730,376828,0
13828,451473,0
13929,463812,0
14030,491193,0
14132,410250,0
14231,597715,0
14331,1458366,0
14431,794557,0
14533,635437,0
14634,661703,0
14735,656640,0
14835,504446,0
14936,451440,0
15037,498553,0
15138,550260,0
15237,526391,0
15337,1751620,0
15437,1038498,0
15538,643804,0
15640,568702,0
15743,617184,0
15840,1522707,0
15943,874380,0
16044,625463,0
16143,670346,0
16243,586886,0
16343,564622,0
16445,482652,0
16547,482652,0
16646,461592,0
16748,526392,0
16849,500817,0
16951,425400,0
17048,627177,0
17149,587627,0
17252,550692,0
17352,513777,0
17453,443340,0
17556,393789,0
17656,738077,0
17757,1032739,0
17860,902444,0
17972,602605,0
18065,1030989,0
18166,787206,0
18257,1088349,0
18359,443021,0
18459,725203,0
18560,711573,0
18662,522913,0
18762,462443,0
18864,735019,0
18962,725161,0
19064,735533,0
19165,689294,0
19266,990155,0
19367,787032,0
19468,673027,0
19568,711771,0
19670,748115,0
19772,852167,0
19873,1008268,0
19976,1115431,0
20077,996736,0
20178,961827,0
20279,1066555,0
20383,795974,0
20484,1076529,0
20581,1016684,0
20681,820761,0
20784,1076803,0
20880,1635696,0
20981,1645551,0
21082,1466299,0
21188,867074,0
21284,1196217,0
21385,735251,0
21484,1097024,0
21588,1149343,0
21687,1100624,0
21780,926918,0
21881,723750,0
21982,763564,0
22084,637630,0
22184,734039,0
22285,871488,0
22386,240486,0
22486,788923,0
22588,738946,0
22688,643210,0
22789,649905,0
22889,808445,0
22990,698380,0
23091,713953,0
23191,1166295,0
23296,1156793,0
23399,960415,0
23493,956840,0
23594,874132,0
23694,849915,0
23795,819429,0
23895,735880,0
23997,698312,0
24097,665527,0
24202,683601,0
24299,1253286,0
24401,854042,0
24502,775869,0
24601,1909770,128330
