datetime,cpu,mem
Sat Oct 22 17:22:54 GMT 2022,0,1177736
Sat Oct 22 17:22:55 GMT 2022,0.1,1181285
Sat Oct 22 17:22:56 GMT 2022,0.1,1193184
Sat Oct 22 17:22:58 GMT 2022,0.1,1182729
Sat Oct 22 17:22:59 GMT 2022,0.1,1180683
Sat Oct 22 17:23:00 GMT 2022,41,1181696
Sat Oct 22 17:23:02 GMT 2022,41,1170105
Sat Oct 22 17:23:03 GMT 2022,41,1172939
Sat Oct 22 17:23:04 GMT 2022,41,1178301
Sat Oct 22 17:23:06 GMT 2022,0.1,1171733
Sat Oct 22 17:23:08 GMT 2022,0.1,1170964
Sat Oct 22 17:23:09 GMT 2022,0.1,1169448
Sat Oct 22 17:23:11 GMT 2022,0.1,1172017
Sat Oct 22 17:23:13 GMT 2022,31,1172388
Sat Oct 22 17:23:14 GMT 2022,31,1170096
Sat Oct 22 17:23:16 GMT 2022,31,1168056
Sat Oct 22 17:23:17 GMT 2022,31,1172609
Sat Oct 22 17:23:19 GMT 2022,0,1170633
Sat Oct 22 17:23:20 GMT 2022,0,1171925
Sat Oct 22 17:23:22 GMT 2022,0,1171974
Sat Oct 22 17:23:24 GMT 2022,0.1,1170493
Sat Oct 22 17:23:26 GMT 2022,0.1,1166516
Sat Oct 22 17:23:27 GMT 2022,0.1,1168040
Sat Oct 22 17:23:28 GMT 2022,0.1,1168061
Sat Oct 22 17:23:30 GMT 2022,33,1165084
Sat Oct 22 17:23:32 GMT 2022,33,1168712
Sat Oct 22 17:23:33 GMT 2022,33,1169085
Sat Oct 22 17:23:35 GMT 2022,31,1168048
Sat Oct 22 17:23:37 GMT 2022,31,1164380
Sat Oct 22 17:23:38 GMT 2022,31,1165024
Sat Oct 22 17:23:40 GMT 2022,31,1166717
Sat Oct 22 17:23:41 GMT 2022,28,1166240
Sat Oct 22 17:23:43 GMT 2022,28,1168304
Sat Oct 22 17:23:45 GMT 2022,28,1170129
Sat Oct 22 17:23:46 GMT 2022,0,1169812
Sat Oct 22 17:23:47 GMT 2022,0,1169279
Sat Oct 22 17:23:49 GMT 2022,0,1166961
Sat Oct 22 17:23:51 GMT 2022,0,1172086
Sat Oct 22 17:23:53 GMT 2022,0.1,1170245
Sat Oct 22 17:23:54 GMT 2022,0.1,1171541
Sat Oct 22 17:23:56 GMT 2022,0.1,1171698
Sat Oct 22 17:23:58 GMT 2022,33,1171013
Sat Oct 22 17:24:00 GMT 2022,33,1170433
Sat Oct 22 17:24:01 GMT 2022,33,1172986
Sat Oct 22 17:24:03 GMT 2022,32,1170729
Sat Oct 22 17:24:05 GMT 2022,32,1171393
Sat Oct 22 17:24:06 GMT 2022,32,1171911
