Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
4,405089,0
83,1940691,437585
183,1775191,272085
284,1605753,102647
384,1697495,194389
484,1640134,137028
586,2536309,1033203
686,1995201,492095
787,1912424,409318
888,2489590,986484
991,3924283,2421177
1089,4577088,3073982
1200,5165743,3662637
1294,5472588,3969482
1394,4351203,2848097
1503,2982000,1478894
1597,4186540,2683434
1696,3483804,1980698
1800,4693886,3190780
1897,6036010,4532904
1997,4685761,3182655
2097,3419818,1916712
2202,2289652,786546
2295,2684094,1180988
2408,773400,0
2500,2208145,705039
2599,1706299,203193
2711,1314103,0
2795,2303221,800115
2895,1691794,188688
2996,1835196,332090
3101,1246234,0
3198,1336034,0
3297,1843459,340353
3399,1025118,0
3499,1548392,45286
3605,2248417,745311
3715,1275928,0
3807,1871046,367940
3908,1562732,59626
4003,1376310,0
4102,2009247,506141
4208,3167425,1664319
4313,2704780,1201674
4404,2217071,713965
4504,1482566,0
4610,1849099,345993
4711,3172026,1668920
4805,2514472,1011366
4906,2267145,764039
5007,3062719,1559613
5107,1883916,380810
5207,2423204,920098
5311,3080679,1577573
5409,3377280,1874174
5516,2014030,510924
5616,2086210,583104
5716,1461969,0
5822,2030226,527120
5915,2082110,579004
6017,894979,0
6119,2502015,998909
6217,1562732,59626
6321,1439838,0
6421,1916330,413224
6521,2157850,654744
6614,2258292,755186
6716,2193761,690655
6816,1489560,0
6918,1814374,311268
7019,1599438,96332
7119,1156295,0
7226,1684010,180904
7327,2212086,708980
7426,1829995,326889
7531,1356830,0
7621,1326180,0
7739,843173,0
7835,728818,0
7930,1482579,0
8051,977533,0
8135,1487642,0
8236,1627324,124218
8335,1519772,16666
8432,1466828,0
8533,1504056,950
8634,1265536,0
8736,1156910,0
8851,609080,0
8943,919008,0
9035,1186665,0
9162,608618,0
9242,1465936,0
9333,1028923,0
9433,967407,0
9535,891617,0
9634,1287046,0
9734,1663839,160733
9837,1342259,0
9936,888534,0
10036,1866750,363644
10140,890543,0
10238,1491409,0
10339,1354493,0
10441,899601,0
10542,772047,0
10641,1028088,0
10741,1137409,0
10844,580285,0
10945,996721,0
11044,1135400,0
11147,690854,0
11245,1128230,0
11347,948978,0
11449,811193,0
11548,999168,0
11649,947980,0
11750,1288978,0
11855,1690984,187878
11950,1194770,0
12050,957013,0
12152,1018001,0
12252,765206,0
12357,887754,0
12453,1163941,0
12557,780809,0
12653,1059519,0
12757,748816,0
12854,1078039,0
12954,955074,0
13056,835330,0
13157,1086751,0
13258,807585,0
13356,799828,0
13460,889091,0
13558,1010605,0
13662,679093,0
13760,831333,0
13861,1238307,0
13961,1165155,0
14063,879286,0
14162,1071943,0
14265,73704,0
14364,785530,0
14466,926836,0
14565,1215813,0
14666,856841,0
14768,699496,0
14818,791159,0
14919,1157548,0
15019,1578872,75766
15122,1026049,0
15228,451715,0
15324,813353,0
15432,911844,0
15524,1469173,0
15634,789053,0
15725,1279876,0
15849,580285,0
15933,889500,0
16033,1279876,0
16124,1050433,0
16227,643192,0
16327,925611,0
16427,1199931,0
16529,571576,0
16628,779796,0
16728,1316607,0
16832,1281524,0
16940,950052,0
17030,1215813,0
17135,759472,0
17231,1050900,0
17332,933564,0
17433,663651,0
17535,1331718,0
17636,296646,0
17737,745291,0
17839,733367,0
17940,654368,0
18041,732985,0
18142,646474,0
18243,707116,0
18344,812371,0
18443,1511828,8722
18548,1370065,0
18657,224415,0
18753,1044337,0
18848,1088078,0
18947,832089,0
19047,1250229,0
19148,1219997,0
19249,758096,0
19349,794551,0
19450,722833,0
19551,718466,0
19652,746757,0
19753,668875,0
19854,688338,0
19954,708423,0
20054,692905,0
20155,1327455,0
20260,1120499,0
20356,408895,0
20456,1028628,0
20558,868504,0
20659,709761,0
20759,761713,0
20861,780823,0
20961,643210,0
21061,613380,0
21161,801534,0
21264,700612,0
21364,710655,0
21467,662179,0
21566,737830,0
