datetime,cpu,mem
Sat Oct 22 16:50:08 GMT 2022,0.1,1179980
Sat Oct 22 16:50:09 GMT 2022,0.2,1178656
Sat Oct 22 16:50:11 GMT 2022,0.2,1151704
Sat Oct 22 16:50:12 GMT 2022,0.2,1192609
Sat Oct 22 16:50:14 GMT 2022,0.2,1185428
Sat Oct 22 16:50:15 GMT 2022,0.2,1180581
Sat Oct 22 16:50:17 GMT 2022,0.2,1179903
Sat Oct 22 16:50:19 GMT 2022,0.2,1177860
Sat Oct 22 16:50:21 GMT 2022,34,1176084
Sat Oct 22 16:50:23 GMT 2022,34,1176618
Sat Oct 22 16:50:24 GMT 2022,34,1179075
Sat Oct 22 16:50:26 GMT 2022,32,1176390
Sat Oct 22 16:50:28 GMT 2022,32,1175986
Sat Oct 22 16:50:30 GMT 2022,32,1177837
Sat Oct 22 16:50:32 GMT 2022,33,1177696
Sat Oct 22 16:50:33 GMT 2022,33,1176456
Sat Oct 22 16:50:35 GMT 2022,33,1175316
Sat Oct 22 16:50:37 GMT 2022,33,1177105
Sat Oct 22 16:50:38 GMT 2022,31,1177250
Sat Oct 22 16:50:40 GMT 2022,31,1176322
Sat Oct 22 16:50:42 GMT 2022,31,1176847
Sat Oct 22 16:50:44 GMT 2022,32,1176442
Sat Oct 22 16:50:46 GMT 2022,32,1177722
Sat Oct 22 16:50:48 GMT 2022,32,1178039
Sat Oct 22 16:50:50 GMT 2022,32,1174958
Sat Oct 22 16:50:51 GMT 2022,32,1175470
Sat Oct 22 16:50:53 GMT 2022,32,1175906
Sat Oct 22 16:50:54 GMT 2022,32,1177435
Sat Oct 22 16:50:56 GMT 2022,28,1176924
Sat Oct 22 16:50:58 GMT 2022,28,1177374
Sat Oct 22 16:51:00 GMT 2022,28,1179025
Sat Oct 22 16:51:02 GMT 2022,0,1177876
Sat Oct 22 16:51:03 GMT 2022,0,1178340
Sat Oct 22 16:51:05 GMT 2022,0,1179768
Sat Oct 22 16:51:07 GMT 2022,0,1180889
Sat Oct 22 16:51:08 GMT 2022,0.1,1178392
Sat Oct 22 16:51:10 GMT 2022,0.1,1177261
Sat Oct 22 16:51:12 GMT 2022,0.1,1176037
Sat Oct 22 16:51:13 GMT 2022,0.1,1178057
Sat Oct 22 16:51:15 GMT 2022,30,1178048
Sat Oct 22 16:51:17 GMT 2022,30,1178504
Sat Oct 22 16:51:19 GMT 2022,30,1178851
Sat Oct 22 16:51:21 GMT 2022,33,1177290
