Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,3261697,2258469
91,2639541,1636313
193,2427082,1423854
294,2243891,1240663
394,2351443,1348215
487,2451824,1448596
588,2114829,1111601
688,2139277,1136049
789,1945358,942130
890,3304010,2300782
990,4271272,3268044
1092,2246857,1243629
1197,3957945,2954717
1294,4675874,3672646
1398,2931994,1928766
1495,3246610,2243382
1596,3563170,2559942
1695,2939017,1935789
1805,2550533,1547305
1899,2881770,1878542
2007,3017816,2014588
2106,1677487,674259
2206,2184485,1181257
2299,3532180,2528952
2400,2161554,1158326
2501,2076772,1073544
2601,1746316,743088
2703,3060907,2057679
2807,3343235,2340007
2905,3013143,2009915
3007,1515778,512550
3107,2319462,1316234
3209,2177305,1174077
3314,894002,0
3404,2652360,1649132
3509,1944137,940909
3612,1326848,323620
3711,2580293,1577065
3816,2064167,1060939
3905,2516128,1512900
4007,1917569,914341
4107,2286562,1283334
4212,2045556,1042328
4315,2386049,1382821
4413,1958976,955748
4521,1339667,336439
4615,1702502,699274
4733,1367933,364705
4819,2172251,1169023
4918,2588116,1584888
5021,2012250,1009022
5123,2485313,1482085
5220,1822973,819745
5319,1250504,247276
5420,1114612,111384
5521,1914127,910899
5624,1903516,900288
5719,1354091,350863
5826,950052,0
5916,1021753,18525
6018,761014,0
6117,1151282,148054
6218,978732,0
6318,1454295,451067
6419,885521,0
6519,994723,0
6624,624782,0
6722,924019,0
6823,1230620,227392
6923,806650,0
7023,1144579,141351
7123,1581020,577792
7229,1260166,256938
7336,799480,0
7429,1128113,124885
7530,1036371,33143
7632,1222515,219287
7734,974661,0
7833,1401768,398540
7929,1195705,192477
8029,957183,0
8131,683684,0
8231,1171251,168023
8330,1171251,168023
8431,913127,0
8533,669368,0
8633,644325,0
8734,678295,0
8836,727393,0
8936,679411,0
9037,795403,0
9137,701728,0
9237,439658,0
9341,900587,0
9447,980725,0
9547,894836,0
9644,1631211,627983
9741,1373087,369859
9839,984635,0
9940,953561,0
10040,1866750,863522
10141,1235782,232554
10242,1299108,295880
10343,1353512,350284
10444,1764807,761579
10543,1713682,710454
10644,1527866,524638
10744,1242952,239724
10845,785140,0
10946,1003045,0
11046,1040389,37161
11149,932405,0
11250,944744,0
11361,753292,0
11454,1279876,276648
11553,1000242,0
11649,849670,0
11751,914201,0
11853,707702,0
11953,845011,0
12052,2556620,1553392
12153,1213993,210765
12256,830099,0
12355,870080,0
12457,748613,0
12555,780955,0
12657,775968,0
12756,1157845,154617
12857,644948,0
12958,1186657,183429
13060,782295,0
13159,977658,0
13262,1135868,132640
13371,1101426,98198
13467,1172325,169097
13571,871181,0
13665,1028923,25695
13777,1007413,4185
13861,1374022,370794
13964,788153,0
14063,947001,0
14165,927467,0
14266,877277,0
14365,1036093,32865
14468,749757,0
14566,1094388,91160
14668,590821,0
14768,1375055,371827
14868,937254,0
14973,834256,0
15069,999168,0
15172,676063,0
15272,872952,0
15321,1087291,84063
15423,889881,0
15523,926918,0
15623,1061860,58632
15724,873491,0
15824,782295,0
15927,817577,0
16025,1643452,640224
16126,1773539,770311
16226,1744858,741630
16326,1043730,40502
16428,765953,0
16531,1052561,49333
16636,1185910,182682
16729,742404,0
16831,738694,0
16948,924780,0
17044,861289,0
17142,971801,0
17239,1150814,147586
17347,1018789,15561
17442,964392,0
17540,1201005,197777
17646,871488,0
17746,1026658,23430
17842,1107794,104566
17944,782841,0
18049,789408,0
18146,976788,0
18245,978916,0
18346,708155,0
18444,1312407,309179
18546,822191,0
18649,845222,0
18747,926918,0
18847,822191,0
18948,1031645,28417
19049,896996,0
19149,911957,0
19252,862087,0
19358,1244026,240798
19444,1150814,147586
19546,802243,0
19646,916989,0
19747,747394,0
19848,729313,0
19949,709873,0
20050,640978,0
20152,689369,0
20255,1167122,163894
20349,857100,0
20450,1631002,627774
20550,1365917,362689
20651,928348,0
20751,918374,0
20852,832561,0
20954,799931,0
21053,1455996,452768
21153,1502149,498921
21254,1673157,669929
21363,1120873,117645
21455,1114964,111736
21556,792269,0
21656,747386,0
21758,923361,0
21859,883611,0
21958,774562,0
22058,1020088,16860
22160,737412,0
22261,914641,0
22361,747394,0
22464,794027,0
22561,805685,0
22663,756758,0
22763,710725,0
22865,702844,0
22965,703960,0
23065,795856,0
23166,649905,0
23267,690569,0
23368,691685,0
23470,692801,0
23571,657716,0
23672,731135,0
23773,478566,0
23875,944594,0
23980,909527,0
24079,934359,0
24184,1061568,58340
24280,926918,0
24384,812217,0
24483,1179495,176267
24574,1522168,518940
24684,801605,0
24787,1056580,53352
24883,971801,0
24987,877048,0
25086,1144422,141194
25177,1090838,87610
25279,948296,0
25379,783725,0
25480,867862,0
25579,1342270,339042
25679,1252270,249042
25780,1095742,92514
25882,740160,0
25985,804082,0
26086,722833,0
26186,724453,0
26285,695707,0
26387,782443,0
26488,717301,0
26588,143324,0
26689,714003,0
26789,687607,0
26891,846912,0
26990,739033,0
27092,698560,0
27192,637630,0
27294,761264,0
27394,690568,0
27500,780234,0
27596,1030480,27252
27699,1331285,328057
27806,969386,0
27907,1206027,202799
28004,1062270,59042
28107,1046606,43378
28206,1129304,126076
28298,878072,0
28414,828328,0
28512,788775,0
28612,864921,0
28707,926918,0
28812,887022,0
28908,1091490,88262
29010,888688,0
29115,926559,0
29222,812390,0
29311,1034099,30871
29418,777714,0
29515,666960,0
29611,1378820,375592
29713,951853,0
29814,971801,0
29914,941879,0
30019,971801,0
30114,1222515,219287
30212,882035,0
30327,763674,0
30420,1071542,68314
30521,1142361,139133
30617,1150814,147586
30711,1143644,140416
30825,867739,0
30927,766463,0
31031,1016684,13456
31120,1201005,197777
31226,1125734,122506
31322,1159407,156179
31421,1119797,116569
31527,921931,0
31624,971801,0
31735,853543,0
31826,1150814,147586
31919,1079113,75885
32027,727417,0
32120,800387,0
32221,672454,0
32322,750373,0
32425,693868,0
32523,729625,0
32625,667759,0
32726,813223,0
32827,690847,0
32928,766243,0
33028,666547,0
33129,629448,0
33232,816157,0
33335,932164,0
33385,1043859,40631
33487,1040426,37198
33587,872061,0
33694,779558,0
33789,1036632,33404
33889,996736,0
33994,1041619,38391
34090,1011697,8469
34195,1016684,13456
34295,911957,0
34396,1206572,203344
34492,1036093,32865
34593,1096477,93249
34694,911957,0
34795,1087291,84063
34899,1104323,101095
34996,954725,0
35095,1010198,6970
35203,257499,0
35302,1121412,118184
35400,825523,0
35503,911957,0
35602,1071943,68715
35698,1150814,147586
35800,1061568,58340
35900,1699341,696113
36005,896996,0
36100,950052,0
36209,990646,0
36308,1165622,162394
36397,1201472,198244
36498,882035,0
36600,780915,0
36700,739033,0
36800,527260,0
36900,1010983,7755
37000,1124287,121059
37101,927467,0
37201,936892,0
37303,958270,0
37402,882823,0
37503,893439,0
37604,983205,0
37707,943309,0
37805,809579,0
37907,758669,0
38008,730933,0
38108,709539,0
38210,651021,0
38312,739081,0
38410,856138,0
38513,887326,0
38614,690569,0
38713,587699,0
38815,817027,0
38915,837332,0
39016,827178,0
39117,1026951,23723
39215,892009,0
39317,831626,0
39417,808298,0
39519,693917,0
39621,715119,0
39721,748989,0
39823,693917,0
39922,727393,0
40022,758015,0
40123,718387,0
40224,798725,0
40326,742273,0
40425,651021,0
40526,730741,0
40630,498901,0
40730,826224,0
40830,1113701,110473
40938,911957,0
41036,966814,0
41135,1107794,104566
41236,1036093,32865
41330,743443,0
41432,781922,0
41532,690520,0
41632,675570,0
41734,725112,0
41836,756800,0
41935,625572,0
42036,917604,0
42138,1028650,25422
42238,687607,0
42339,661828,0
42440,662179,0
42540,660870,0
42644,789376,0
42742,952847,0
42843,873491,0
42944,868504,0
43043,888452,0
43144,908075,0
43244,805685,0
43348,642094,0
43450,667087,0
43551,661064,0
43651,738210,0
43751,674454,0
43854,712887,0
43953,692467,0
44055,729501,0
44157,703960,0
