Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
23,1324560,0
72,2243891,825496
162,1832258,413863
270,1734814,316419
373,1569902,151507
464,1813685,395290
564,2045098,626703
664,1054798,0
766,1690205,271810
866,2371136,952741
967,2695259,1276864
1069,3654583,2236188
1168,4326222,2907827
1268,4202568,2784173
1369,3897311,2478916
1469,3734248,2315853
1569,3174187,1755792
1670,3060934,1642539
1773,2881742,1463347
1878,1737182,318787
1975,1414477,0
2079,1469521,51126
2177,1763495,345100
2282,1383480,0
2373,2674097,1255702
2473,2286738,868343
2574,4023315,2604920
2677,4143423,2725028
2779,2928266,1509871
2881,3225659,1807264
2975,3634114,2215719
3076,2465807,1047412
3176,2757699,1339304
3277,2622498,1204103
3378,2788374,1369979
3482,3202227,1783832
3578,2025964,607569
3680,2093431,675036
3784,2135880,717485
3883,2235364,816969
3982,3992139,2573744
4083,4006312,2587917
4183,3175806,1757411
4283,2787103,1368708
4385,2244148,825753
4484,3564160,2145765
4585,3553418,2135023
4684,3002730,1584335
4786,1474759,56364
4886,1367845,0
4987,1371403,0
5086,1604284,185889
5187,1518243,99848
5288,1230820,0
5388,1305649,0
5490,1645661,227266
5589,1483861,65466
5691,1212094,0
5804,1376083,0
5896,1898552,480157
6013,448024,0
6099,1656291,237896
6198,1174510,0
6301,1698964,280569
6394,1605753,187358
6497,1476091,57696
6601,1634433,216038
6701,1514805,96410
6798,185875,0
6897,1783942,365547
6998,2508209,1089814
7105,1300747,0
7204,1568652,150257
7310,1347629,0
7399,1946860,528465
7506,1566845,148450
7609,1687975,269580
7707,1519712,101317
7811,1511073,92678
7907,1741985,323590
8016,1390650,0
8103,1620093,201698
8226,1208761,0
8312,1674228,255833
8409,1684624,266229
8535,905700,0
8613,1491379,72984
8712,968650,0
8833,711102,0
8925,1378380,0
9019,1732897,314502
9114,1526882,108487
9217,1354799,0
9316,1577072,158677
9412,1211398,0
9523,1949917,531522
9613,1622062,203667
9714,1217457,0
9813,2055755,637360
9915,1797397,379002
10015,1540340,121945
10115,2240585,822190
10225,1355056,0
10320,2131738,713343
10448,1076129,0
10527,1604833,186438
10624,2896083,1477688
10723,1548392,129997
10828,1347629,0
10923,1577072,158677
11025,1849597,431202
11124,1847199,428804
11225,989376,0
11325,1472714,54319
11422,1184326,0
11537,1307980,0
11629,1799406,381011
11729,2129170,710775
11832,1430794,12399
11924,2373014,954619
12026,1420079,1684
12128,1168438,0
12228,1334038,0
12330,1096499,0
12434,961396,0
12530,1259371,0
12642,1292811,0
12735,1792175,373780
12833,1070406,0
12934,1256729,0
13047,1544476,126081
13141,1598643,180248
13240,1605753,187358
13336,1283159,0
13437,1369140,0
13539,1183445,0
13637,1308754,0
13743,897922,0
13839,1343713,0
13953,1417008,0
14045,1612923,194528
14142,1086953,0
14242,1563155,144760
14342,1865759,447364
14443,480396,0
14544,1622356,203961
14644,1674516,256121
14747,1247248,0
14850,1803452,385057
14899,1555623,137228
15002,827753,0
15102,1828026,409631
15196,1476691,58296
15299,1327127,0
15397,1608016,189621
15501,1193036,0
15603,1119451,0
15702,1161308,0
15802,1152217,0
15908,762555,0
16003,1179962,0
16106,641329,0
16206,855711,0
16307,1131761,0
16409,982343,0
16510,799659,0
16608,1212730,0
16713,683684,0
16810,1129772,0
16911,904416,0
17012,619776,0
17113,892684,0
17213,1223282,0
17314,1057603,0
17416,670993,0
17518,861745,0
17615,1377642,0
17718,681069,0
17819,871160,0
17918,1029352,0
18018,883184,0
18122,758955,0
18219,1080553,0
18321,747141,0
18420,1229685,0
18530,891617,0
18622,1091718,0
18722,1019605,0
18823,922244,0
18923,908105,0
19026,124363,0
19127,745247,0
19228,1088078,0
19327,1143644,0
19428,927467,0
19529,948978,0
19628,870107,0
19728,984828,0
19828,1156039,0
19930,1217445,0
20029,1658207,239812
20130,1250578,0
20231,1541222,122827
20330,1403521,0
20440,1426233,7838
20537,1491031,72636
20639,1376310,0
20738,1777835,359440
20845,1404990,0
20944,992149,0
21039,1028516,0
21145,1436108,17713
21235,1404990,0
21337,1332931,0
21437,1372730,0
21537,1525413,107018
21639,1175617,0
21741,1140053,0
21841,1232745,0
21967,1261757,0
22058,1208121,0
22155,1366163,0
22254,623378,0
22360,485913,0
22451,1481644,63249
22549,1379994,0
22658,1474747,56352
22753,1720474,302079
22846,1434851,16456
22948,1330124,0
23048,1419653,1258
23150,1179740,0
23248,1292380,0
23350,1208246,0
23475,1243737,0
23557,1204575,0
23659,1250789,0
23758,1885386,466991
23859,1534052,115657
23960,1698964,280569
24061,1577072,158677
24162,1533634,115239
24263,1474747,56352
24367,1709858,291463
24467,1670683,252288
24567,1505371,86976
24667,1820856,402461
24765,1094500,0
24868,1089854,0
24965,1547076,128681
25065,1569902,151507
25166,1706134,287739
25267,1566457,148062
25370,1290650,0
25471,1384452,0
25571,1306257,0
25673,1273883,0
25775,1346447,0
25880,1177466,0
25979,1331358,0
26073,749406,0
26174,1190235,0
26277,1727644,309249
26377,1519712,101317
26468,1379994,0
26568,1429864,11469
26669,1170540,0
26771,1344201,0
26872,1291134,0
26972,1368414,0
27073,1182326,0
27176,1242788,0
27276,1246686,0
27379,390700,0
27481,883979,0
27583,1388646,0
27676,1934046,515651
27777,1952681,534286
27877,1561263,142868
27978,1491031,72636
28078,1675985,257590
28179,458886,0
28280,1744248,325853
28380,1683155,264760
28482,1491031,72636
28581,1690325,271930
28636,1536609,118214
28741,1194790,0
28837,1093454,0
28964,600316,0
29040,1408938,0
29139,971562,0
29246,935712,0
29336,1036093,0
29440,575141,0
29537,1007981,0
29638,1178421,0
29748,601187,0
29846,1087716,0
29947,1172325,0
30048,856841,0
30150,688866,0
30250,767056,0
30349,473253,0
30450,1060212,0
30552,641749,0
30653,1147135,0
30752,1242952,0
30853,884447,0
30956,624427,0
31054,1135979,0
31154,1101800,0
31257,644410,0
31356,803794,0
31457,1156910,0
31556,1144579,0
31659,699098,0
31758,1149740,0
31859,1013509,0
31963,663788,0
32060,480669,0
32165,1423492,5097
32262,993072,0
32364,713281,0
32462,1321758,0
32563,2735405,1317010
32666,1969140,550745
32775,1412160,0
32865,1476691,58296
32965,1481724,63329
33065,1394955,0
33167,1335111,0
33267,1510378,91983
33368,1400015,0
33470,973411,0
33573,911844,0
33670,1318188,0
33778,1345085,0
33879,1494695,76300
33979,1569500,151105
34080,1404929,0
34182,1385862,0
34284,357639,0
34386,1255765,0
34483,1712940,294545
34589,1341096,0
34683,1618064,199669
34785,1564513,146118
34883,1273846,0
34984,1627263,208868
35086,1379994,0
35186,1489708,71313
35287,1504669,86274
35388,1419890,1495
35488,1624398,206003
35586,2910710,1492315
35688,2150680,732285
35792,1707055,288660
35892,1359597,0
35992,838424,0
36094,996643,0
36191,1432355,13960
36296,1350072,0
36392,1727644,309249
36497,1260306,0
36593,1749155,330760
36686,1494233,75838
36786,259477,0
36888,1281928,0
36989,1158026,0
37090,1238324,0
37191,1250599,0
37291,1605552,187157
37396,1075315,0
37499,1456650,38255
37604,1647241,228846
37695,985902,0
37796,827178,0
37896,1153551,0
37996,895887,0
38098,742404,0
38199,790320,0
38302,660067,0
38401,692310,0
38501,702761,0
38602,649905,0
38704,680583,0
38803,763397,0
38904,736207,0
39004,501866,0
39109,1250789,0
39212,940010,0
39313,852113,0
39412,1001903,0
39513,1122134,0
39607,941879,0
39710,1023101,0
39808,1366463,0
39909,1384981,0
40010,1466129,47734
40109,1415624,0
40227,1274234,0
40321,1644306,225911
40416,1041546,0
40519,1096239,0
40624,1433029,14634
40721,1691473,273078
40825,1424877,6482
40922,1741985,323590
41014,1360046,0
41116,1443456,25061
41217,1318465,0
41316,1320202,0
41418,1611516,193121
41519,1241672,0
41619,1078595,0
41724,473897,0
41826,1132090,0
41932,1645383,226988
41980,1534052,115657
42072,1620093,201698
42183,1225397,0
42279,1884211,465816
42381,1174171,0
42483,381871,0
42582,1549552,131157
42682,1409916,0
42789,1346464,0
42885,1424877,6482
42985,1835196,416801
43082,1245372,0
43184,215102,0
43285,1679215,260820
43385,1434851,16456
43486,1335111,0
43588,1303782,0
43689,1421978,3583
43794,1287366,0
43889,1503176,84781
43994,1376013,0
44099,1336614,0
44193,1409916,0
44291,1490664,72269
44391,1349247,0
44492,1426689,8294
44593,1614384,195989
44693,1650648,232253
44794,1569500,151105
44901,1221702,0
44997,272505,0
45099,1328769,0
45195,1734814,316419
45303,1562732,144337
45389,1772634,354239
45490,1779679,361284
45595,1246802,0
45692,962864,0
45802,431741,0
45901,1201005,0
45993,862087,0
46095,888452,0
46195,814383,0
46297,735784,0
46400,752845,0
46500,706633,0
46601,764611,0
46702,645441,0
46803,688423,0
46903,679411,0
47005,705076,0
47106,689697,0
47205,896292,0
47309,819298,0
47416,1199002,0
47514,1164301,0
47616,917452,0
47718,941879,0
47818,951853,0
47916,1172325,0
48015,1107794,0
48116,1420056,1661
48219,430205,0
48318,1011697,0
48418,1006710,0
48524,961827,0
48623,1096477,0
48724,896996,0
48821,1258366,0
48923,1813479,395084
49025,1059493,0
49116,1469521,51126
49217,1391324,0
49317,1386883,0
49418,1342832,0
49521,1258410,0
49622,1134473,0
49722,1351588,0
49823,1144516,0
49925,1319188,0
50025,1285900,0
50126,945741,0
50231,869094,0
50332,1180316,0
50435,1329462,0
50536,1565235,146840
50637,1494695,76300
50743,1489708,71313
50836,1562732,144337
50939,1474747,56352
51040,1449812,31417
51143,1524617,106222
51243,1620885,202490
51340,1419890,1495
51433,1325247,0
51533,929039,0
51635,825830,0
51734,1511067,92672
51835,1486077,67682
51938,1435572,17177
52048,1524617,106222
52144,1474747,56352
52245,1449812,31417
52357,1434851,16456
52448,1670284,251889
52545,1577072,158677
52645,1663114,244719
52750,845286,0
52847,1238202,0
52948,1498201,79806
53048,1512542,94147
53148,1498201,79806
53250,1449532,31137
53351,1449812,31417
53451,1330124,0
53552,1384981,0
53652,1704150,285755
53752,940326,0
53853,516866,0
53948,933481,0
54049,1021671,0
54153,1216738,0
54250,1319883,0
54358,815836,0
54458,946866,0
54558,1036632,0
54665,1081516,0
54759,1211470,0
54869,973873,0
54960,1111951,0
55064,511534,0
55160,1071943,0
55261,1236856,0
55362,971801,0
55465,971801,0
55570,1041304,0
55670,1041619,0
55771,1515415,97020
55868,1407515,0
55975,950052,0
56068,1050433,0
56172,851788,0
56220,1051593,0
56323,819454,0
56424,780408,0
56534,708667,0
56625,882740,0
56725,377071,0
56827,976788,0
56925,818956,0
57024,1016684,0
57132,1021671,0
57224,1236856,0
57326,906970,0
57426,1485317,66922
57526,1289194,0
57627,1028923,0
57727,1272706,0
57833,1505051,86656
57928,1634433,216038
58031,1598583,180188
58132,1641603,223208
58223,1477347,58952
58323,1671230,252835
58424,1692621,274226
58526,1550908,132513
58628,1088671,0
58733,1233256,0
58833,1399923,0
58926,1439838,21443
59028,1491064,72669
59127,1820206,401811
59227,2174453,756058
59328,1285241,0
59429,470134,0
59531,1274234,0
59631,1293185,0
59734,1321713,0
59834,1264840,0
59932,1567459,149064
60039,928938,0
60144,1367704,0
60248,1674949,256554
60345,1663114,244719
60436,1335111,0
60536,1357049,0
60637,1318061,0
60739,445865,0
60840,720445,0
60944,915828,0
61042,724046,0
61143,742343,0
61243,649905,0
61349,701728,0
61445,1282572,0
61548,772986,0
61652,960398,0
61753,1269187,0
61853,936892,0
61957,911957,0
62056,907603,0
62160,892009,0
62256,931905,0
62357,969227,0
62459,837245,0
62560,753292,0
62658,1056580,0
62758,1051593,0
62859,986762,0
62959,1147990,0
63061,887022,0
63160,824560,0
63259,1117252,0
63360,1165155,0
63461,1150814,0
63556,1014583,0
63660,857100,0
63768,1311136,0
63865,1454799,36404
63965,1394955,0
64065,1634433,216038
64166,1565449,147054
64267,1454799,36404
64372,1404929,0
64468,1248255,0
64569,771128,0
64669,1168384,0
64770,1706134,287739
64870,1297439,0
64973,1315163,0
65079,1469760,51365
65171,1727644,309249
65273,1462410,44015
65373,1677454,259059
65466,1491031,72636
65567,1290228,0
65668,1355772,0
65769,807696,0
65871,652925,0
65972,1393973,0
66079,1426771,8376
66178,1524617,106222
66277,1641603,223208
66383,1577973,159578
66478,1320712,0
66579,623707,0
66681,1597380,178985
66779,1612923,194528
66883,1064773,0
66976,973760,0
67077,914641,0
67178,747828,0
67281,1117254,0
67379,1089506,0
67479,908400,0
67579,852261,0
67681,766313,0
67781,632051,0
67883,732985,0
67984,702761,0
68087,751320,0
68186,756085,0
68288,749760,0
,,
