datetime,cpu,mem
Sat Oct 22 10:31:22 GMT 2022,1.7,1363944
Sat Oct 22 10:31:23 GMT 2022,-13.3,1365080
Sat Oct 22 10:31:25 GMT 2022,-13.3,1239806
Sat Oct 22 10:31:26 GMT 2022,-13.3,1258771
Sat Oct 22 10:31:28 GMT 2022,-13.3,1390552
Sat Oct 22 10:31:31 GMT 2022,3.5,1413352
Sat Oct 22 10:31:33 GMT 2022,3.5,1412867
Sat Oct 22 10:31:35 GMT 2022,3.5,1413708
Sat Oct 22 10:31:37 GMT 2022,-18.6,1410827
Sat Oct 22 10:31:39 GMT 2022,-18.6,1411043
Sat Oct 22 10:31:41 GMT 2022,-18.6,1413608
Sat Oct 22 10:31:43 GMT 2022,0.6,1410003
Sat Oct 22 10:31:44 GMT 2022,0.6,1409179
Sat Oct 22 10:31:45 GMT 2022,0.6,1409733
Sat Oct 22 10:31:47 GMT 2022,0.6,1412346
Sat Oct 22 10:31:49 GMT 2022,1.5,1409721
Sat Oct 22 10:31:51 GMT 2022,1.5,1408969
Sat Oct 22 10:31:52 GMT 2022,1.5,1409729
Sat Oct 22 10:31:53 GMT 2022,1.5,1411818
Sat Oct 22 10:31:55 GMT 2022,30,1409497
Sat Oct 22 10:31:57 GMT 2022,30,1408541
Sat Oct 22 10:31:59 GMT 2022,30,1409639
Sat Oct 22 10:32:00 GMT 2022,30,1411920
Sat Oct 22 10:32:02 GMT 2022,31,1411963
Sat Oct 22 10:32:04 GMT 2022,31,1407619
Sat Oct 22 10:32:05 GMT 2022,31,1413072
Sat Oct 22 10:32:07 GMT 2022,0.6,1410931
Sat Oct 22 10:32:08 GMT 2022,0.6,1411971
Sat Oct 22 10:32:10 GMT 2022,0.6,1410875
Sat Oct 22 10:32:12 GMT 2022,0.6,1412640
Sat Oct 22 10:32:14 GMT 2022,1.6,1411487
Sat Oct 22 10:32:16 GMT 2022,1.6,1412579
Sat Oct 22 10:32:17 GMT 2022,1.6,1410750
Sat Oct 22 10:32:18 GMT 2022,1.6,1411556
Sat Oct 22 10:32:20 GMT 2022,30,1411507
Sat Oct 22 10:32:22 GMT 2022,30,1412903
Sat Oct 22 10:32:24 GMT 2022,30,1412300
Sat Oct 22 10:32:26 GMT 2022,33,1411327
Sat Oct 22 10:32:28 GMT 2022,33,1412235
Sat Oct 22 10:32:29 GMT 2022,33,1415124
Sat Oct 22 10:32:31 GMT 2022,36,1412279
Sat Oct 22 10:32:33 GMT 2022,36,1412851
Sat Oct 22 10:32:35 GMT 2022,36,1397900
