Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
10,2594876,977917
89,2646705,1029746
191,1657205,40246
297,2272572,655613
390,2208041,591082
491,2150680,533721
591,3500627,1883668
693,4197127,2580168
794,2000669,383710
895,2423921,806962
996,2089201,472242
1100,2982375,1365416
1200,4441155,2824196
1302,3130849,1513890
1402,2772683,1155724
1503,2538483,921524
1607,2482371,865412
1706,1611564,0
1798,1735503,118544
1899,1518821,0
1999,1549552,0
2099,1854443,237484
2202,1152802,0
2309,1549552,0
2409,1604409,0
2509,1713130,96171
2610,1689189,72230
2708,2150680,533721
2802,1734814,117855
2903,1270280,0
3004,1977873,360914
3104,2060232,443273
3204,1855738,238779
3315,795576,0
3413,714841,0
3512,1625046,8087
3614,2107659,490700
3714,2180829,563870
3810,3111473,1494514
3913,3431015,1814056
4016,6162125,4545166
4111,5762649,4145690
4211,3767419,2150460
4311,2772632,1155673
4412,3141771,1524812
4513,3434181,1817222
4612,2721922,1104963
4713,3816710,2199751
4825,4313755,2696796
4920,3679712,2062753
5019,4153263,2536304
5126,5136279,3519320
5234,3671160,2054201
5324,4326653,2709694
5435,4433615,2816656
5522,3107277,1490318
5624,3164644,1547685
5729,3502969,1886010
5824,2259123,642164
5939,2690623,1073664
6026,2881167,1264208
6133,3407651,1790692
6242,5000444,3383485
6334,3647600,2030641
6432,3336892,1719933
6541,3921365,2304406
6643,4420042,2803083
6743,3114620,1497661
6830,3608366,1991407
6936,3997626,2380667
7039,2416128,799169
7150,4025699,2408740
7238,3098965,1482006
7339,2221626,604667
7439,1494244,0
7541,1498579,0
7643,1854935,237976
7741,1706512,89553
7843,2280119,663160
7942,1627640,10681
8041,2000764,383805
8141,486492,0
8244,1064773,0
8345,1150814,0
8439,956148,0
8542,782295,0
8641,1003299,0
8743,928494,0
8841,948978,0
8942,753803,0
9042,1106720,0
9146,636168,0
9248,758571,0
9345,1248677,0
9445,942882,0
9547,705076,0
9649,2048946,431987
9749,1406526,0
9851,822717,0
9950,866077,0
10053,403094,0
10158,1558557,0
10255,926043,0
10357,1330628,0
10455,1151376,0
10562,929103,0
10656,1251757,0
10762,871742,0
10859,1559079,0
10957,557119,0
11067,776275,0
11159,964792,0
11283,612074,0
11364,1430448,0
11460,1136474,0
11570,856841,0
11657,1734605,117646
11757,773554,0
11858,1192761,0
11959,807117,0
12061,748753,0
12161,2849053,1232094
12260,1111274,0
12361,1035954,0
12462,916779,0
12565,821786,0
12663,318324,0
12769,725952,0
12865,1310426,0
12964,819422,0
13065,904883,0
13165,849670,0
13268,889330,0
13365,1199931,0
13469,1279444,0
13567,999922,0
13670,619153,0
13769,1452426,0
13871,1288448,0
13969,1343333,0
14071,864158,0
14171,672781,0
14273,748753,0
14376,658832,0
14474,714003,0
14526,738552,0
14625,740161,0
14726,717350,0
14827,661064,0
14927,719582,0
15028,621564,0
15127,814311,0
15228,1104941,0
15329,971562,0
15429,993325,0
15530,858530,0
15630,1436544,0
15730,895187,0
15831,2067512,450553
15931,2856551,1239592
16032,2442088,825129
16133,1694668,77709
16234,1823729,206770
16334,1760740,143781
16439,2830744,1213785
16544,2721532,1104573
16639,2728235,1111276
16740,3046404,1429445
16849,2276924,659965
16941,2376052,759093
17042,1818498,201539
17144,2036684,419725
17248,1573850,0
17340,1506704,0
17440,2043854,426895
17540,1930207,313248
17641,1752028,135069
17742,2032736,415777
17843,1983013,366054
17943,2068845,451886
18043,1908557,291598
18144,1258366,0
18244,1902600,285641
18352,1466299,0
18452,1695742,78783
18558,1806515,189556
18652,1114086,0
18754,1347600,0
18856,1809389,192430
18949,1631211,14252
19050,1494979,0
19150,1774613,157654
19250,1651647,34688
19351,1961035,344076
19452,1144112,0
19557,877277,0
19654,1013273,0
19754,793700,0
19857,732553,0
19956,735793,0
20057,645441,0
20161,696149,0
20258,544027,0
20358,561899,0
20462,901747,0
20565,619507,0
20669,1098078,0
20765,1831973,215014
20866,1674231,57272
20961,1737688,120729
21061,1035439,0
21162,783725,0
21264,741362,0
21363,793783,0
21466,720698,0
21567,633167,0
21667,708423,0
21766,1337283,0
21866,1502149,0
21967,1632145,15186
22067,1006710,0
22172,1015296,0
22273,1224733,0
22376,951853,0
22481,911957,0
22580,848505,0
22679,1001723,0
22779,1041619,0
22880,1499682,0
22981,1579474,0
23081,1569500,0
23180,1489106,0
23284,1404929,0
23392,1436281,0
23484,1720474,103515
23582,666034,0
23681,1240426,0
23784,1698964,82005
23888,1397820,0
23978,1641603,24644
24078,1363334,0
24190,1309046,0
24292,1484721,0
24390,1922999,306040
24489,1693202,76243
24595,1455677,0
24689,2293320,676361
24790,1744541,127582
24890,640546,0
24991,1175895,0
25091,1548392,0
25193,1449812,0
25293,1569500,0
25396,1298336,0
25495,1530336,0
25598,2200871,583912
25687,1591413,0
25788,1414903,0
25890,1313894,0
26002,1269059,0
26099,1339725,0
26201,658285,0
26297,1163963,0
26391,1370020,0
26491,1546555,0
26592,1264384,0
26693,1251148,0
26794,928812,0
26896,782675,0
26997,674454,0
27098,790276,0
27200,652137,0
27299,705076,0
27400,703960,0
27503,730933,0
27604,735793,0
27701,931594,0
27805,579262,0
27906,1173043,0
28002,254337,0
28103,918374,0
28204,928348,0
28307,796446,0
28406,714733,0
28509,701728,0
28609,738552,0
28711,711722,0
28811,707928,0
28911,690433,0
29012,684941,0
29115,757916,0
29214,641249,0
29317,721814,0
29416,760862,0
29516,698947,0
29616,1222581,0
29719,1160481,0
29816,1265122,0
29927,1509656,0
30023,2222381,605422
30126,1419890,0
30226,1320150,0
30327,1464773,0
30429,1359597,0
30530,1326765,0
30630,1369446,0
30738,1204894,0
30837,1335960,0
30932,741520,0
31032,975162,0
31132,1849536,232577
31225,1828026,211067
31275,1664688,47729
31376,1241402,0
31493,1186963,0
31588,1502802,0
31684,2150680,533721
31784,724973,0
31888,1499670,0
31978,1605753,0
32080,1390166,0
32189,1385862,0
32291,1251474,0
32387,1289655,0
32482,1464773,0
32583,1404929,0
32683,1585183,0
32783,1320150,0
32886,1370034,0
32987,1215441,0
33088,215988,0
33188,1253946,0
33289,1260642,0
33390,1127886,0
33491,1252830,0
33590,1543422,0
33696,539388,0
33793,1256797,0
33894,1337119,0
33994,1180706,0
34095,1270414,0
34216,1346624,0
34304,1514643,0
34408,1651282,34323
34505,1666311,49352
34604,1663329,46370
34705,1414903,0
34805,1741985,125026
34899,810867,0
35004,720470,0
35110,1446393,0
35200,1554093,0
35301,1491064,0
35401,1326765,0
35502,1357334,0
35602,1272789,0
35703,1213719,0
35804,1272940,0
35907,1233861,0
36006,1314328,0
36107,1135589,0
36209,847958,0
36312,970772,0
36412,1038701,0
36517,1320150,0
36618,1365033,0
36718,1539578,0
36819,916213,0
36919,714661,0
37020,926918,0
37122,838656,0
37224,771534,0
37326,812353,0
37431,710027,0
37526,933868,0
37628,1024418,0
37724,1215345,0
37819,1120105,0
37920,1448051,0
38019,1107068,0
38121,978218,0
38222,763602,0
38322,733824,0
38425,690569,0
38524,722980,0
38626,665527,0
38727,686057,0
38828,721814,0
38929,639862,0
39029,677130,0
39128,712887,0
39231,678295,0
39331,740784,0
39432,710655,0
39533,746365,0
39633,616319,0
39736,1017079,0
39839,1346226,0
39940,1591413,0
40045,1459786,0
40141,1713304,96345
40241,1469521,0
40342,1512542,0
40447,1526882,0
40543,1605753,0
40649,1480567,0
40744,1713304,96345
40849,1620885,3926
40947,1173544,0
41046,834609,0
41146,1309562,0
41247,1376310,0
41341,1570856,0
41441,1612801,0
41541,1163418,0
41642,1295149,0
41744,1141168,0
41846,1260076,0
41946,1209866,0
42049,1322074,0
42147,1247802,0
42249,768749,0
42353,968841,0
42456,1088892,0
42561,1562732,0
42659,1611454,0
42757,1584242,0
42850,1375007,0
42951,1399942,0
43051,1425598,0
43153,1446181,0
43254,1520986,0
43354,1228165,0
43455,1238188,0
43557,1338628,0
43655,814237,0
43758,1097024,0
43862,1067638,0
43964,1357673,0
44065,1165155,0
44168,1143644,0
44259,1293142,0
44360,1085210,0
44461,1122134,0
44566,1229685,0
44669,1228611,0
44761,1418047,0
44861,1177347,0
44962,1035019,0
45064,1122134,0
45165,1172792,0
45263,1235782,0
45364,1300312,0
45468,1296863,0
45570,1365917,0
45671,1193835,0
45771,1114964,0
45872,1172325,0
45972,1193835,0
46073,1308556,0
46173,1086284,0
46277,979806,0
46369,793732,0
46469,1214271,0
46570,977658,0
46670,1982545,365586
46770,1350503,0
46871,1215813,0
46973,1164081,0
47021,1136474,0
47122,1097959,0
47223,1308159,0
47323,1071943,0
47424,1207101,0
47524,1085210,0
47630,1142570,0
47731,1179495,0
47831,1193835,0
47933,1165155,0
48030,1143644,0
48138,1052372,0
48227,957222,0
48329,832715,0
48428,1064773,0
48531,812746,0
48629,1027849,0
48734,712574,0
48833,1012789,0
48937,1006362,0
49032,872061,0
49133,799729,0
49233,825523,0
49333,775742,0
49451,700567,0
49551,769220,0
49644,868204,0
49743,870632,0
49843,662468,0
49952,862087,0
50040,1100624,0
50140,838582,0
50240,879466,0
50341,755307,0
50441,791695,0
50545,1170060,0
50645,1203293,0
50752,896996,0
50848,1000242,0
50950,906970,0
51051,946866,0
51151,1026658,0
51252,926918,0
51352,936892,0
51452,911957,0
51553,468778,0
51652,1113801,0
51762,772625,0
51855,851788,0
51955,972184,0
52064,1091490,0
52157,1115229,0
52258,1116425,0
52359,874927,0
52462,1134137,0
52561,1136474,0
52659,1026099,0
52766,746726,0
52861,1316081,0
52961,1414903,0
53061,1404929,0
53162,1370020,0
53262,1429864,0
53363,1444825,0
53463,1578663,0
53564,1550520,0
53665,1004178,0
53765,1054003,0
53866,1510537,0
53958,1526882,0
54059,1409916,0
54159,1290228,0
54260,1363142,0
54361,1231888,0
54463,1296508,0
54563,1122199,0
54662,1616063,0
54764,1614627,0
54865,1282394,0
54968,850817,0
55065,1493778,0
55167,1210152,0
55266,1275267,0
55375,1446181,0
55476,1589448,0
55576,1384981,0
55675,1584242,0
55776,1515462,0
55871,1096570,0
