datetime,cpu,mem
Sat Oct 22 12:04:21 GMT 2022,0.3,1232766
Sat Oct 22 12:04:22 GMT 2022,0,1236575
Sat Oct 22 12:04:24 GMT 2022,0,1242803
Sat Oct 22 12:04:25 GMT 2022,0,1234634
Sat Oct 22 12:04:27 GMT 2022,0,1226963
Sat Oct 22 12:04:28 GMT 2022,0.5,1220865
Sat Oct 22 12:04:30 GMT 2022,0.5,1233116
Sat Oct 22 12:04:32 GMT 2022,0.5,1232165
Sat Oct 22 12:04:34 GMT 2022,0.5,1229657
Sat Oct 22 12:04:37 GMT 2022,0.5,1229069
Sat Oct 22 12:04:39 GMT 2022,0.5,1229324
Sat Oct 22 12:04:41 GMT 2022,44,1220601
Sat Oct 22 12:04:43 GMT 2022,44,1222539
Sat Oct 22 12:04:45 GMT 2022,44,1224573
Sat Oct 22 12:04:48 GMT 2022,46,1206894
Sat Oct 22 12:04:50 GMT 2022,46,1211306
Sat Oct 22 12:04:52 GMT 2022,46,1211913
Sat Oct 22 12:04:54 GMT 2022,49,1210964
Sat Oct 22 12:04:57 GMT 2022,49,1209924
Sat Oct 22 12:04:59 GMT 2022,49,1211709
Sat Oct 22 12:05:01 GMT 2022,47,1212568
Sat Oct 22 12:05:03 GMT 2022,47,1211688
Sat Oct 22 12:05:06 GMT 2022,47,1212523
Sat Oct 22 12:05:08 GMT 2022,46,1211998
Sat Oct 22 12:05:10 GMT 2022,46,1213432
Sat Oct 22 12:05:12 GMT 2022,46,1209687
Sat Oct 22 12:05:15 GMT 2022,-11.8,1211452
Sat Oct 22 12:05:17 GMT 2022,-11.8,1212788
Sat Oct 22 12:05:19 GMT 2022,-11.8,1212855
Sat Oct 22 12:05:21 GMT 2022,46,1211650
Sat Oct 22 12:05:24 GMT 2022,46,1212460
Sat Oct 22 12:05:26 GMT 2022,46,1215629
Sat Oct 22 12:05:28 GMT 2022,47,1210228
Sat Oct 22 12:05:30 GMT 2022,47,1214024
Sat Oct 22 12:05:33 GMT 2022,47,1221932
Sat Oct 22 12:05:35 GMT 2022,106,1199534
