Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,1378356,64923
72,2545035,1231602
173,1885386,571953
282,2394463,1081030
368,2541804,1228371
470,2932046,1618613
570,3365547,2052114
669,4256107,2942674
770,4435099,3121666
871,4212800,2899367
971,4543312,3229879
1073,5175061,3861628
1172,5374144,4060711
1280,4999739,3686306
1376,4516575,3203142
1475,4403468,3090035
1575,3851163,2537730
1675,2862182,1548749
1782,3084478,1771045
1885,3995771,2682338
1985,3612226,2298793
2078,3490354,2176921
2178,2815198,1501765
2279,2584887,1271454
2380,3249757,1936324
2487,3431579,2118146
2589,2839022,1525589
2682,3297139,1983706
2782,3096497,1783064
2883,3224985,1911552
2983,3010833,1697400
3085,3597541,2284108
3185,2888054,1574621
3285,3123010,1809577
3386,3175326,1861893
3494,3446708,2133275
3592,2445500,1132067
3691,2241572,928139
3795,1997854,684421
3895,1853484,540051
3996,1910844,597411
4090,1738762,425329
4190,2302584,989151
4290,2412075,1098642
4393,2328371,1014938
4497,1089715,0
4592,1817633,504200
4692,2389093,1075660
4793,2135524,822091
4893,1932355,618922
4994,1825738,512305
5097,991998,0
5195,958270,0
5294,1709684,396251
5396,1188953,0
5507,1523339,209906
5598,1446190,132757
5699,2200850,887417
5799,1581020,267587
5901,1465225,151792
6001,1752028,438595
6100,2040208,726775
6201,2225696,912263
6302,2418214,1104781
6402,1866117,552684
6502,1638216,324783
6603,1888701,575268
6704,1966498,653065
6805,1834341,520908
6906,1897937,584504
7009,1368632,55199
7111,2141240,827807
7209,2015132,701699
7309,2108176,794743
7410,2007795,694362
7516,2108176,794743
7623,1932588,619155
7716,2245922,932489
7816,1873078,559645
7917,1280438,0
8015,1309118,0
8121,986464,0
8220,1717813,404380
8320,1402329,88896
8420,1194397,0
8525,825500,0
8626,1237417,0
8729,1253279,0
8824,1402329,88896
8925,1409499,96066
9026,989103,0
9146,446821,0
9231,666489,0
9329,976084,0
9430,1621035,307602
9524,1633277,319844
9624,1497310,183877
9725,1709129,395696
9825,2113765,800332
9928,1309740,0
10035,2728582,1415149
10142,2264718,951285
10236,2394913,1081480
10345,1873911,560478
10446,2595676,1282243
10536,2473784,1160351
10644,1397591,84158
10740,2375914,1062481
10841,2357772,1044339
10934,2157878,844445
11034,1798505,485072
