datetime,cpu,mem
Sat Oct 22 11:36:26 GMT 2022,2.1,1170028
Sat Oct 22 11:36:28 GMT 2022,3.5,1085496
Sat Oct 22 11:36:29 GMT 2022,3.5,1162988
Sat Oct 22 11:36:30 GMT 2022,3.5,1228149
Sat Oct 22 11:36:32 GMT 2022,3.5,1263428
Sat Oct 22 11:36:34 GMT 2022,57,1264004
Sat Oct 22 11:36:35 GMT 2022,57,1264015
Sat Oct 22 11:36:36 GMT 2022,57,1255761
Sat Oct 22 11:36:38 GMT 2022,57,1240323
Sat Oct 22 11:36:39 GMT 2022,37,1236477
Sat Oct 22 11:36:41 GMT 2022,37,1234453
Sat Oct 22 11:36:42 GMT 2022,37,1234701
Sat Oct 22 11:36:44 GMT 2022,37,1235697
Sat Oct 22 11:36:45 GMT 2022,36,1232959
Sat Oct 22 11:36:46 GMT 2022,36,1324249
Sat Oct 22 11:36:48 GMT 2022,36,1323613
Sat Oct 22 11:36:49 GMT 2022,36,1324733
Sat Oct 22 11:36:51 GMT 2022,0.8,1231153
Sat Oct 22 11:36:53 GMT 2022,0.8,1244445
Sat Oct 22 11:36:54 GMT 2022,0.8,1257057
Sat Oct 22 11:36:56 GMT 2022,0.8,1274373
Sat Oct 22 11:36:58 GMT 2022,57,1269731
Sat Oct 22 11:37:00 GMT 2022,57,1282219
Sat Oct 22 11:37:02 GMT 2022,57,1284545
Sat Oct 22 11:37:04 GMT 2022,-1,1281863
Sat Oct 22 11:37:06 GMT 2022,-1,1251657
Sat Oct 22 11:37:08 GMT 2022,-1,1255021
Sat Oct 22 11:37:10 GMT 2022,0.5,1254407
Sat Oct 22 11:37:12 GMT 2022,0.5,1290583
Sat Oct 22 11:37:14 GMT 2022,0.5,1310799
Sat Oct 22 11:37:16 GMT 2022,63,1311459
Sat Oct 22 11:37:18 GMT 2022,63,1312745
Sat Oct 22 11:37:20 GMT 2022,63,1273199
Sat Oct 22 11:37:22 GMT 2022,67,1282939
Sat Oct 22 11:37:24 GMT 2022,67,1287225
Sat Oct 22 11:37:27 GMT 2022,67,1292492
Sat Oct 22 11:37:29 GMT 2022,0,1296807
Sat Oct 22 11:37:32 GMT 2022,0,1263615
Sat Oct 22 11:37:34 GMT 2022,0,1264817
Sat Oct 22 11:37:36 GMT 2022,61,1263195
Sat Oct 22 11:37:38 GMT 2022,61,1260902
Sat Oct 22 11:37:40 GMT 2022,61,1248717
