Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
59,2655644,1099158
160,2100489,544003
261,2844710,1288224
361,2831839,1275353
468,3706816,2150330
567,3535080,1978594
671,4514950,2958464
769,6323634,4767148
875,5231771,3675285
975,6091895,4535409
1066,6340699,4784213
1171,6234220,4677734
1270,5965606,4409120
1375,4436846,2880360
1468,2694901,1138415
1569,3170709,1614223
1670,2865741,1309255
1769,3118016,1561530
1871,3120990,1564504
1972,1898389,341903
2070,2081464,524978
2176,1959537,403051
2271,2301915,745429
2371,2291923,735437
2478,2476910,920424
2577,3328389,1771903
2675,2544218,987732
2776,2377542,821056
2882,2837460,1280974
2977,3330450,1773964
3080,3007898,1451412
3181,2752915,1196429
3281,2409742,853256
3382,1955960,399474
3483,3026370,1469884
3595,3689422,2132936
3686,3842424,2285938
3793,2948269,1391783
3882,3403826,1847340
3984,3229057,1672571
4082,2766553,1210067
4186,2013629,457143
4287,2189404,632918
4382,1900104,343618
4484,913127,0
4583,1504019,0
4683,1543419,0
4784,1988641,432155
4885,1803937,247451
4986,1820493,264007
5087,1369720,0
5189,1290245,0
5290,1637428,80942
5391,1011215,0
5491,1400815,0
5592,590595,0
5692,543020,0
5793,1033223,0
5893,846303,0
5995,439556,0
6095,761702,0
6195,894757,0
6297,556423,0
6399,1904079,347593
6501,1668168,111682
6602,874380,0
6703,1733658,177172
6803,1661957,105471
6898,3822910,2266424
6999,4693963,3137477
7105,4285214,2728728
7200,4898538,3342052
7301,3982826,2426340
7402,3929617,2373131
7503,3712695,2156209
7603,5170812,3614326
7703,4893444,3336958
7803,5314213,3757727
7916,4471083,2914597
8014,4332730,2776244
8107,3831778,2275292
8210,3781120,2224634
8311,4011895,2455409
8412,4124469,2567983
8515,4062553,2506067
8612,3978123,2421637
8713,3426513,1870027
8814,3831778,2275292
8921,2414043,857557
9013,2273327,716841
9115,2301470,744984
9215,2335242,778756
9316,2245183,688697
9417,2183268,626782
9519,2239555,683069
9619,2093209,536723
9717,2188896,632410
9832,2065066,508580
9922,1958777,402291
10030,2088237,531751
10127,1998178,441692
10234,2088237,531751
10325,2015064,458578
10428,2015064,458578
10527,2138895,582409
10629,2009435,452949
10727,2099494,543008
10827,2144524,588038
10934,4223298,2666812
11036,4240184,2683698
11128,4110725,2554239
11229,3874320,2317834
11333,3885578,2329092
11435,3879949,2323463
11530,3908093,2351607
11629,3818034,2261548
11732,3514085,1957599
11832,3553486,1997000
11940,3835542,2279056
12033,4190148,2633662
12137,3554108,1997622
12233,3813027,2256541
12333,3694825,2138339
12437,3267046,1710560
12536,3683568,2127082
12636,3717340,2160854
12737,3604766,2048280
12840,3430277,1873791
12942,1497226,0
13041,1305851,0
13140,1063819,0
13240,1300223,0
13344,1671715,115229
13446,1671715,115229
13546,1660458,103972
13643,1615428,58942
13757,1834947,278461
13853,1863090,306604
13948,2770306,1213820
14050,2213068,656582
14150,2674619,1118133
14253,2775935,1219449
14354,2390935,834449
14462,2452851,896365
14559,2849108,1292622
14654,2922281,1365795
14754,2820964,1264478
14859,2815336,1258850
14957,4417988,2861502
15052,4350444,2793958
15155,4029610,2473124
15254,4040867,2484381
15356,3905779,2349293
15458,4294158,2737672
15557,4361702,2805216
15660,4637507,3081021
15766,4491161,2934675
15861,4744451,3187965
15961,2092794,536308
16063,1968963,412477
16160,2154710,598224
16260,2199739,643253
16365,2244768,688282
16465,2098423,541937
16562,2064651,508165
16662,2075908,519422
16764,2030879,474393
16884,2098423,541937
16968,1886019,329533
17070,1728416,171930
17170,1824103,267617
17287,1959191,402705
17374,1728416,171930
17470,1745302,188816
17573,1756559,200073
17669,1756559,200073
17775,1818474,261988
17873,1852247,295761
17989,4258314,2701828
18083,4134483,2577997
18186,4196399,2639913
18291,4258314,2701828
18384,4196399,2639913
18489,4168255,2611769
18581,4027538,2471052
18631,3796763,2240277
18736,3717961,2161475
18838,3695447,2138961
18935,3926636,2370150
19034,3999809,2443323
19135,3724004,2167518
19236,3853464,2296978
19342,3707118,2150632
