datetime,cpu,mem
Fri Oct 28 16:23:06 GMT 2022,80,1350800
Fri Oct 28 16:23:07 GMT 2022,0.4,1374333
Fri Oct 28 16:23:09 GMT 2022,0.4,1402843
Fri Oct 28 16:23:11 GMT 2022,0.4,1401189
Fri Oct 28 16:23:14 GMT 2022,0.9,1429992
Fri Oct 28 16:23:16 GMT 2022,0.9,1474149
Fri Oct 28 16:23:21 GMT 2022,1.2,1534347
Fri Oct 28 16:23:24 GMT 2022,1.2,1540607
Fri Oct 28 16:23:29 GMT 2022,93,1560553
Fri Oct 28 16:23:32 GMT 2022,93,1588663
Fri Oct 28 16:23:35 GMT 2022,91,1593984
Fri Oct 28 16:23:39 GMT 2022,91,1631964
Fri Oct 28 16:23:42 GMT 2022,0.3,1658219
Fri Oct 28 16:23:46 GMT 2022,0.3,1682956
Fri Oct 28 16:23:51 GMT 2022,1.3,1702978
Fri Oct 28 16:23:54 GMT 2022,1.3,1686157
Fri Oct 28 16:23:57 GMT 2022,83,1695824
Fri Oct 28 16:24:00 GMT 2022,83,1702714
Fri Oct 28 16:24:03 GMT 2022,0.2,1717107
Fri Oct 28 16:24:07 GMT 2022,0.2,1732634
Fri Oct 28 16:24:12 GMT 2022,1.2,1740837
Fri Oct 28 16:24:16 GMT 2022,1.2,1744741
Fri Oct 28 16:24:19 GMT 2022,91,1741768
