Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
63,3226817,687777
164,2462220,0
264,2480902,0
369,1605293,0
472,1779155,0
571,2307870,0
674,1322897,0
767,1613300,0
867,1904659,0
968,2072186,0
1078,2064221,0
1172,2401334,0
1272,2692414,153374
1374,2871667,332627
1470,4026599,1487559
1571,3961670,1422630
1684,3861687,1322647
1783,4212312,1673272
1887,4599861,2060821
1993,4656493,2117453
2100,4721388,2182348
2191,5798513,3259473
2298,5947728,3408688
2402,6178933,3639893
2500,4347831,1808791
2603,3095253,556213
2713,3958132,1419092
2805,3811709,1272669
2897,4044173,1505133
3007,3900771,1361731
3109,3409010,869970
3210,2692001,152961
3311,3014655,475615
3410,3258738,719698
3515,3172973,633933
3615,2917868,378828
3717,3325268,786228
3812,3138845,599805
3919,2938083,399043
4021,3278708,739668
4122,3622872,1083832
4221,3551171,1012131
4285,3551171,1012131
4384,3486640,947600
4485,3052377,513337
4582,2887465,348425
4695,2219202,0
4788,2376805,0
4887,2337404,0
4992,2393691,0
5086,2500635,0
5190,2248502,0
5294,2304789,0
5412,2248502,0
5505,2534974,0
5593,2421697,0
5697,2337267,0
5797,2354153,0
5894,2219064,0
6002,2131593,0
6095,2182251,0
6219,2154108,0
6300,2238538,0
6406,2238538,0
6505,2131973,0
6605,2148859,0
6712,2098201,0
6804,2205146,0
6906,2064429,0
7013,2037579,0
7103,2122009,0
7205,2060093,0
7331,1913748,0
7411,2082608,0
7505,2122009,0
7613,2122009,0
7706,2122009,0
7811,1953149,0
7911,2138895,0
8022,2178296,0
8122,2037579,0
8220,2251468,0
8314,2195182,0
8417,2138895,0
8513,2093865,0
8626,2080021,0
8716,2102536,0
8818,2158823,0
8922,2113793,0
9036,2057507,0
9115,2130680,0
9232,2051878,0
9322,2251468,0
9420,2122009,0
9517,2031950,0
9621,2251468,0
9719,2082608,0
9832,2195182,0
9919,2015064,0
10025,2144524,0
10123,2251468,0
10228,2144524,0
10357,2251468,0
10435,2251468,0
10536,2795135,256095
10635,2705077,166037
10735,2738849,199809
10839,2671305,132265
10929,2738849,199809
11037,2795135,256095
11131,2631904,92864
11238,2795135,256095
11347,2795135,256095
11453,2795135,256095
11542,2229161,0
11638,2205146,0
11738,2251468,0
11885,2195182,0
11969,2251468,0
12056,2251468,0
12137,2127638,0
12261,2251468,0
12362,2195182,0
12448,2251468,0
12553,2082608,0
12646,2037579,0
12750,1594771,0
12847,2069436,0
12953,1939977,0
13043,2395899,0
13148,2063808,0
13253,1934348,0
13354,2156767,0
13457,2410057,0
13556,2421314,0
13655,2719634,180594
13771,2471972,0
13857,3130527,591487
13959,2276480,0
14063,2006304,0
14160,1985006,0
14260,1613514,0
14310,2001892,0
14413,1551598,0
14517,1816146,0
14619,2185781,0
14719,2071351,0
14822,2138895,0
14987,2212068,0
15028,2251468,0
15126,2138895,0
15221,2138895,0
15328,2158823,0
15423,2051878,0
15517,2203852,0
15625,2119422,0
15723,2158823,0
15826,2158823,0
15924,2158823,0
16025,2153194,0
16124,2175709,0
16227,2198224,0
16327,2108165,0
16435,2091279,0
16529,2138895,0
16638,2195182,0
16725,2251468,0
16832,2150152,0
16933,2251468,0
17032,2251468,0
17130,2155781,0
17242,2251468,0
17330,2175709,0
17443,2271396,0
17540,2271396,0
17643,2215110,0
17734,2119422,0
17832,2158823,0
17952,2271396,0
18033,2271396,0
18141,2271396,0
18244,2012477,0
18339,2193888,0
18443,2210774,0
18537,2261432,0
18640,2148859,0
18746,2148859,0
18846,2195182,0
18953,2251468,0
19072,2195182,0
19166,2195182,0
19254,2251468,0
19361,2144524,0
19459,2138895,0
19553,2195182,0
19664,2195182,0
19766,2138895,0
19851,2178296,0
19963,2251468,0
20056,2195182,0
20166,2251468,0
20258,2251468,0
20353,2158823,0
20457,2147566,0
20557,2215110,0
20674,2271396,0
20764,2271396,0
20870,2158823,0
20969,2215110,0
21071,2195182,0
21192,2251468,0
21290,2251468,0
21371,2183924,0
21484,2138895,0
21574,2251468,0
21675,2251468,0
21771,2122009,0
21873,2195182,0
21973,2048836,0
22076,2251468,0
22176,2031950,0
22274,2048836,0
22405,2155781,0
22484,2251468,0
22588,2183924,0
22676,1915605,0
22777,2643561,104521
22878,2288954,0
22981,2159495,0
23077,2497215,0
23179,2198896,0
23281,2288954,0
23380,1866804,0
23482,1816146,0
23585,1557227,0
23687,2238296,0
23783,2739248,200208
23886,2131352,0
23987,1872433,0
24084,2007521,0
24185,1726087,0
24287,1574113,0
24390,1782374,0
24487,1748602,0
24590,1675429,0
24687,1838661,0
24788,1759859,0
24889,1838661,0
24989,1664172,0
25091,1821775,0
25190,1810517,0
25294,1675429,0
25393,2553502,14462
25491,2097580,0
25592,2260811,0
25697,2191410,0
25806,2195182,0
25896,2195182,0
25998,2195182,0
26104,2195182,0
26196,2251468,0
26311,2195182,0
26395,2183924,0
26507,2195182,0
26618,2043207,0
26671,2251468,0
26757,2251468,0
26864,2195182,0
26973,2088237,0
27059,2127638,0
27178,2183924,0
27285,2251468,0
27366,2178296,0
27474,1975663,0
27585,2183924,0
27664,2183924,0
27769,2037579,0
27874,2195182,0
27971,2037579,0
28075,2093865,0
28165,2082608,0
28273,2088237,0
28371,2082608,0
28474,2251468,0
28569,2144524,0
28673,2183924,0
28777,2144524,0
28881,2251468,0
28972,2183924,0
29099,2195182,0
29194,2195182,0
29289,2155781,0
29376,2195182,0
29491,2251468,0
29579,2138895,0
29682,2195182,0
29790,2195182,0
29876,2251468,0
29980,2178296,0
30083,2138895,0
30183,1896862,0
30286,1941891,0
30386,2195182,0
30481,2122009,0
30581,2026321,0
30711,2060093,0
30788,2122009,0
30900,2127638,0
30984,2127638,0
31099,1874347,0
31190,2048836,0
31298,2138895,0
31391,2093865,0
31493,2195182,0
31595,2071351,0
31693,2251468,0
31798,2054465,0
31891,2082608,0
32009,1896862,0
32106,2127638,0
32188,2251468,0
32301,2206439,0
32408,2251468,0
32493,2138895,0
32599,2093865,0
32694,1887462,0
32795,2080694,0
32897,2339612,0
33002,2435300,0
33100,2739248,200208
33207,2345241,0
33306,2908108,369068
33409,2908108,369068
33515,2795535,256495
33609,2840564,301524
33701,2553502,14462
33807,2035664,0
33907,1894947,0
34010,1979377,0
34107,2260811,0
34207,2204524,0
34307,2063808,0
34407,2215782,0
34507,2243925,0
34613,2598531,59491
34708,2523502,0
34824,2251468,0
34922,2195182,0
35024,2195182,0
35130,2206439,0
35223,2251468,0
35321,2195182,0
35419,2183924,0
35513,2195182,0
35628,2183924,0
35720,2183924,0
35822,2161410,0
35920,2122009,0
36022,2026321,0
36124,1992549,0
36218,2116380,0
36332,2195182,0
36422,2195182,0
36528,2195182,0
36623,2195182,0
36727,2195182,0
36823,2116380,0
36927,2037579,0
37035,2138895,0
37124,2060093,0
37234,2082608,0
37337,2251468,0
37425,2026321,0
37531,2251468,0
37634,2122009,0
37730,2043207,0
37832,2195182,0
37929,2088237,0
38033,2195182,0
38136,2195182,0
38237,2251468,0
38334,2037579,0
38446,2251468,0
38542,2082608,0
38646,2251468,0
38742,2195182,0
38849,2099494,0
38948,2110752,0
39040,2138895,0
39161,2144524,0
39244,2195182,0
39353,2144524,0
39453,2122009,0
39552,2144524,0
39653,2082608,0
39747,2195182,0
39865,2195182,0
39946,2251468,0
40053,2009435,0
40152,2138895,0
40250,2183924,0
40350,1834947,0
40458,2138895,0
40502,2110752,0
40608,2110752,0
40706,2144524,0
40804,2144524,0
40905,2060093,0
41011,2155781,0
41103,2183924,0
41207,2060093,0
41321,2026321,0
41408,2167038,0
41519,2127638,0
41615,2251468,0
41713,2251468,0
41818,2195182,0
41925,2200810,0
42025,2183924,0
42122,2251468,0
42219,2251468,0
42336,2195182,0
42420,2183924,0
42520,2251468,0
42616,2138895,0
42718,2191410,0
42827,2243925,0
42921,2778649,239609
43022,2300212,0
43123,2716733,177693
43220,2542245,3205
43321,2317098,0
43420,2363069,0
43525,2097580,0
43636,2716733,177693
43723,2778649,239609
43834,2362127,0
43921,2523953,0
44027,2097580,0
44127,2007521,0
44228,1917462,0
44334,2317098,0
44434,2908108,369068
44529,2474701,0
44628,1624771,0
44729,2253325,0
44840,2082608,0
44932,2138895,0
45039,2138895,0
45139,2251468,0
45257,2251468,0
45333,2099494,0
45442,2183924,0
45538,2195182,0
45638,2127638,0
45769,1913748,0
45844,2183924,0
45942,2116380,0
46049,2195182,0
46154,2251468,0
46265,2206439,0
46349,2251468,0
46445,2082608,0
46547,1885605,0
46649,2138895,0
46750,2138895,0
46852,2122009,0
46959,2082608,0
47048,2183924,0
47151,2138895,0
47249,2110752,0
47357,2155781,0
47460,2195182,0
47550,2155781,0
47649,2251468,0
47756,2195182,0
47869,2251468,0
47956,2195182,0
48077,2251468,0
48168,2251468,0
48273,2251468,0
48367,2251468,0
48479,2195182,0
48562,2195182,0
48661,2026321,0
48775,2183924,0
48863,2183924,0
48968,2195182,0
49066,2093865,0
49178,1896862,0
49270,1936263,0
49370,2138895,0
49469,2088237,0
49575,2026321,0
49672,2099494,0
49773,2178296,0
49874,1958777,0
49981,1699858,0
50075,2015064,0
50178,2127638,0
50272,2183924,0
50378,3270844,731804
50481,2499739,0
50592,2127638,0
50678,2133266,0
50780,1491598,0
50879,1660458,0
50985,1682972,0
51082,1660458,0
51187,1744888,0
51284,1711116,0
51395,2088237,0
51488,2037579,0
51587,1840575,0
51685,2110752,0
51786,1812432,0
51888,2043207,0
51995,1986921,0
52102,2251468,0
52199,2195182,0
52289,2144524,0
52389,1902491,0
52493,1576028,0
52595,1711116,0
52693,1925005,0
52796,1778660,0
52893,1998178,0
52994,1739259,0
53097,1739259,0
53194,1840575,0
53300,1913748,0
53402,2003807,0
53505,2183924,0
53605,2195182,0
53713,2206439,0
53806,2251468,0
53898,2127638,0
54003,1868719,0
54104,1615428,0
54205,1913748,0
54306,1699858,0
54411,1716744,0
54455,1829318,0
54558,1711116,0
54682,1930634,0
54778,2251468,0
54856,1756145,0
54963,1789917,0
55070,1812432,0
55168,2031950,0
55265,1998178,0
55375,1722373,0
55472,1756145,0
55567,1767403,0
55667,1688601,0
55768,1722373,0
55873,1632314,0
55967,1711116,0
56069,1688601,0
56169,1671715,0
56273,1632314,0
56371,2015064,0
56470,1953149,0
56571,1750516,0
56675,1682972,0
56777,2195182,0
56875,2908108,369068
56976,2519730,0
57084,1861175,0
57181,1900576,0
57288,1472797,0
57384,1630400,0
57485,1652914,0
57582,1714830,0
57681,2767392,228352
57794,2875276,336236
57886,2525359,0
57991,2260811,0
58085,1427768,0
58185,1329281,0
58287,1378061,0
58391,1430599,0
58496,1371481,0
58592,2041293,0
58704,1819918,0
58799,2195182,0
58894,2071351,0
58994,1300223,0
59095,1728002,0
59197,1480340,0
59298,1722373,0
59398,1559142,0
59502,1576028,0
59599,1778660,0
59699,1666086,0
59800,1688601,0
59901,1744888,0
60008,1919377,0
60106,1716744,0
60209,1857461,0
60308,1677344,0
60410,1823689,0
60507,1744888,0
60607,1519741,0
60719,1930634,0
60809,2144524,0
60912,1728002,0
61011,1733630,0
61110,2183924,0
61216,1812432,0
61313,1834947,0
61414,1840575,0
61517,1581656,0
61620,1716744,0
61717,1767403,0
61816,1857461,0
61919,1221421,0
62019,1249565,0
62124,2088237,0
62231,2195182,0
62337,2183924,0
62429,2138895,0
62549,2065722,0
62631,2251468,0
62731,2054465,0
62850,2071351,0
62929,1930634,0
63029,1925005,0
63084,2060093,0
63191,2127638,0
63288,1992549,0
63386,2345179,0
63479,2176319,0
63583,2035602,0
63685,1688601,0
63784,2195182,0
63893,1930634,0
63987,1964406,0
64089,1947520,0
64185,1525370,0
64289,1660458,0
64387,1767403,0
64485,1896862,0
64593,1649200,0
64688,2048836,0
64796,2155781,0
64888,2195182,0
64990,1756145,0
65090,1789917,0
65192,1626686,0
65291,1750516,0
65394,1699858,0
65494,1621057,0
65595,2048836,0
65693,1688601,0
65810,1857461,0
65895,2082608,0
66005,1688601,0
66104,1930634,0
66201,2167038,0
66304,1744888,0
66405,1576028,0
66505,1677344,0
