datetime,cpu,mem
Fri Oct 28 16:53:44 GMT 2022,86,1241911
Fri Oct 28 16:53:46 GMT 2022,0.2,1359754
Fri Oct 28 16:53:48 GMT 2022,0.2,1222580
Fri Oct 28 16:53:51 GMT 2022,0.2,1235300
Fri Oct 28 16:53:55 GMT 2022,0.6,1275715
Fri Oct 28 16:53:59 GMT 2022,0.6,1283636
Fri Oct 28 16:54:02 GMT 2022,0.2,1298633
Fri Oct 28 16:54:05 GMT 2022,0.2,1318643
Fri Oct 28 16:54:09 GMT 2022,0.7,1343150
Fri Oct 28 16:54:12 GMT 2022,0.7,1357584
Fri Oct 28 16:54:15 GMT 2022,93,1355903
Fri Oct 28 16:54:18 GMT 2022,93,1373170
Fri Oct 28 16:54:22 GMT 2022,96,1389705
Fri Oct 28 16:54:25 GMT 2022,96,1415932
Fri Oct 28 16:54:28 GMT 2022,97,1434713
Fri Oct 28 16:54:32 GMT 2022,97,1448110
Fri Oct 28 16:54:35 GMT 2022,94,1442311
Fri Oct 28 16:54:40 GMT 2022,94,1470160
Fri Oct 28 16:54:45 GMT 2022,97,1500415
Fri Oct 28 16:54:48 GMT 2022,97,1515466
Fri Oct 28 16:54:52 GMT 2022,93,1530314
Fri Oct 28 16:54:55 GMT 2022,93,1529934
Fri Oct 28 16:54:58 GMT 2022,90,1513671
