Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
6,2557871,1018164
82,2696431,1156724
184,2637774,1098067
285,2497108,957401
385,2050236,510529
485,2157911,618204
585,2286972,747265
685,2507714,968007
786,2414562,874855
889,3476899,1937192
988,2599578,1059871
1091,3900035,2360328
1193,3370716,1831009
1288,3034614,1494907
1390,4595540,3055833
1491,2741527,1201820
1591,2866852,1327145
1690,2689962,1150255
1791,1654787,115080
1892,2197204,657497
1993,1665177,125470
2089,3633347,2093640
2193,3391507,1851800
2294,3236939,1697232
2389,2253254,713547
2490,1616075,76368
2594,2011498,471791
2697,2172161,632454
2796,2215797,676090
2901,2104437,564730
2993,1875461,335754
3094,1830624,290917
3195,1544746,5039
3295,1533954,0
3397,1650222,110515
3497,2162359,622652
3597,2944652,1404945
3699,3263006,1723299
3797,3216363,1676656
3901,3524677,1984970
4002,2932578,1392871
4106,1563090,23383
4209,2549544,1009837
4309,2958240,1418533
4412,2972580,1432873
4509,3524677,1984970
4611,3381275,1841568
4703,3459013,1919306
4804,3452976,1913269
4907,3524677,1984970
5006,3452976,1913269
5107,3022771,1483064
5208,3452976,1913269
5310,3094471,1554764
5411,3223533,1683826
5512,3491845,1952138
5620,3331085,1791378
5717,3524677,1984970
5818,3245043,1705336
5921,3008430,1468723
6015,3452976,1913269
6129,3452976,1913269
6224,3452976,1913269
6323,3452976,1913269
6426,3194853,1655146
6529,3452976,1913269
6624,3166172,1626465
6730,2979750,1440043
6825,3280894,1741187
6930,3108812,1569105
7033,3381275,1841568
7128,2523502,983795
7230,2138895,599188
7329,2020693,480986
7431,2195182,655475
7531,2076979,537272
7629,2127638,587931
7737,2076979,537272
7837,2251468,711761
7931,2082608,542901
8055,2138895,599188
8147,2195182,655475
8257,2195182,655475
8338,2043207,503500
8443,1925005,385298
8545,1913748,374041
8644,2167038,627331
8748,2251468,711761
8841,2251468,711761
8967,2251468,711761
9041,2183924,644217
9153,2161410,621703
9247,2183924,644217
9349,2200810,661103
9461,2076979,537272
9558,2251468,711761
9645,2251468,711761
9750,2009435,469728
9861,2093865,554158
9967,2183924,644217
10057,2251468,711761
10149,2178296,638589
10259,2195182,655475
10358,2195182,655475
10453,2138895,599188
10553,2138895,599188
10656,2195182,655475
10763,2251468,711761
10860,2195182,655475
