datetime,cpu,mem
Thu Oct 20 22:16:01 GMT 2022,0,1223651
Thu Oct 20 22:16:03 GMT 2022,37,1259503
Thu Oct 20 22:16:05 GMT 2022,37,1199905
Thu Oct 20 22:16:07 GMT 2022,37,1257517
Thu Oct 20 22:16:10 GMT 2022,0.1,1237402
Thu Oct 20 22:16:12 GMT 2022,0.1,1235680
Thu Oct 20 22:16:14 GMT 2022,0.1,1237169
Thu Oct 20 22:16:16 GMT 2022,0,1255405
Thu Oct 20 22:16:18 GMT 2022,0,1257447
Thu Oct 20 22:16:20 GMT 2022,0,1259379
Thu Oct 20 22:16:22 GMT 2022,43,1250921
Thu Oct 20 22:16:24 GMT 2022,43,1244389
Thu Oct 20 22:16:26 GMT 2022,43,1246959
Thu Oct 20 22:16:28 GMT 2022,37,1247995
Thu Oct 20 22:16:30 GMT 2022,37,1245771
Thu Oct 20 22:16:32 GMT 2022,37,1244903
Thu Oct 20 22:16:34 GMT 2022,36,1245455
Thu Oct 20 22:16:36 GMT 2022,36,1246003
Thu Oct 20 22:16:37 GMT 2022,36,1240055
Thu Oct 20 22:16:39 GMT 2022,36,1238619
Thu Oct 20 22:16:41 GMT 2022,36,1239315
Thu Oct 20 22:16:43 GMT 2022,36,1241847
Thu Oct 20 22:16:45 GMT 2022,36,1239635
Thu Oct 20 22:16:47 GMT 2022,36,1240287
Thu Oct 20 22:16:49 GMT 2022,36,1241311
Thu Oct 20 22:16:51 GMT 2022,36,1241559
Thu Oct 20 22:16:53 GMT 2022,36,1237331
Thu Oct 20 22:16:55 GMT 2022,36,1240431
Thu Oct 20 22:16:57 GMT 2022,35,1241481
Thu Oct 20 22:16:58 GMT 2022,35,1240385
Thu Oct 20 22:17:00 GMT 2022,35,1240773
Thu Oct 20 22:17:02 GMT 2022,36,1239825
Thu Oct 20 22:17:04 GMT 2022,36,1241253
Thu Oct 20 22:17:06 GMT 2022,36,1241721
Thu Oct 20 22:17:08 GMT 2022,36,1241025
Thu Oct 20 22:17:10 GMT 2022,36,1240437
Thu Oct 20 22:17:12 GMT 2022,36,1243085
Thu Oct 20 22:17:14 GMT 2022,36,1237381
Thu Oct 20 22:17:15 GMT 2022,36,1223507
