Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
10,2251061,692805
110,2519118,960862
211,2314123,755867
311,2095582,537326
419,2550736,992480
520,3197514,1639258
617,2354380,796124
673,1592632,34376
763,2258231,699975
864,1835403,277147
965,2659409,1101153
1065,2838955,1280699
1171,4470799,2912543
1275,4011445,2453189
1369,4644416,3086160
1468,3277552,1719296
1567,3449734,1891478
1671,3672448,2114192
1777,2945886,1387630
1875,6288250,4729994
1975,4716630,3158374
2080,2628158,1069902
2177,3208607,1650351
2277,4318052,2759796
2378,3646233,2087977
2478,3024423,1466167
2577,2413331,855075
2682,2334501,776245
2781,3109413,1551157
2880,3949845,2391589
2979,2424082,865826
3080,2287373,729117
3181,1595476,37220
3286,2306323,748067
3377,2251758,693502
3481,1398704,0
3578,1619033,60777
3679,2080909,522653
3779,1955344,397088
3879,2985566,1427310
3981,1323100,0
4084,2662066,1103810
4184,3447379,1889123
4292,2851369,1293113
4387,2919404,1361148
4489,2483432,925176
4592,2100179,541923
4691,1799532,241276
4797,1867339,309083
4885,1307567,0
4990,1949978,391722
5095,1313843,0
5192,1426561,0
5291,865921,0
5401,1186015,0
5493,1969264,411008
5593,1063275,0
5704,1564595,6339
5790,1805340,247084
5895,1081810,0
5993,1305321,0
6097,1138937,0
6194,881624,0
6295,2750030,1191774
6395,2437748,879492
6495,1506120,0
6596,1451168,0
6707,1307066,0
6805,3033290,1475034
6906,2892453,1334197
7000,1464949,0
7107,1369140,0
7213,1340623,0
7313,1402540,0
7412,1534591,0
7512,1594435,36179
7611,1720474,162218
7717,1444825,0
7816,1641603,83347
7915,1598583,40327
8010,1107794,0
8120,984828,0
8218,1423278,0
8316,870774,0
8422,883721,0
8511,971562,0
8614,783755,0
8714,636514,0
8817,747873,0
8915,868640,0
9015,1113323,0
9116,1235782,0
9217,913127,0
9318,893158,0
9418,948978,0
9528,693130,0
9618,2330090,771834
9719,1167094,0
9820,658748,0
9922,855425,0
10021,1939992,381736
10121,1052790,0
10222,1445375,0
10326,1648077,89821
10428,1333667,0
10527,1670194,111938
10643,777515,0
10731,1339583,0
10829,1050433,0
10956,599037,0
11034,1511673,0
11132,1043263,0
11239,942882,0
11333,1251196,0
11440,792310,0
11534,1172325,0
11644,835330,0
11731,1050433,0
11832,785418,0
11933,1182571,0
12033,2098809,540553
12135,844300,0
12235,961239,0
12339,787867,0
12436,835812,0
12542,899011,0
12638,874920,0
12738,731727,0
12839,874068,0
12940,686697,0
13041,1100624,0
13140,1049758,0
13240,1240804,0
13341,642659,0
13441,1221441,0
13542,921839,0
13644,489553,0
13745,1591820,33564
13854,1097605,0
13945,1086548,0
14047,642200,0
14148,732923,0
14248,756853,0
14297,676267,0
14399,809986,0
14500,677802,0
14650,465380,0
14751,716519,0
14802,590764,0
14902,753551,0
15003,722930,0
15104,700612,0
15205,646557,0
15307,732251,0
15408,768976,0
15506,823687,0
15610,1691038,132782
15713,751785,0
15807,827178,0
15908,968244,0
16009,695600,0
16111,730165,0
16211,626471,0
16313,692752,0
16413,689697,0
16516,689697,0
16619,751221,0
16716,995704,0
16817,780823,0
16918,649905,0
17018,720698,0
17142,719582,0
17240,1259587,0
17326,1774778,216522
17426,1376937,0
17530,1491031,0
17628,1555562,0
17729,1754574,196318
17830,1454799,0
17931,1469760,0
18034,1574487,16231
18133,1648773,90517
18225,1466697,0
18324,1454799,0
18425,1208642,0
18526,1306228,0
18627,1041738,0
18735,490217,0
18834,1189451,0
18939,1627263,69007
19038,1476691,0
