datetime,cpu,mem
Thu Oct 20 22:10:18 GMT 2022,29,1365403
Thu Oct 20 22:10:19 GMT 2022,0,1365610
Thu Oct 20 22:10:21 GMT 2022,0,1275621
Thu Oct 20 22:10:23 GMT 2022,0,1326501
Thu Oct 20 22:10:25 GMT 2022,0.1,1316579
Thu Oct 20 22:10:28 GMT 2022,0.1,1329246
Thu Oct 20 22:10:30 GMT 2022,0.1,1297940
Thu Oct 20 22:10:33 GMT 2022,0.1,1570284
Thu Oct 20 22:10:36 GMT 2022,0.1,1296442
Thu Oct 20 22:10:39 GMT 2022,0.1,1295858
Thu Oct 20 22:10:42 GMT 2022,68,1294838
Thu Oct 20 22:10:45 GMT 2022,68,1298474
Thu Oct 20 22:10:48 GMT 2022,0.1,1294112
Thu Oct 20 22:10:51 GMT 2022,0.1,1296922
Thu Oct 20 22:10:54 GMT 2022,0.1,1297126
Thu Oct 20 22:10:57 GMT 2022,0.1,1294946
Thu Oct 20 22:11:00 GMT 2022,72,1295450
Thu Oct 20 22:11:03 GMT 2022,72,1298036
Thu Oct 20 22:11:06 GMT 2022,0.1,1292944
Thu Oct 20 22:11:09 GMT 2022,0.1,1297080
Thu Oct 20 22:11:12 GMT 2022,0.1,1297516
Thu Oct 20 22:11:15 GMT 2022,0.1,1298778
Thu Oct 20 22:11:18 GMT 2022,81,1298292
Thu Oct 20 22:11:21 GMT 2022,81,1295276
Thu Oct 20 22:11:25 GMT 2022,80,1296556
Thu Oct 20 22:11:28 GMT 2022,80,1298808
Thu Oct 20 22:11:31 GMT 2022,82,1277137
