datetime,cpu,mem
Fri Oct 21 00:04:03 GMT 2022,31,1162350
Fri Oct 21 00:04:05 GMT 2022,0,1163251
Fri Oct 21 00:04:06 GMT 2022,0,1254178
Fri Oct 21 00:04:08 GMT 2022,0,1285548
Fri Oct 21 00:04:10 GMT 2022,0.1,1277921
Fri Oct 21 00:04:13 GMT 2022,0.1,1264721
Fri Oct 21 00:04:15 GMT 2022,0.1,1257373
Fri Oct 21 00:04:17 GMT 2022,0,1254911
Fri Oct 21 00:04:18 GMT 2022,0,1254239
Fri Oct 21 00:04:20 GMT 2022,0,1177531
Fri Oct 21 00:04:22 GMT 2022,34,1175662
Fri Oct 21 00:04:24 GMT 2022,34,1173338
Fri Oct 21 00:04:26 GMT 2022,34,1175989
Fri Oct 21 00:04:27 GMT 2022,36,1174974
Fri Oct 21 00:04:29 GMT 2022,36,1175108
Fri Oct 21 00:04:31 GMT 2022,36,1174895
Fri Oct 21 00:04:33 GMT 2022,35,1175112
Fri Oct 21 00:04:34 GMT 2022,35,1175048
Fri Oct 21 00:04:36 GMT 2022,35,1175543
Fri Oct 21 00:04:38 GMT 2022,35,1173152
Fri Oct 21 00:04:40 GMT 2022,35,1174284
Fri Oct 21 00:04:42 GMT 2022,35,1176959
Fri Oct 21 00:04:43 GMT 2022,35,1174692
Fri Oct 21 00:04:45 GMT 2022,35,1173652
Fri Oct 21 00:04:47 GMT 2022,35,1176219
Fri Oct 21 00:04:49 GMT 2022,35,1176324
Fri Oct 21 00:04:51 GMT 2022,35,1175468
Fri Oct 21 00:04:52 GMT 2022,35,1175739
Fri Oct 21 00:04:54 GMT 2022,35,1175468
Fri Oct 21 00:04:56 GMT 2022,35,1176516
Fri Oct 21 00:04:58 GMT 2022,35,1176451
Fri Oct 21 00:05:00 GMT 2022,36,1175820
Fri Oct 21 00:05:01 GMT 2022,36,1177396
Fri Oct 21 00:05:03 GMT 2022,36,1180083
Fri Oct 21 00:05:05 GMT 2022,36,1285596
Fri Oct 21 00:05:07 GMT 2022,36,1308214
Fri Oct 21 00:05:08 GMT 2022,36,1313337
Fri Oct 21 00:05:11 GMT 2022,0.1,1271557
Fri Oct 21 00:05:13 GMT 2022,0.1,1266109
Fri Oct 21 00:05:15 GMT 2022,0.1,1207468
Fri Oct 21 00:05:17 GMT 2022,0.1,1173316
