Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
56,3226200,914337
135,4113495,1801632
234,5408978,3097115
339,3244235,932372
440,1724909,0
538,3600485,1288622
639,2780794,468931
741,2461421,149558
841,2573776,261913
941,3453566,1141703
1042,2014386,0
1141,2576901,265038
1244,2275679,0
1339,4438284,2126421
1440,3946142,1634279
1541,3920664,1608801
1643,4460916,2149053
1746,1325110,0
1841,2897219,585356
1943,2362331,50468
2043,1319203,0
2091,2035272,0
2193,1825221,0
2293,1781460,0
2395,1078628,0
2496,1570651,0
2598,780126,0
2697,1063404,0
2818,1113889,0
2902,2351443,39580
3001,2100463,0
3102,1790217,0
3203,1734814,0
3302,1505432,0
3405,1168438,0
3497,1462412,0
3599,1132527,0
3698,1976015,0
3799,1225798,0
3903,915982,0
4003,1138513,0
4106,2664063,352200
4205,3440731,1128868
4306,5751754,3439891
4404,4952644,2640781
4504,2183043,0
4602,1403435,0
4707,1817853,0
4810,1331154,0
4909,3491077,1179214
5010,3205509,893646
5110,3041563,729700
5212,2469735,157872
5310,1659539,0
5413,1878216,0
5512,1716900,0
5614,2561023,249160
5713,2944929,633066
5814,2536860,224997
5915,3927490,1615627
6015,2817409,505546
6114,3103536,791673
6217,1751422,0
6311,1270558,0
6412,1007413,0
6512,1300312,0
6613,2366299,54436
6712,2407918,96055
6814,1682197,0
6913,2475134,163271
7014,1623210,0
7121,1878111,0
7221,2106237,0
7326,1842017,0
7416,1545170,0
7517,1274854,0
7618,1159506,0
7718,1509319,0
7819,1730379,0
7919,1541947,0
8019,1620819,0
8119,785140,0
8220,1369935,0
8320,1186665,0
8424,877277,0
8522,828754,0
8624,802085,0
8726,588232,0
8825,774835,0
8926,477835,0
9027,453769,0
9129,459348,0
9228,1185338,0
9330,630450,0
9431,946312,0
9531,920964,0
9637,675428,0
9731,622293,0
9832,903664,0
9932,1118089,0
10034,396859,0
10133,498756,0
10233,1109203,0
10336,1190245,0
10454,721003,0
10539,1538387,0
10638,1558005,0
10753,1168137,0
10845,1068480,0
10941,1694319,0
11064,605596,0
11150,930585,0
11245,1150814,0
11354,907031,0
11447,1293142,0
11540,1315727,0
11641,1061899,0
11741,792310,0
11842,963318,0
11942,1007413,0
12050,654861,0
12145,755233,0
12245,1466945,0
12345,1909770,0
12446,1152614,0
12547,826626,0
12648,893439,0
12753,861186,0
12848,1387288,0
12949,1119777,0
13049,922244,0
13150,1078039,0
13251,867074,0
13350,2226935,0
13453,1909770,0
13558,1761843,0
13655,2149635,0
13757,2011459,0
13856,2161827,0
13968,1770016,0
14059,2510387,198524
14158,1742362,0
14270,1376687,0
14354,2012210,0
14455,1554866,0
14558,1206734,0
14658,1399562,0
14757,1694230,0
14861,1189859,0
14961,1239553,0
15061,1424663,0
15160,2186440,0
15261,1062973,0
15363,807117,0
15462,1092380,0
15565,713439,0
15663,1008347,0
15764,728714,0
15865,1172792,0
15966,984828,0
16069,679093,0
16167,954040,0
16267,1155369,0
16367,697195,0
16468,1532092,0
16568,1380257,0
16668,1467233,0
16770,1165155,0
16871,927706,0
16971,1093511,0
17074,921244,0
17177,1373087,0
17276,1201005,0
17382,813820,0
17477,1351577,0
17588,864011,0
17680,1172325,0
17780,1487809,0
17877,1100624,0
17976,1042189,0
18079,653745,0
18179,1018789,0
18278,1063699,0
18381,613525,0
18479,1207101,0
18579,1035019,0
18682,713439,0
18780,738708,0
18884,674923,0
18981,1167372,0
19084,725075,0
19183,1214271,0
19283,942882,0
19410,665312,0
19446,1025798,0
19542,1026658,0
19642,946866,0
19743,825748,0
19842,1032821,0
19952,1024531,0
20046,1524246,0
20137,1062625,0
20239,774830,0
20339,797649,0
20440,760130,0
20541,725701,0
20641,555284,0
20745,985017,0
20843,865766,0
20943,792269,0
21043,953283,0
21144,796359,0
21246,724268,0
21346,735793,0
21446,710655,0
21546,1328993,0
21647,1651647,0
21747,995569,0
21847,1242952,0
21951,837152,0
22049,1003299,0
22150,834577,0
22250,745291,0
22351,743410,0
22453,678918,0
22553,729625,0
22653,1436978,0
22755,849949,0
22855,1033075,0
22970,863517,0
23065,1287046,0
23156,878351,0
23257,795974,0
23358,846051,0
23458,941845,0
23560,938472,0
23661,577996,0
23761,772423,0
23863,735204,0
23964,688338,0
24065,730741,0
24166,687172,0
24267,719582,0
24367,1430606,0
24466,911386,0
24567,1512402,0
24668,1601108,0
24768,1577357,0
24868,1564770,0
24969,1375729,0
25070,1362924,0
25185,1426934,0
25283,878024,0
25381,904320,0
25480,423895,0
25580,1011697,0
25684,881337,0
25785,961827,0
25880,1093454,0
25983,1108695,0
26086,1001723,0
26187,1096477,0
26288,1016684,0
26388,1178769,0
26482,1211397,0
26584,1043263,0
26686,1001723,0
26787,981775,0
26889,861638,0
26988,896996,0
27090,1087291,0
27191,877588,0
27528,991749,0
27535,897379,0
27541,897379,0
27583,1499760,0
27685,871027,0
27787,723685,0
27887,748753,0
27988,740653,0
28088,561222,0
28191,699610,0
28292,1288865,0
28399,976788,0
28497,1041619,0
28597,867074,0
28700,828806,0
28802,971801,0
28901,1208175,0
28998,1143644,0
29100,956840,0
29201,851539,0
29301,951853,0
29404,825523,0
29508,833338,0
29609,821680,0
29709,746339,0
29813,720007,0
29913,784562,0
30014,802063,0
30107,1140044,0
30209,1187739,0
30302,928541,0
30403,694195,0
30503,761392,0
30605,776045,0
30704,732017,0
30806,959334,0
30909,720698,0
31007,699496,0
31108,720234,0
31210,702844,0
31311,684990,0
31411,740653,0
31511,692752,0
31614,636514,0
31713,766987,0
31814,896345,0
31917,644753,0
32019,1109529,0
32114,837152,0
32226,963899,0
32321,1073806,0
32424,956840,0
32523,906970,0
32624,926918,0
32728,1016684,0
32828,997736,0
32928,966026,0
33024,1071943,0
33125,935712,0
33228,993072,0
33320,1050433,0
33421,759393,0
33537,798908,0
33636,811087,0
33730,760096,0
33829,1197405,0
33930,906216,0
34031,906970,0
34131,966814,0
34236,931905,0
34330,1486735,0
34433,1010853,0
34539,881337,0
34634,971801,0
34734,961827,0
34834,1109748,0
34944,808025,0
35038,1028923,0
35130,1001723,0
35230,828379,0
35331,734173,0
35432,713113,0
35533,569790,0
35636,734519,0
35737,1192643,0
35843,1188104,0
35946,812217,0
36043,1244026,0
36144,946866,0
36245,981775,0
36345,1125734,0
36446,877048,0
36550,931905,0
36647,900935,0
36751,1036632,0
36850,1261090,0
36941,787282,0
37043,887849,0
37143,801268,0
37244,773042,0
37295,754389,0
37395,759159,0
37497,426816,0
37601,1124538,0
37705,1071943,0
37797,1021753,0
37897,985017,0
37998,1130980,0
38099,630907,0
38201,725305,0
38302,698380,0
38403,728509,0
38503,171616,0
38604,720698,0
38705,724046,0
38806,708423,0
38905,782773,0
39006,732553,0
39106,750373,0
39207,760093,0
39308,746339,0
39412,1069385,0
39511,1075173,0
39615,1096570,0
39717,862087,0
39817,1006710,0
39918,986762,0
40022,921931,0
40119,961827,0
40219,1036632,0
40324,792691,0
40426,914169,0
40524,861638,0
40625,802720,0
40725,871488,0
40824,956840,0
40926,991749,0
41029,1071542,0
41127,961827,0
41225,915156,0
41324,1098463,0
41426,1287046,0
41521,931905,0
41621,1117798,0
41722,763614,0
41823,794353,0
41922,737413,0
42025,734483,0
42125,655484,0
42227,712887,0
42328,702844,0
42429,718466,0
42528,655484,0
42629,717350,0
42731,637630,0
42832,767363,0
42932,815269,0
43033,454887,0
43132,824432,0
43240,1073478,0
43339,1057603,0
43437,1186665,0
43536,903413,0
43637,776275,0
43737,786498,0
43839,980305,0
43938,1450884,0
44038,1198670,0
44139,784062,0
44241,708423,0
44343,645603,0
44443,688826,0
44543,732972,0
44645,701728,0
44746,702761,0
44849,727393,0
44948,588489,0
45052,693194,0
45155,1026762,0
45249,1067342,0
45351,975100,0
45453,829002,0
45553,757705,0
45654,661064,0
45755,726672,0
45855,676686,0
45956,725556,0
46058,761713,0
46158,680117,0
46259,667759,0
46359,745642,0
46461,696099,0
46561,671106,0
46661,1008731,0
46761,1175846,0
46868,438613,0
46967,1246811,0
47063,1677454,0
47164,1421246,0
47264,1310610,0
47366,1272400,0
47490,1173030,0
47576,1573750,0
47677,1780152,0
48169,2014154,0
48773,2060748,0
49275,814168,0
49676,1083201,0
49984,1279876,0
50187,1589592,0
50279,1338709,0
50379,1419986,0
50479,1093454,0
50580,1136474,0
50680,1209110,0
50781,799480,0
50883,917732,0
50983,774881,0
51084,717973,0
51184,742273,0
51286,687085,0
51386,720007,0
51487,792231,0
51589,707307,0
51689,667759,0
51789,407272,0
51893,1009909,0
51994,1036949,0
52097,782295,0
52197,1026658,0
52298,951853,0
52348,1016684,0
52453,911957,0
52555,816665,0
52655,1056580,0
52750,845697,0
52852,391057,0
52955,782841,0
53054,901036,0
53159,806777,0
53254,981775,0
53354,921931,0
53454,996274,0
53557,786958,0
53657,1056580,0
53762,1170763,0
53859,1211397,0
53953,1231485,0
54051,948938,0
54152,772321,0
54254,839889,0
54353,778126,0
54454,1181310,0
54556,1339681,0
54657,1288941,0
54756,1695682,0
54859,1411845,0
54958,1327269,0
55059,1785449,0
55160,1110712,0
55260,711190,0
55363,708423,0
55462,658860,0
55566,848610,0
55663,1052561,0
55765,779558,0
55867,758774,0
55966,697265,0
56069,715119,0
56169,731135,0
56270,661064,0
56372,791481,0
56474,709539,0
56573,740653,0
56674,777583,0
56774,617544,0
56876,709539,0
56976,1267464,0
57076,1515415,0
57176,1269918,0
57277,1450677,0
57377,1622967,0
57480,1500399,0
57579,1215345,0
57679,1034651,0
57780,792691,0
57881,723112,0
57994,782369,0
58094,907603,0
58189,966814,0
58288,1071943,0
58389,1071943,0
58483,1108995,0
58585,966814,0
58686,853201,0
58787,677537,0
58888,725556,0
58987,691439,0
59087,1104438,0
59188,587622,0
59292,1169660,0
59395,1028923,0
59504,997524,0
59599,1251196,0
59690,867074,0
59791,968886,0
59892,981775,0
59995,928348,0
60093,894007,0
60194,139898,0
60296,819703,0
60397,719976,0
60496,687085,0
60598,665527,0
60698,763496,0
60800,703960,0
60901,649905,0
61001,723310,0
61101,984987,0
61207,999835,0
61302,503197,0
61406,978437,0
61507,801787,0
61606,689227,0
61707,785683,0
61809,657716,0
61909,705076,0
62009,709539,0
62110,1232136,0
62211,669991,0
62312,764611,0
62411,646557,0
62514,672279,0
62614,751993,0
62714,640978,0
62816,808363,0
62916,537666,0
63018,720595,0
63115,1076777,0
63231,833399,0
63327,996883,0
63423,1258366,0
63523,1222515,0
63626,1172325,0
63719,1287046,0
63818,1105178,0
63919,1208175,0
64019,1150814,0
64120,1273641,0
64220,1072411,0
64323,1064773,0
64422,1259301,0
64522,1142570,0
64622,1179495,0
64722,1271632,0
64823,1207847,0
64927,1244553,0
65024,1028923,0
65130,1212730,0
65231,1315727,0
65331,1272706,0
65432,1244026,0
65532,1315727,0
65636,1222515,0
65727,1179495,0
65828,1128230,0
65928,1271632,0
66028,1264462,0
66129,1279876,0
66229,1795049,0
66329,1545637,0
66430,1207101,0
66532,963257,0
66630,548570,0
66735,1189161,0
66839,938530,0
66939,1001723,0
67047,1011744,0
67145,937152,0
67239,1724422,0
67341,1090791,0
67444,861638,0
67544,874771,0
67653,768847,0
67746,838656,0
67848,864078,0
67954,840333,0
68049,838977,0
68150,920736,0
68253,1130541,0
68298,1086333,0
68400,1204445,0
68497,1247596,0
68603,1179495,0
68693,1036093,0
68795,887022,0
68897,764181,0
68999,719593,0
69099,753613,0
69199,691685,0
69300,686214,0
69402,696665,0
69503,691439,0
69604,714003,0
69704,701773,0
69808,718466,0
69907,710606,0
70007,722979,0
70109,700612,0
70210,803503,0
70308,524354,0
70413,1070148,0
70524,825956,0
70616,897524,0
70716,1334621,0
70811,787282,0
70913,759859,0
71013,794860,0
71117,714733,0
71216,748753,0
71317,771103,0
71417,678918,0
71518,685039,0
,,
,,
,,
