datetime,cpu,mem
Thu Oct 20 23:41:08 GMT 2022,0.1,1175934
Thu Oct 20 23:41:10 GMT 2022,0,1175637
Thu Oct 20 23:41:11 GMT 2022,0,1107312
Thu Oct 20 23:41:14 GMT 2022,0,1173918
Thu Oct 20 23:41:16 GMT 2022,57,1198912
Thu Oct 20 23:41:18 GMT 2022,57,1233925
Thu Oct 20 23:41:21 GMT 2022,57,1327420
Thu Oct 20 23:41:23 GMT 2022,0.1,1276395
Thu Oct 20 23:41:26 GMT 2022,0.1,1295842
Thu Oct 20 23:41:30 GMT 2022,-13,1281842
Thu Oct 20 23:41:32 GMT 2022,-13,1285675
Thu Oct 20 23:41:35 GMT 2022,0.1,1270161
Thu Oct 20 23:41:37 GMT 2022,0.1,1271811
Thu Oct 20 23:41:39 GMT 2022,0.1,1271611
Thu Oct 20 23:41:41 GMT 2022,43,1270037
Thu Oct 20 23:41:43 GMT 2022,43,1267398
Thu Oct 20 23:41:45 GMT 2022,43,1269628
Thu Oct 20 23:41:47 GMT 2022,43,1271026
Thu Oct 20 23:41:49 GMT 2022,43,1258558
Thu Oct 20 23:41:52 GMT 2022,43,1261324
Thu Oct 20 23:41:54 GMT 2022,65,1262246
Thu Oct 20 23:41:56 GMT 2022,65,1258476
Thu Oct 20 23:41:58 GMT 2022,65,1262136
Thu Oct 20 23:42:00 GMT 2022,44,1256536
Thu Oct 20 23:42:03 GMT 2022,44,1252760
Thu Oct 20 23:42:05 GMT 2022,44,1261030
Thu Oct 20 23:42:07 GMT 2022,53,1261564
Thu Oct 20 23:42:09 GMT 2022,53,1260280
Thu Oct 20 23:42:12 GMT 2022,53,1261943
Thu Oct 20 23:42:14 GMT 2022,53,1261062
Thu Oct 20 23:42:16 GMT 2022,53,1258597
Thu Oct 20 23:42:19 GMT 2022,53,1259646
Thu Oct 20 23:42:21 GMT 2022,0.1,1243523
