datetime,cpu,mem
Fri Oct 21 03:15:36 GMT 2022,33,1479308
Fri Oct 21 03:15:37 GMT 2022,0,1477105
Fri Oct 21 03:15:39 GMT 2022,0,1419907
Fri Oct 21 03:15:41 GMT 2022,0,1492012
Fri Oct 21 03:15:43 GMT 2022,0.1,1522221
Fri Oct 21 03:15:46 GMT 2022,0.1,1569459
Fri Oct 21 03:15:50 GMT 2022,0.1,1543171
Fri Oct 21 03:15:53 GMT 2022,0.1,1557480
Fri Oct 21 03:15:55 GMT 2022,0.1,1504079
Fri Oct 21 03:15:58 GMT 2022,0.1,1512982
Fri Oct 21 03:16:01 GMT 2022,64,1518191
Fri Oct 21 03:16:03 GMT 2022,64,1521506
Fri Oct 21 03:16:06 GMT 2022,60,1517189
Fri Oct 21 03:16:09 GMT 2022,60,1519137
Fri Oct 21 03:16:11 GMT 2022,60,1521502
Fri Oct 21 03:16:13 GMT 2022,47,1511975
Fri Oct 21 03:16:15 GMT 2022,47,1522539
Fri Oct 21 03:16:17 GMT 2022,47,1527326
Fri Oct 21 03:16:19 GMT 2022,0,1524947
Fri Oct 21 03:16:21 GMT 2022,0,1530023
Fri Oct 21 03:16:24 GMT 2022,0,1535444
Fri Oct 21 03:16:26 GMT 2022,54,1535725
Fri Oct 21 03:16:29 GMT 2022,54,1535495
Fri Oct 21 03:16:31 GMT 2022,54,1537858
Fri Oct 21 03:16:33 GMT 2022,0.1,1538854
Fri Oct 21 03:16:36 GMT 2022,0.1,1538937
Fri Oct 21 03:16:39 GMT 2022,50,1542574
Fri Oct 21 03:16:41 GMT 2022,50,1546506
Fri Oct 21 03:16:43 GMT 2022,50,1546681
Fri Oct 21 03:16:46 GMT 2022,47,1552102
Fri Oct 21 03:16:49 GMT 2022,47,1576129
