Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
3,2206700,0
90,2513106,157531
190,2664296,308721
296,3438322,1082747
397,2236721,0
496,2523585,168010
597,2157911,0
698,2315653,0
800,2074746,0
898,2733220,377645
998,2135396,0
1099,2799041,443466
1204,2417827,62252
1303,3442716,1087141
1398,4660301,2304726
1501,2707871,352296
1602,3262366,906791
1705,5329835,2974260
1805,3289813,934238
1902,2618118,262543
1999,2584236,228661
2099,1946408,0
2205,1967233,0
2302,1308556,0
2401,2798883,443308
2501,2427148,71573
2606,1634545,0
2707,1895892,0
2810,2394463,38888
2909,2681328,325753
3008,2053052,0
3110,1617155,0
3212,1578915,0
3317,1573766,0
3413,1620093,0
3507,2846240,490665
3624,3230018,874443
3715,4026988,1671413
3812,3384285,1028710
3912,2857149,501574
4014,1362697,0
4114,2177413,0
4216,3024902,669327
4318,3580938,1225363
4417,3379303,1023728
4519,3036820,681245
4623,2899558,543983
4718,2889073,533498
4816,4106436,1750861
4924,4094318,1738743
5026,3838655,1483080
5118,4608064,2252489
5221,2636196,280621
5328,2044963,0
5418,2775435,419860
5518,2535203,179628
5621,2873132,517557
5720,2699578,344003
5822,2371084,15509
5922,3003804,648229
6022,3749494,1393919
6122,3375275,1019700
6224,2228945,0
6324,3182428,826853
6424,3200388,844813
6525,3558893,1203318
6626,3066321,710746
6725,2706016,350441
6827,3502078,1146503
6931,3429264,1073689
7034,3728693,1373118
7133,4107538,1751963
7235,4036332,1680757
7331,3879344,1523769
7441,2823800,468225
7536,3325707,970132
7638,3328726,973151
7737,2723419,367844
7838,3132115,776540
7944,2902672,547097
8040,2734211,378636
8146,2121131,0
8244,2975585,620010
8348,2633263,277688
8456,2507575,152000
8553,2569490,213915
8648,2310571,0
8770,2563862,208287
8865,2513204,157629
8954,2620148,264573
9058,2620148,264573
9160,2183924,0
9263,2251468,0
9366,2200810,0
9470,2251468,0
9564,2600219,244644
9665,2600219,244644
9767,2600219,244644
9867,2600219,244644
9962,2543933,188358
10063,2195182,0
10183,2195182,0
10260,2251468,0
10363,2200810,0
10466,2200810,0
10587,2195182,0
10667,2251468,0
10769,2251468,0
10871,2195182,0
10975,2155781,0
11073,2195182,0
11167,2251468,0
11278,2155781,0
11383,2251468,0
11495,2195182,0
11570,2251468,0
11677,2251468,0
