datetime,cpu,mem
Fri Oct 21 02:44:06 GMT 2022,33,1486630
Fri Oct 21 02:44:08 GMT 2022,0,1471541
Fri Oct 21 02:44:09 GMT 2022,0,1476973
Fri Oct 21 02:44:12 GMT 2022,0,1597007
Fri Oct 21 02:44:14 GMT 2022,0.1,1580308
Fri Oct 21 02:44:17 GMT 2022,0.1,1568011
Fri Oct 21 02:44:19 GMT 2022,0.1,1568831
Fri Oct 21 02:44:22 GMT 2022,0.1,1568197
Fri Oct 21 02:44:23 GMT 2022,0.1,1504782
Fri Oct 21 02:44:25 GMT 2022,0,1499519
Fri Oct 21 02:44:27 GMT 2022,0,1501763
Fri Oct 21 02:44:29 GMT 2022,0,1504438
Fri Oct 21 02:44:31 GMT 2022,35,1502791
Fri Oct 21 02:44:33 GMT 2022,35,1502985
Fri Oct 21 02:44:35 GMT 2022,35,1505068
Fri Oct 21 02:44:37 GMT 2022,38,1503815
Fri Oct 21 02:44:39 GMT 2022,38,1500167
Fri Oct 21 02:44:41 GMT 2022,38,1506138
Fri Oct 21 02:44:43 GMT 2022,35,1504519
Fri Oct 21 02:44:45 GMT 2022,35,1503967
Fri Oct 21 02:44:47 GMT 2022,35,1504382
Fri Oct 21 02:44:49 GMT 2022,35,1505143
Fri Oct 21 02:44:51 GMT 2022,35,1506731
Fri Oct 21 02:44:53 GMT 2022,35,1507944
Fri Oct 21 02:44:55 GMT 2022,36,1506821
Fri Oct 21 02:44:57 GMT 2022,36,1507257
Fri Oct 21 02:44:59 GMT 2022,36,1510478
Fri Oct 21 02:45:01 GMT 2022,36,1505339
Fri Oct 21 02:45:03 GMT 2022,36,1508395
Fri Oct 21 02:45:05 GMT 2022,36,1511650
Fri Oct 21 02:45:07 GMT 2022,39,1509723
Fri Oct 21 02:45:09 GMT 2022,39,1509403
Fri Oct 21 02:45:11 GMT 2022,39,1512182
Fri Oct 21 02:45:13 GMT 2022,35,1512223
Fri Oct 21 02:45:15 GMT 2022,35,1511099
Fri Oct 21 02:45:17 GMT 2022,35,1513610
Fri Oct 21 02:45:18 GMT 2022,35,1512475
Fri Oct 21 02:45:20 GMT 2022,35,1497535
