Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
6,2407360,302622
84,2796064,691326
185,2805278,700540
286,2872754,768016
388,2512370,407632
485,2864544,759806
582,2785739,681001
688,2715332,610594
789,2630766,526028
891,2980611,875873
991,2232736,127998
1091,2591364,486626
1191,3390595,1285857
1290,3339649,1234911
1396,3126991,1022253
1501,2221170,116432
1592,2772747,668009
1695,1785796,0
1797,3837433,1732695
1894,4042039,1937301
1998,1815433,0
2096,3129526,1024788
2197,4096615,1991877
2298,2264747,160009
2399,1696228,0
2502,3113902,1009164
2603,2344195,239457
2701,2310046,205308
2802,2335280,230542
2906,1999751,0
3002,2076515,0
3104,1879320,0
3203,2380500,275762
3305,1656321,0
3405,1871424,0
3507,1671715,0
3606,1701838,0
3705,997368,0
3801,1100624,0
3908,1360547,0
4006,1842743,0
4106,1157636,0
4203,1365311,0
4304,1037270,0
4405,1107880,0
4506,1352044,0
4606,1988641,0
4707,2703294,598556
4807,3317286,1212548
4909,2086875,0
5008,1338172,0
5109,1423278,0
5209,1681869,0
5321,1637307,0
5410,1860654,0
5512,1131370,0
5615,1344000,0
5717,1683012,0
5824,765695,0
5917,923437,0
6015,1153145,0
6118,421135,0
6218,573291,0
6317,599557,0
6417,568978,0
6519,502092,0
6620,404199,0
6720,1288735,0
6825,1807096,0
6920,1799248,0
7022,1017782,0
7124,866077,0
7223,636768,0
7323,1133107,0
7424,672423,0
7527,620524,0
7626,809982,0
7726,773369,0
7827,561427,0
7928,617241,0
8028,539697,0
8129,540499,0
8230,1972008,0
8332,2712942,608204
8436,2860686,755948
8541,3270176,1165438
8636,2495202,390464
8737,2879369,774631
8835,1602828,0
8938,2337196,232458
9042,2277081,172343
9136,2671436,566698
9239,2908049,803311
9338,2645774,541036
9445,2143867,39129
9536,2848622,743884
9637,2824370,719632
9738,1879529,0
9839,1269136,0
9938,1858018,0
10045,2012210,0
10146,3178250,1073512
10246,2933811,829073
10347,2808697,703959
10459,2884538,779800
10549,3159002,1054264
10652,2463503,358765
10747,2609924,505186
10850,2438445,333707
10952,2908049,803311
11051,2520864,416126
11153,1696303,0
11252,1581582,0
11352,2140849,36111
11453,1194397,0
11553,1674793,0
11655,957783,0
11758,1438180,0
11868,2542374,437636
11956,3248666,1143928
12057,3058621,953883
12164,3331085,1226347
12268,3381275,1276537
12361,2979750,875012
12460,4999290,2894552
12567,5070991,2966253
12658,2772872,668134
12762,1925746,0
12862,2463503,358765
12961,2628415,523677
13061,2054808,0
13162,2685776,581038
13261,1983107,0
13363,2040468,0
13463,2097828,0
13566,1624602,0
13665,1215907,0
13767,1524221,0
13865,1409499,0
13967,1215907,0
14068,1040639,0
14168,990769,0
14269,1140379,0
14375,978393,0
14469,1095496,0
14519,1118315,0
14624,492480,0
14719,1454818,0
14822,1125916,0
14922,900581,0
15027,667436,0
15120,866077,0
15222,1023819,0
15318,1006460,0
15418,1146240,0
15520,588180,0
15622,422115,0
15721,474120,0
15822,448790,0
15924,519912,0
16023,1035728,0
16123,1048861,0
16224,1148729,0
16324,933849,0
16425,1138385,0
16526,1163450,0
16626,795021,0
16727,737254,0
16827,1224581,0
16928,867813,0
17031,538444,0
17132,1860834,0
17230,1379495,0
17330,981592,0
17434,900332,0
17532,783343,0
17631,1200053,0
17735,926349,0
17833,908478,0
17934,550658,0
18034,714528,0
18135,1189790,0
18236,681986,0
18337,482630,0
18438,552160,0
18537,1087898,0
18638,650398,0
18738,819956,0
18839,686638,0
18940,486946,0
19042,878624,0
19142,823776,0
19248,750470,0
19347,879929,0
19448,768009,0
19552,747228,0
19649,772163,0
19750,1224581,0
19848,966458,0
19949,944948,0
20050,815886,0
20152,672423,0
20257,832007,0
20352,1086047,0
20448,974157,0
20549,590976,0
20653,461580,0
20752,470507,0
20851,932954,0
20953,660372,0
21054,695281,0
21154,492371,0
21256,487846,0
21356,1059333,0
21460,1443836,0
21553,2166330,61592
21654,1704851,0
21755,1052581,0
21859,834560,0
21959,1441914,0
22062,1301386,0
22157,1258833,0
22257,814288,0
22358,737740,0
22462,759763,0
22560,945128,0
22661,1443714,0
22761,1121355,0
