datetime,cpu,mem
Fri Oct 21 02:26:56 GMT 2022,2.6,1469469
Fri Oct 21 02:26:57 GMT 2022,48,1464333
Fri Oct 21 02:26:59 GMT 2022,48,1358403
Fri Oct 21 02:27:01 GMT 2022,48,1396053
Fri Oct 21 02:27:03 GMT 2022,0.1,1425094
Fri Oct 21 02:27:06 GMT 2022,0.1,1420839
Fri Oct 21 02:27:08 GMT 2022,0.1,1398049
Fri Oct 21 02:27:10 GMT 2022,0,1393199
Fri Oct 21 02:27:12 GMT 2022,0,1394995
Fri Oct 21 02:27:14 GMT 2022,0,1391530
Fri Oct 21 02:27:16 GMT 2022,33,1393523
Fri Oct 21 02:27:18 GMT 2022,33,1392859
Fri Oct 21 02:27:20 GMT 2022,33,1395880
Fri Oct 21 02:27:22 GMT 2022,0,1392823
Fri Oct 21 02:27:23 GMT 2022,0,1393943
Fri Oct 21 02:27:25 GMT 2022,0,1394130
Fri Oct 21 02:27:27 GMT 2022,0.1,1391243
Fri Oct 21 02:27:29 GMT 2022,0.1,1390571
Fri Oct 21 02:27:31 GMT 2022,0.1,1393426
Fri Oct 21 02:27:33 GMT 2022,33,1393455
Fri Oct 21 02:27:35 GMT 2022,33,1392555
Fri Oct 21 02:27:37 GMT 2022,33,1393186
Fri Oct 21 02:27:38 GMT 2022,31,1392655
Fri Oct 21 02:27:40 GMT 2022,31,1394123
Fri Oct 21 02:27:42 GMT 2022,31,1394098
Fri Oct 21 02:27:44 GMT 2022,32,1388041
Fri Oct 21 02:27:46 GMT 2022,32,1388553
Fri Oct 21 02:27:48 GMT 2022,32,1389027
Fri Oct 21 02:27:49 GMT 2022,32,1391014
Fri Oct 21 02:27:51 GMT 2022,28,1390467
Fri Oct 21 02:27:53 GMT 2022,28,1393103
Fri Oct 21 02:27:55 GMT 2022,28,1396022
Fri Oct 21 02:27:57 GMT 2022,0,1395883
Fri Oct 21 02:27:58 GMT 2022,0,1394891
Fri Oct 21 02:28:00 GMT 2022,0,1395102
Fri Oct 21 02:28:02 GMT 2022,0,1395191
Fri Oct 21 02:28:04 GMT 2022,0,1396155
Fri Oct 21 02:28:06 GMT 2022,0,1396894
Fri Oct 21 02:28:08 GMT 2022,34,1396522
Fri Oct 21 02:28:10 GMT 2022,34,1379663
