Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
11,2390350,1005711
111,2200871,816232
212,2114829,730190
312,2278273,893634
413,2282005,897366
514,2256763,872124
614,2265401,880762
714,2520881,1136242
821,1992938,608299
922,2077804,693165
970,2423143,1038504
1072,2879766,1495127
1172,2545096,1160457
1274,1922125,537486
1375,2934673,1550034
1478,4667536,3282897
1576,5131873,3747234
1672,3610813,2226174
1783,3278710,1894071
1879,3834914,2450275
1974,3492418,2107779
2072,2273652,889013
2172,2468759,1084120
2276,1260988,0
2374,2701822,1317183
2479,4553684,3169045
2583,4667241,3282602
2688,3092935,1708296
2785,4640524,3255885
2884,4094669,2710030
2983,2377593,992954
3086,2398182,1013543
3187,1520298,135659
3286,2135512,750873
3385,2912799,1528160
3488,1587341,202702
3585,2020572,635933
3686,2752242,1367603
3786,1979701,595062
3888,2088675,704036
3988,1799395,414756
4087,1649151,264512
4191,2429617,1044978
4289,4277005,2892366
4390,3421678,2037039
4491,2962733,1578094
4597,2789196,1404557
4687,3610465,2225826
4790,2958929,1574290
4888,3394192,2009553
4990,2603095,1218456
5089,1651016,266377
5190,2899551,1514912
5294,3734914,2350275
5398,2468643,1084004
5491,2105302,720663
5592,1463007,78368
5692,1692171,307532
5793,1830559,445920
5895,1180601,0
6004,1408084,23445
6108,1502830,118191
6206,2902843,1518204
6298,2239575,854936
6400,2932598,1547959
6498,2454280,1069641
6598,2287687,903048
6701,2069043,684404
6805,2975598,1590959
6905,2040468,655829
7006,2291421,906782
7107,2535204,1150565
7207,1595922,211283
7312,1875555,490916
7409,2097828,713189
7511,1753664,369025
7611,1897066,512427
7720,1775174,390535
7810,2391802,1007163
7913,1803855,419216
8014,1911406,526767
8117,2097828,713189
8218,1911406,526767
8316,1897066,512427
8415,1932916,548277
8515,2004617,619978
8617,1968767,584128
8717,2133679,749040
8818,1839705,455066
8925,1968767,584128
9016,1560071,175432
9125,914763,0
9218,1689133,304494
9318,1086845,0
9424,943443,0
9519,1402329,17690
9626,878912,0
9717,1289981,0
9820,1332397,0
9928,824570,0
10021,1459690,75051
10118,1825365,440726
10221,1918989,534350
10322,1727017,342378
10428,1323871,0
10524,1376212,0
10624,1036654,0
10729,1039389,0
10825,1301948,0
10936,714665,0
11035,811865,0
11126,916267,0
11241,544431,0
11329,1144955,0
11427,866077,0
11536,586443,0
11625,784791,0
11729,403400,0
11830,538267,0
11929,755159,0
12029,830491,0
12130,724412,0
12229,677769,0
12330,1504215,119576
12432,1189112,0
12533,733244,0
12632,614442,0
12734,776265,0
12835,493724,0
12934,1110993,0
13037,493496,0
13135,1600932,216293
13235,892152,0
13337,511723,0
13437,676636,0
13539,560632,0
13638,863058,0
13740,361152,0
13843,650398,0
13941,746482,0
14042,541728,0
14142,808278,0
14244,700268,0
14345,591014,0
14444,635572,0
14545,1343454,0
14645,828831,0
14754,1005342,0
14852,991749,0
14960,911957,0
15052,1236856,0
15152,1179495,0
15253,1108848,0
15360,799257,0
15458,855072,0
15557,1024418,0
15657,1238823,0
15758,993072,0
15857,892009,0
15951,1013273,0
16053,924003,0
16152,1152122,0
16255,797256,0
16353,958416,0
16454,868504,0
16554,1788953,404314
16654,1809389,424750
16755,1744858,360219
16861,1021753,0
16911,1094180,0
17017,812390,0
17114,1177631,0
17216,1120105,0
17323,1012359,0
17414,1071943,0
17515,870455,0
17615,1143237,0
17719,587947,0
17811,928990,0
17912,918374,0
18011,865393,0
18114,775374,0
18213,807052,0
18315,665527,0
18415,746757,0
18517,645441,0
18618,761313,0
18719,721814,0
18821,756800,0
18919,637630,0
19022,703960,0
19121,647673,0
