datetime,cpu,mem
Fri Oct 21 00:23:59 GMT 2022,36,1179508
Fri Oct 21 00:24:01 GMT 2022,0,1203547
Fri Oct 21 00:24:03 GMT 2022,0,1247612
Fri Oct 21 00:24:04 GMT 2022,0,1271067
Fri Oct 21 00:24:06 GMT 2022,0.1,1259818
Fri Oct 21 00:24:08 GMT 2022,0.1,1246080
Fri Oct 21 00:24:10 GMT 2022,0.1,1262988
Fri Oct 21 00:24:12 GMT 2022,37,1244105
Fri Oct 21 00:24:14 GMT 2022,37,1243094
Fri Oct 21 00:24:15 GMT 2022,37,1243447
Fri Oct 21 00:24:17 GMT 2022,32,1166176
Fri Oct 21 00:24:19 GMT 2022,32,1165380
Fri Oct 21 00:24:21 GMT 2022,32,1166795
Fri Oct 21 00:24:23 GMT 2022,0,1164796
Fri Oct 21 00:24:24 GMT 2022,0,1166068
Fri Oct 21 00:24:26 GMT 2022,0,1167179
Fri Oct 21 00:24:28 GMT 2022,0.1,1164296
Fri Oct 21 00:24:30 GMT 2022,0.1,1165288
Fri Oct 21 00:24:31 GMT 2022,0.1,1165559
Fri Oct 21 00:24:33 GMT 2022,0,1162268
Fri Oct 21 00:24:34 GMT 2022,0,1166364
Fri Oct 21 00:24:36 GMT 2022,0,1166623
Fri Oct 21 00:24:38 GMT 2022,0.1,1164372
Fri Oct 21 00:24:40 GMT 2022,0.1,1163436
Fri Oct 21 00:24:42 GMT 2022,0.1,1166495
Fri Oct 21 00:24:44 GMT 2022,36,1166532
Fri Oct 21 00:24:45 GMT 2022,36,1165356
Fri Oct 21 00:24:47 GMT 2022,36,1165833
Fri Oct 21 00:24:48 GMT 2022,0,1164934
Fri Oct 21 00:24:50 GMT 2022,0,1166210
Fri Oct 21 00:24:52 GMT 2022,0,1166737
Fri Oct 21 00:24:54 GMT 2022,0.1,1164446
Fri Oct 21 00:24:55 GMT 2022,0.1,1165938
Fri Oct 21 00:24:57 GMT 2022,0.1,1169265
Fri Oct 21 00:24:59 GMT 2022,37,1166350
Fri Oct 21 00:25:01 GMT 2022,37,1165286
Fri Oct 21 00:25:03 GMT 2022,37,1167017
Fri Oct 21 00:25:05 GMT 2022,34,1166990
Fri Oct 21 00:25:06 GMT 2022,34,1165998
Fri Oct 21 00:25:08 GMT 2022,34,1166765
Fri Oct 21 00:25:10 GMT 2022,34,1165634
Fri Oct 21 00:25:12 GMT 2022,34,1166834
Fri Oct 21 00:25:14 GMT 2022,34,1153217
