datetime,cpu,mem
Fri Oct 21 02:49:50 GMT 2022,30,1330376
Fri Oct 21 02:49:51 GMT 2022,0,1327610
Fri Oct 21 02:49:53 GMT 2022,0,1275386
Fri Oct 21 02:49:54 GMT 2022,0,1338401
Fri Oct 21 02:49:57 GMT 2022,59,1518619
Fri Oct 21 02:50:00 GMT 2022,59,1493888
Fri Oct 21 02:50:02 GMT 2022,0.1,1466243
Fri Oct 21 02:50:05 GMT 2022,0.1,1465598
Fri Oct 21 02:50:07 GMT 2022,0.1,1468323
Fri Oct 21 02:50:09 GMT 2022,0,1463336
Fri Oct 21 02:50:11 GMT 2022,0,1463616
Fri Oct 21 02:50:12 GMT 2022,0,1464836
Fri Oct 21 02:50:13 GMT 2022,0,1467211
Fri Oct 21 02:50:15 GMT 2022,33,1462956
Fri Oct 21 02:50:17 GMT 2022,33,1464272
Fri Oct 21 02:50:19 GMT 2022,33,1466187
Fri Oct 21 02:50:21 GMT 2022,33,1463556
Fri Oct 21 02:50:23 GMT 2022,33,1463540
Fri Oct 21 02:50:25 GMT 2022,33,1463600
Fri Oct 21 02:50:26 GMT 2022,33,1466223
Fri Oct 21 02:50:28 GMT 2022,31,1461530
Fri Oct 21 02:50:30 GMT 2022,31,1461766
Fri Oct 21 02:50:32 GMT 2022,31,1465795
Fri Oct 21 02:50:34 GMT 2022,32,1465748
Fri Oct 21 02:50:36 GMT 2022,32,1465412
Fri Oct 21 02:50:37 GMT 2022,32,1467435
Fri Oct 21 02:50:39 GMT 2022,28,1464316
Fri Oct 21 02:50:41 GMT 2022,28,1464444
Fri Oct 21 02:50:43 GMT 2022,28,1465771
Fri Oct 21 02:50:45 GMT 2022,0,1460242
Fri Oct 21 02:50:46 GMT 2022,0,1460876
Fri Oct 21 02:50:49 GMT 2022,0,1462863
Fri Oct 21 02:50:51 GMT 2022,0,1464332
Fri Oct 21 02:50:52 GMT 2022,0,1465040
Fri Oct 21 02:50:54 GMT 2022,0,1466112
Fri Oct 21 02:50:55 GMT 2022,0,1466435
Fri Oct 21 02:50:57 GMT 2022,30,1464024
Fri Oct 21 02:50:59 GMT 2022,30,1464568
Fri Oct 21 02:51:01 GMT 2022,30,1476288
Fri Oct 21 02:51:03 GMT 2022,33,1444548
