Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
10,2129170,970786
91,2241835,1083451
193,2114829,956445
293,2215211,1056827
394,2150680,992296
487,2256763,1098379
588,2199402,1041018
688,2271103,1112719
791,2289175,1130791
895,2351616,1193232
995,3390758,2232374
1096,3211506,2053122
1199,4057577,2899193
1295,4783334,3624950
1395,5246793,4088409
1500,3720783,2562399
1601,2876872,1718488
1702,4516716,3358332
1804,2847871,1689487
1906,3648637,2490253
1999,3599039,2440655
2099,2531514,1373130
2199,2345213,1186829
2301,1680590,522206
2400,1448202,289818
2500,1357903,199519
2600,1355836,197452
2701,1313632,155248
2802,1589448,431064
2902,1912598,754214
3003,2269547,1111163
3103,1660176,501792
3204,1307066,148682
3304,1793916,635532
3405,2996751,1838367
3510,3793839,2635455
3613,6086753,4928369
3714,4912366,3753982
3813,2379357,1220973
3915,2360407,1202023
4011,3000006,1841622
4110,2727103,1568719
4211,4279349,3120965
4315,3873614,2715230
4417,4939809,3781425
4512,4105645,2947261
4625,4521814,3363430
4722,4238491,3080107
4825,5090877,3932493
4919,3530520,2372136
5021,4039445,2881061
5128,4753196,3594812
5222,3354253,2195869
5319,3221534,2063150
5422,3007904,1849520
5523,3136961,1978577
5623,3379438,2221054
5725,4459272,3300888
5827,2446319,1287935
5923,2203381,1044997
6034,4188103,3029719
6135,3253727,2095343
6224,3724429,2566045
6325,3552532,2394148
6436,3549100,2390716
6534,3353702,2195318
6634,3579113,2420729
6731,3688298,2529914
6839,3164995,2006611
6936,3245997,2087613
7063,3632430,2474046
7131,4094762,2936378
7234,3233989,2075605
7332,2800192,1641808
7435,1702184,543800
7533,2755168,1596784
7635,1470234,311850
7731,1831612,673228
7853,713921,0
7942,1412527,254143
8039,1670661,512277
8137,1858158,699774
8238,1983508,825124
8337,1129866,0
8453,740309,0
8541,1195236,36852
8644,1170301,11917
8742,1151963,0
8844,1205676,47292
8945,1009478,0
9040,844566,0
9147,521912,0
9238,841548,0
9341,432852,0
9440,867210,0
9540,830226,0
9641,429192,0
9741,1135468,0
9842,1315907,157523
9942,1045594,0
10042,1006873,0
10144,430936,0
10248,1551387,393003
10347,865324,0
10449,921187,0
10547,1223077,64693
10651,768425,0
10748,1266097,107713
10851,841159,0
10951,1303230,144846
11052,744185,0
11156,780035,0
11249,615123,0
11353,607953,0
11450,726826,0
11554,383469,0
11654,611248,0
11753,653356,0
11854,687614,0
11957,422254,0
12057,575904,0
12156,1300434,142050
12254,2262708,1104324
12355,1180758,22374
12458,902805,0
12556,410746,0
12657,765499,0
12758,939695,0
12858,971562,0
12961,775968,0
13059,878351,0
13159,946362,0
13261,754242,0
13368,1059612,0
13462,792269,0
13562,1128230,0
13664,664036,0
13763,1301854,143470
13864,913127,0
13965,994723,0
14065,1098638,0
14167,782369,0
14268,744735,0
14369,710655,0
14468,2705651,1547267
14568,2151978,993594
14668,1494979,336595
14772,936250,0
14877,877048,0
14976,946866,0
15079,893506,0
15129,868204,0
15230,901036,0
15333,917452,0
15434,906970,0
15542,792691,0
15642,826145,0
15730,1093454,0
15835,1041619,0
15932,1071542,0
16034,818956,0
16153,884620,0
16234,1162388,4004
16335,1169447,11063
16434,981518,0
16536,1059751,0
16634,1172325,13941
16734,1071943,0
16836,901983,0
16939,845222,0
17038,1076529,0
17143,991749,0
17239,981775,0
17339,951853,0
17448,926918,0
17541,1021671,0
17641,1061568,0
17744,946866,0
17844,1058538,0
17947,1074086,0
18042,864011,0
18146,1179495,21111
18237,923311,0
18339,735251,0
18442,932579,0
18543,1028168,0
18648,1041304,0
18747,931905,0
18848,882035,0
18952,981775,0
19048,936892,0
19153,1061008,0
19250,926918,0
19351,981775,0
19455,956840,0
19551,973760,0
19653,818956,0
19758,1020648,0
19858,841939,0
19956,802540,0
20054,1001723,0
20155,832165,0
20261,870406,0
20358,1034363,0
20453,1032022,0
20559,893765,0
20652,837152,0
20753,1034505,0
20852,763614,0
20953,760885,0
21054,874031,0
21155,679507,0
21255,795403,0
21356,740653,0
21457,730933,0
21557,742273,0
21658,698380,0
21760,725161,0
21861,672666,0
21962,761264,0
22060,1710082,551698
22161,1549724,391340
22261,1631678,473294
22362,833530,0
22466,1017079,0
22564,993072,0
22664,1041115,0
22764,878478,0
22864,672454,0
22966,788923,0
23067,709539,0
23168,688338,0
23267,747985,0
23369,1009210,0
23469,735793,0
23571,227902,0
23673,657716,0
23771,759325,0
23872,725211,0
23974,710655,0
24075,712837,0
24175,755783,0
24275,767697,0
24376,1136705,0
24480,1785391,627007
24581,1708874,550490
24688,1808113,649729
24783,2853001,1694617
24886,2325210,1166826
24987,2320907,1162523
25088,2207091,1048707
25188,1324449,166065
25287,1769765,611381
25392,2458626,1300242
25485,2455040,1296656
25587,1800904,642520
25688,1849536,691152
25781,1522377,363993
25883,1289204,130820
25988,1496707,338323
26088,563024,0
26193,1144060,0
26291,1114964,0
26395,1222515,64131
26496,985902,0
26587,921931,0
26687,1071316,0
26789,751024,0
26890,712887,0
26993,718466,0
27093,653252,0
27192,705026,0
27295,661606,0
27394,627314,0
27496,705076,0
27596,689404,0
27697,681642,0
27799,698380,0
27898,718466,0
28001,455133,0
28103,884130,0
28208,1181783,23399
28300,1079113,0
28401,836317,0
28502,742404,0
28603,773958,0
28705,727788,0
28805,726277,0
28906,699447,0
29007,733856,0
29109,665527,0
29210,691685,0
29312,706192,0
29411,705076,0
29513,722930,0
29612,625356,0
29714,702844,0
29814,646557,0
29916,699277,0
30017,702844,0
30118,588762,0
30221,649202,0
30321,1260333,101949
30427,1136373,0
30528,1090930,0
30627,950052,0
30718,1279876,121492
30819,787282,0
30920,838582,0
31026,1098052,0
31128,921931,0
31232,867074,0
31332,523635,0
31427,1022827,0
31529,996736,0
31634,911957,0
31736,981495,0
31832,1150814,0
31933,1125839,0
32036,951853,0
32137,981775,0
32233,1634433,476049
32336,1410865,252481
32426,1569902,411518
32541,1379994,221610
32584,1792197,633813
32688,1640652,482268
32779,1414903,256519
32879,1597146,438762
32980,1299481,141097
33080,375566,0
33181,1169366,10982
33282,1247734,89350
33383,1152327,0
33485,1252830,94446
33602,1347431,189047
33691,2231020,1072636
33791,1360508,202124
33893,1444825,286441
33994,1370020,211636
34094,1444825,286441
34196,1313632,155248
34298,1359597,201213
34398,1303782,145398
34499,1320198,161814
34604,1286619,128235
34704,1381560,223176
34798,1573035,414651
34899,1330124,171740
35005,1514643,356259
35100,1352348,193964
35210,961984,0
35298,1474194,315810
35401,985902,0
35503,812217,0
35610,851788,0
35705,1161341,2957
35805,782295,0
35906,977450,0
36007,961827,0
36107,991749,0
36211,945437,0
36312,584267,0
36418,1086284,0
36503,1114964,0
36604,908400,0
36705,799608,0
36805,816145,0
36906,770136,0
37007,681456,0
37111,795733,0
37212,1786520,628136
37311,1136538,0
37414,1001645,0
37525,880255,0
37615,1322897,164513
37709,797256,0
