Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
11,2200871,333736
90,2270768,403633
187,2337163,470028
284,1993687,126552
384,2487674,620539
486,2470270,603135
586,1883217,16082
687,2186591,319456
789,2884233,1017098
891,3132342,1265207
990,3304775,1437640
1090,3667062,1799927
1190,2693528,826393
1299,3626276,1759141
1393,4149933,2282798
1497,3782938,1915803
1597,3295456,1428321
1699,1681934,0
1802,3020123,1152988
1896,1892159,25024
2007,2769308,902173
2100,3651771,1784636
2201,2442266,575131
2305,2721825,854690
2404,2726955,859820
2504,3852457,1985322
2603,3926729,2059594
2702,2070199,203064
2804,1324564,0
2903,1633409,0
3006,1095937,0
3111,2816954,949819
3205,2377551,510416
3307,2285097,417962
3405,4481983,2614848
3509,3178331,1311196
3609,2650037,782902
3709,3084311,1217176
3809,1716543,0
3915,2759149,892014
4009,3362955,1495820
4113,1942604,75469
4209,3099927,1232792
4310,3003714,1136579
4408,2625999,758864
4513,3000707,1133572
4610,3344918,1477783
4710,4071173,2204038
4812,3836427,1969292
4917,3572970,1705835
5022,4573108,2705973
5118,2886881,1019746
5220,1969352,102217
5322,1655595,0
5416,1730518,0
5518,1739697,0
5618,1865208,0
5719,1617338,0
5819,1744858,0
5924,1717252,0
6035,864011,0
6121,1771997,0
6221,1502149,0
6321,1187600,0
6422,1251196,0
6523,1314653,0
6624,1436544,0
6724,1558038,0
6824,1143644,0
6925,931905,0
7027,1799124,0
7127,1694979,0
7229,1239451,0
7330,1188731,0
7436,1533160,0
7540,1426477,0
7635,1780152,0
7736,4430215,2563080
7836,3963291,2096156
7941,3532821,1665686
8033,3057903,1190768
8133,2914765,1047630
8234,3137038,1269903
8335,3348858,1481723
8435,3205456,1338321
8536,2474943,607808
8636,3458001,1590866
8736,4025074,2157939
8837,3577055,1709920
8940,3608233,1741098
9038,3247744,1380609
9138,3470901,1603766
9239,2816300,949165
9340,3706313,1839178
9439,3838048,1970913
9540,3012884,1145749
9640,3697061,1829926
9740,1579437,0
9841,1364334,0
9941,1503584,0
10042,856823,0
10149,2196065,328930
10246,1895112,27977
10351,1222706,0
10449,2233430,366295
10551,2398342,531207
10652,1982476,115341
10748,2393762,526627
10853,2138996,271861
10945,1606556,0
11047,1402775,0
11146,2185654,318519
11247,1972246,105111
11349,1599137,0
11448,1869566,2431
11548,1962470,95335
11652,1407863,0
11750,4051400,2184265
11852,4182612,2315477
11953,3760445,1893310
12054,3855618,1988483
12158,4888681,3021546
12254,3842186,1975051
12355,3253179,1386044
12456,3192631,1325496
12556,3937060,2069925
12657,3143112,1275977
12757,2857320,990185
12857,2737843,870708
12958,2208672,341537
13065,2762365,895230
13164,3133857,1266722
13265,2981883,1114748
13369,3015655,1148520
13467,3173258,1306123
13565,3026912,1159777
13668,2627276,760141
13767,1412796,0
13873,1159506,0
13983,1390281,0
14069,1795546,0
14172,1514112,0
14276,1632314,0
14375,1761774,0
14481,1716744,0
14576,1728002,0
14674,1649200,0
14776,3098634,1231499
14881,3031090,1163955
14977,3109891,1242756
15081,2918517,1051382
15173,2689598,822463
15273,2516510,649375
15374,2393142,526007
15475,2770268,903133
15575,2732275,865140
15676,2569511,702376
15776,3779368,1912233
15876,3637246,1770111
15976,3721683,1854548
16082,3795810,1928675
16182,4051918,2184783
16284,4023774,2156639
16383,4147605,2280470
16488,4136348,2269213
16586,4530355,2663220
16684,4237664,2370529
16784,1763224,0
16887,1189099,0
16986,1622507,0
17087,1780110,0
17188,1538077,0
17288,1768852,0
17396,1746338,0
17494,1729452,0
17591,1588735,0
17694,1853282,0
17801,1847436,0
17895,1824921,0
17996,1909351,42216
18101,1833347,0
18196,1732522,0
18297,1645260,0
18397,1705768,0
18449,1957650,90515
18549,1582557,0
18643,1560346,0
18744,1687942,0
18843,4013093,2145958
18944,3550593,1683458
19044,4424929,2557794
19145,3571178,1704043
19245,3462353,1595218
19349,3621503,1754368
19450,3454457,1587322
19553,3281307,1414172
19647,3342283,1475148
19748,3379803,1512668
19849,2334052,466917
19950,2322794,455659
20059,1866639,0
20155,2867859,1000724
20256,2884745,1017610
20356,2822829,955694
20458,2834087,966952
20558,2760914,893779
20659,2648340,781205
20758,1305851,0
20865,1142620,0
20967,1480340,0
21064,1632314,0
21158,1414653,0
21259,1369622,0
21360,1355549,0
21461,1372435,0
21561,1501426,0
21660,1444195,0
21761,1416054,0
21861,3141890,1274755
21965,2871151,1004016
22065,2439130,571995
22177,2498611,631476
22263,3313091,1445956
22364,3314958,1447823
22465,3074346,1207211
22565,2764769,897634
22667,2660723,793588
22766,2658845,791710
22867,3326018,1458883
22968,3553976,1686841
23074,3279132,1411997
23175,3892657,2025522
23279,3661882,1794747
23377,3887029,2019894
23478,3791341,1924206
23578,3757569,1890434
23680,3684396,1817261
23780,3796970,1929835
23880,1531619,0
23980,1407788,0
24087,1632935,0
24182,1942512,75377
24296,1813053,0
24383,1903112,35977
24489,2083229,216094
24598,2122630,255495
24692,1953770,86635
24794,1998588,131453
24891,2129279,262144
25004,2360055,492920
25093,2072993,205858
25202,1687315,0
25294,2066293,199158
25395,2268925,401790
25504,2229525,362390
25601,1769017,0
25694,1791531,0
25794,1752147,0
25894,4209571,2342436
25995,4126081,2258946
26100,3748169,1881034
26201,3903915,2036780
26301,3808227,1941092
26402,3690025,1822890
26503,3723797,1856662
26603,3656253,1789118
26702,3735054,1867919
26805,3746312,1879177
26902,3047355,1180220
27005,2535146,668011
27106,2546403,679268
27209,2670234,803099
27306,2822208,955073
27407,2478859,611724
27507,2675863,808728
27608,2214312,347177
27708,2732150,865015
27809,2625205,758070
27910,1362138,0
28012,1621057,0
28112,1671715,0
28214,1576028,0
28315,1598542,0
28418,1699858,0
28521,1953149,86014
28615,1711116,0
28716,1547884,0
28817,1587285,0
28919,3520247,1653112
29019,2936025,1068890
29123,2491359,624224
