device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p,https-www-cnblogs-com,chrome,32549.15778334726,1513815.4501403973
nexus6p,https-www-cnblogs-com,firefox,137293.55459408433,1381069.868112884
nexus6p,https-www-bbc-com,chrome,204620.7452797203,1432336.6460227272
nexus6p,https-www-bbc-com,firefox,142021.24081242978,1425875.7050852538
nexus6p,https-www-accuweather-com,chrome,201867.61852547174,1467381.4797947498
nexus6p,https-www-accuweather-com,firefox,211572.21459859045,1426837.3159500747
nexus6p,https-www-speedtest-net,chrome,165562.65518755026,1851051.0005685636
nexus6p,https-www-speedtest-net,firefox,311531.3683414428,1455922.3195144911
nexus6p,https-www-economist-com,chrome,404474.3726473488,1739216.83605087
nexus6p,https-www-economist-com,firefox,95973.24647987686,1380172.5466546954
nexus6p,https-www-psychologytoday-com,chrome,76380.76637809798,1476437.7666524495
nexus6p,https-www-psychologytoday-com,firefox,142833.6137879118,1437864.2851462984
nexus6p,https-www-science-org,chrome,263581.29537115037,1593789.6531170579
nexus6p,https-www-science-org,firefox,367719.7585484743,1455460.043268531
nexus6p,https-www-mirror-co-uk,chrome,48543.34526978933,1500888.0105174854
nexus6p,https-www-mirror-co-uk,firefox,114450.86245439391,1454603.2161885556
nexus6p,https-www-imdb-com,chrome,354753.61973935156,2057182.8949459633
nexus6p,https-www-imdb-com,firefox,93922.03913225635,1381829.0514953237
nexus6p,https-www-investing-com,chrome,123229.10182527451,1577408.0949566558
nexus6p,https-www-investing-com,firefox,238984.53430592042,1412336.5385120611
