datetime,cpu,mem
Fri Oct 21 07:57:27 GMT 2022,0,1207454
Fri Oct 21 07:57:29 GMT 2022,0,1210342
Fri Oct 21 07:57:30 GMT 2022,0,1139651
Fri Oct 21 07:57:32 GMT 2022,0,1140769
Fri Oct 21 07:57:33 GMT 2022,0,1144263
Fri Oct 21 07:57:35 GMT 2022,36,1142399
Fri Oct 21 07:57:36 GMT 2022,36,1142231
Fri Oct 21 07:57:38 GMT 2022,36,1141462
Fri Oct 21 07:57:39 GMT 2022,36,1144799
Fri Oct 21 07:57:40 GMT 2022,31,1142630
Fri Oct 21 07:57:42 GMT 2022,31,1168804
Fri Oct 21 07:57:44 GMT 2022,31,1384909
Fri Oct 21 07:57:45 GMT 2022,31,1421515
Fri Oct 21 07:57:46 GMT 2022,34,1418553
Fri Oct 21 07:57:48 GMT 2022,34,1417997
Fri Oct 21 07:57:50 GMT 2022,34,1420235
Fri Oct 21 07:57:52 GMT 2022,-18.5,1420405
Fri Oct 21 07:57:53 GMT 2022,-18.5,1422438
Fri Oct 21 07:57:55 GMT 2022,-18.5,1421294
Fri Oct 21 07:57:56 GMT 2022,-18.5,1423792
Fri Oct 21 07:57:58 GMT 2022,29,1423766
Fri Oct 21 07:57:59 GMT 2022,29,1425146
Fri Oct 21 07:58:01 GMT 2022,29,1423790
Fri Oct 21 07:58:02 GMT 2022,29,1425032
Fri Oct 21 07:58:04 GMT 2022,29,1420948
Fri Oct 21 07:58:05 GMT 2022,29,1422132
Fri Oct 21 07:58:07 GMT 2022,29,1420776
Fri Oct 21 07:58:08 GMT 2022,29,1420905
Fri Oct 21 07:58:10 GMT 2022,28,1420657
Fri Oct 21 07:58:11 GMT 2022,28,1421901
Fri Oct 21 07:58:13 GMT 2022,28,1420613
Fri Oct 21 07:58:14 GMT 2022,28,1423047
Fri Oct 21 07:58:16 GMT 2022,29,1422605
Fri Oct 21 07:58:17 GMT 2022,29,1421725
Fri Oct 21 07:58:19 GMT 2022,29,1423001
Fri Oct 21 07:58:20 GMT 2022,29,1422835
Fri Oct 21 07:58:22 GMT 2022,29,1421709
Fri Oct 21 07:58:23 GMT 2022,29,1421697
Fri Oct 21 07:58:25 GMT 2022,29,1422801
Fri Oct 21 07:58:26 GMT 2022,29,1422671
Fri Oct 21 07:58:28 GMT 2022,0,1420361
Fri Oct 21 07:58:30 GMT 2022,0,1421785
Fri Oct 21 07:58:31 GMT 2022,0,1424123
Fri Oct 21 07:58:33 GMT 2022,0,1421669
Fri Oct 21 07:58:34 GMT 2022,0,1420677
Fri Oct 21 07:58:36 GMT 2022,0,1423769
Fri Oct 21 07:58:37 GMT 2022,0,1423759
Fri Oct 21 07:58:39 GMT 2022,0,1423841
Fri Oct 21 07:58:41 GMT 2022,0,1408781
