Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,2329845,1008299
59,3887758,2566212
160,2516355,1194809
260,2186530,864984
366,2401633,1080087
466,2206572,885026
569,2437484,1115938
671,2781648,1460102
768,2520761,1199215
868,2016211,694665
968,1713304,391758
1070,2368373,1046827
1171,2985001,1663455
1271,3806711,2485165
1368,4925398,3603852
1467,4598631,3277085
1569,4239593,2918047
1673,4509794,3188248
1770,5279116,3957570
1871,4717379,3395833
1971,4812766,3491220
2071,5501098,4179552
2171,4309141,2987595
2273,3738440,2416894
2373,3172362,1850816
2478,3319132,1997586
2578,2902572,1581026
2679,3063013,1741467
2780,2051640,730094
2880,2734271,1412725
2982,3301397,1979851
3076,1898434,576888
3178,3000881,1679335
3278,2086497,764951
3379,3207080,1885534
3485,3545336,2223790
3579,3089026,1767480
3686,2067845,746299
3785,1848844,527298
3891,1310003,0
3987,2955107,1633561
4087,3266342,1944796
4188,3303201,1981655
4288,1966555,645009
4390,1613066,291520
4491,2129170,807624
4594,2014448,692902
4684,2186530,864984
4785,2166989,845443
4886,1883918,562372
4986,2043129,721583
5086,2070340,748794
5187,1229686,0
5289,1597114,275568
5391,1358858,37312
5490,1361854,40308
5590,1786062,464516
5709,1150926,0
5798,1518210,196664
5897,1870157,548611
6003,1792591,471045
6093,1431854,110308
6204,1554629,233083
6301,1777835,456289
6403,1439838,118292
6503,2038222,716676
6596,1464773,143227
6697,1470481,148935
6798,1241402,0
6899,1577308,255762
6999,1590891,269345
7100,1365033,43487
7215,1320198,0
7311,1725721,404175
7407,1544676,223130
7514,1384921,63375
7609,1878216,556670
7711,1597114,275568
7810,1448011,126465
7911,1509656,188110
8012,2043129,721583
8104,1703196,381650
8208,1406959,85413
8314,1634433,312887
8407,1512542,190996
8506,1491448,169902
8606,1228165,0
8709,1196906,0
8809,1064277,0
8909,673246,0
9011,1479700,158154
9110,1605753,284207
9211,1526882,205336
9316,1496733,175187
9419,1555562,234016
9518,1648773,327227
9621,392886,0
9724,1534052,212506
9822,1204848,0
9924,1497491,175945
10021,2503309,1181763
10130,2365496,1043950
10230,2493558,1172012
10325,1640873,319327
10422,2615366,1293820
10526,2093613,772067
10635,1275928,0
10722,1871046,549500
10825,1194935,0
10926,1609396,287850
11025,1689444,367898
11126,741283,0
11229,1291648,0
11329,1333331,11785
11428,1768315,446769
11531,1121736,0
11630,1392261,70715
11730,1788838,467292
11839,1462351,140805
11942,1620842,299296
12034,2234815,913269
12133,508850,0
12233,1192478,0
12337,1223614,0
12436,1123244,0
12536,1389083,67537
12637,1229327,0
12740,1439552,118006
12837,1413348,91802
12941,1397666,76120
13038,1333469,11923
13139,1591413,269867
13239,1775191,453645
13343,1105709,0
13440,1839722,518176
13539,1749155,427609
13651,1647979,326433
13749,1419330,97784
13855,1404990,83444
13942,1534052,212506
14044,1385449,63903
14145,1410691,89145
14243,633919,0
14344,1830789,509243
14466,1114024,0
14553,1937154,615608
14651,1577072,255526
