Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
4,2078979,836604
87,2163845,921470
189,2448593,1206218
292,2380123,1137748
389,2423143,1180768
492,2351443,1109068
592,2566545,1324170
692,2494844,1252469
791,2623906,1381531
893,1819561,577186
993,2783411,1541036
1093,2559375,1317000
1194,2934810,1692435
1297,3411474,2169099
1395,4500154,3257779
1494,4812197,3569822
1596,4332938,3090563
1696,3493991,2251616
1800,4184896,2942521
1896,3649462,2407087
1997,2599116,1356741
2098,4207748,2965373
2199,2780978,1538603
2301,4065254,2822879
2395,3187216,1944841
2501,1771771,529396
2608,2526717,1284342
2704,2333871,1091496
2806,2939103,1696728
2909,3025893,1783518
3002,2240746,998371
3099,2587073,1344698
3206,1901508,659133
3307,1571201,328826
3406,1985448,743073
3508,2340211,1097836
3608,2007104,764729
3711,1544565,302190
3809,1634433,392058
3903,1240358,0
4004,1335111,92736
4105,1505391,263016
4204,927705,0
4309,1194373,0
4405,2274027,1031652
4506,1713304,470929
4606,1416259,173884
4707,1436207,193832
4819,1384361,141986
4920,3219024,1976649
5008,3403684,2161309
5115,3580205,2337830
5217,2790821,1548446
5317,1844335,601960
5419,1534591,292216
5518,1505371,262996
5629,1174806,0
5719,1570163,327788
5819,1070752,0
5920,1393843,151468
6022,1605765,363390
6121,2035958,793583
6215,1218568,0
6316,1309046,66671
6416,1602020,359645
6516,1471116,228741
6617,1444825,202450
6733,1476103,233728
6824,1655943,413568
6926,1474543,232168
7026,1404175,161800
7127,1691794,449419
7227,1839602,597227
7331,1633813,391438
7422,1308972,66597
7531,1399942,157567
7631,1459786,217411
7730,1634433,392058
7823,1899727,657352
7924,1527328,284953
8024,314181,0
8126,1443104,200729
8225,1869577,627202
8326,1426500,184125
8429,1281062,38687
8528,1208246,0
8629,1371498,129123
8730,1147864,0
8831,1250599,8224
8934,1346650,104275
9036,1374093,131718
9139,1370020,127645
9243,1375007,132632
9339,1928407,686032
9441,1686774,444399
9533,1389968,147593
9633,632937,0
9733,1909160,666785
9834,1741985,499610
9936,1382011,139636
10036,1608016,365641
10138,1084340,0
10239,1564175,321800
10338,2882650,1640275
10438,3045125,1802750
10540,1812778,570403
10639,2154870,912495
10749,1315072,72697
10845,1684624,442249
10951,1204227,0
11044,1747686,505311
11164,1117257,0
11250,1741985,499610
11342,1498201,255826
11444,1789444,547069
11543,1703784,461409
11645,1071984,0
11746,1297890,55515
11845,1812217,569842
11945,1873309,630934
12047,971226,0
12147,1469200,226825
12247,1530960,288585
12349,2434607,1192232
12448,1483612,241237
12551,1637041,394666
12652,1157884,0
12751,1281391,39016
12854,1352768,110393
12951,1417701,175326
13054,1373365,130990
13153,1312253,69878
13253,1362123,119748
13354,1504383,262008
13454,1598583,356208
13555,1059531,0
13659,719272,0
13755,1481646,239271
13858,1514511,272136
13956,1500464,258089
14059,1182585,0
14159,1392426,150051
14258,1581351,338976
14359,1443104,200729
14475,1246643,4268
14566,1606807,364432
14682,1092178,0
14767,1835196,592821
14866,1569902,327527
14982,1093049,0
15077,1679980,437605
15170,896261,0
15265,759689,0
15364,1634433,392058
15465,1403521,161146
15568,1249065,6690
15666,1349747,107372
15767,1787806,545431
15870,1179183,0
15970,1355061,112686
16071,1356114,113739
16129,1314975,72600
16231,1969371,726996
16324,1569902,327527
16425,1200384,0
16525,1386083,143708
16626,1499862,257487
16728,823266,0
16830,745271,0
16930,1688349,445974
17055,1126390,0
17137,1471226,228851
17232,1655943,413568
17339,1287366,44991
17435,2466164,1223789
17534,1871046,628671
17639,1476691,234316
17730,1541222,298847
17840,1471490,229115
17931,1462351,219976
18034,1303140,60765
18131,1719005,476630
18232,1121124,0
18338,1097971,0
18437,1110422,0
18546,1275928,33553
18639,1612923,370548
18754,1426500,184125
18835,1715567,473192
18936,1570022,327647
19037,1394128,151753
19138,1562732,320357
19246,1632964,390589
19357,1160863,0
19448,1421978,179603
19546,1612923,370548
19665,1099881,0
19760,1222826,0
19859,921346,0
19953,968573,0
20052,1399745,157370
20154,1484721,242346
20256,1387822,145447
20355,1599422,357047
20455,1424877,182502
20556,1434851,192476
20661,1253514,11139
20755,1670284,427909
20855,1498201,255826
20961,1548392,306017
21050,1404990,162615
21159,1404929,162554
21263,1404929,162554
21359,1484721,242346
21460,774341,0
21560,1189451,0
21664,1550255,307880
21762,1534052,291677
21862,1553058,310683
21963,1399942,157567
22070,1295346,52971
22164,1870885,628510
22264,1494695,252320
22363,1842366,599991
22462,2093319,850944
22564,2222381,980006
22665,1648773,406398
22768,1620093,377718
22866,1541222,298847
22967,1047343,0
23068,838901,0
23168,1597955,355580
23272,1365033,122658
23374,1379994,137619
23471,1756325,513950
23563,1315163,72788
23664,1575930,333555
23767,322015,0
23866,1392342,149967
23967,1133357,0
24068,1293002,50627
24169,1226600,0
24269,1248367,5992
24370,1140053,0
24471,1805133,562758
24573,1168598,0
24672,1015476,0
24774,1066195,0
24873,862875,0
24975,837152,0
25074,841476,0
25176,776747,0
25275,768225,0
25379,625356,0
25477,1382900,140525
25577,646413,0
25678,1288408,46033
25798,1372666,130291
25897,1322991,80616
25988,1799345,556970
26092,1499682,257307
26190,1549552,307177
26290,1394955,152580
26390,1820856,578481
26489,1405878,163503
26593,579308,0
26691,1634433,392058
26797,1475535,233160
26893,1648773,406398
26995,1419890,177515
27095,1429864,187489
27195,1529604,287229
27304,1254534,12159
27401,1545772,303397
27501,1564513,322138
27596,1476691,234316
27703,1370020,127645
27802,1509656,267281
27900,1375007,132632
28000,1574100,331725
28105,1311922,69547
28201,1835196,592821
28304,1397820,155445
28402,1648773,406398
28504,1432318,189943
28604,1320150,77775
28707,520004,0
28809,1575843,333468
28909,1598583,356208
29008,1439838,197463
29108,1564513,322138
29208,1319745,77370
29310,1449812,207437
29416,1389146,146771
29510,1871046,628671
29608,1062672,0
29715,1437423,195048
29814,1362880,120505
29919,1346464,104089
30013,1604409,362034
30113,1404929,162554
30214,1439838,197463
30314,1464773,222398
30420,1484721,242346
30520,1479174,236799
30617,1659267,416892
30717,1444825,202450
30818,1569500,327125
30922,1409916,167541
31018,1256061,13686
31121,933551,0
31170,1369077,126702
31263,1525433,283058
31363,1410624,168249
31466,1224041,0
31565,1341782,99407
31665,1182326,0
31768,1339098,96723
31866,1261347,18972
31967,2752000,1509625
32067,2279742,1037367
32168,1983418,741043
32279,1342399,100024
32368,2265401,1023026
32475,1253165,10790
32580,1087832,0
32675,592792,0
32776,1128426,0
32878,1069119,0
32981,746254,0
33080,1021671,0
33181,931905,0
33280,1057037,0
33375,777308,0
33476,770181,0
33577,721494,0
33678,701728,0
33777,707307,0
33880,671408,0
33980,677505,0
34080,727393,0
34182,732972,0
34282,794113,0
34381,1118200,0
34484,817172,0
34582,1101464,0
34683,1197646,0
34787,648442,0
34889,1035345,0
34984,1037420,0
35086,818493,0
35185,815012,0
35291,680526,0
35388,689227,0
35487,1514665,272290
35587,1196906,0
35700,441548,0
35796,1820206,577831
35901,2339585,1097210
36003,1637761,395386
36096,1648773,406398
36198,1469760,227385
36302,1719719,477344
36391,1205650,0
36497,796861,0
36599,1117572,0
36704,1439838,197463
36800,1620093,377718
36894,1524617,282242
36994,1350072,107697
37097,1385702,143327
37195,1904253,661878
37296,2423143,1180768
37396,1336466,94091
37498,1320850,78475
37600,1180752,0
37698,1289223,46848
37799,1290028,47653
37914,1267337,24962
38014,1064331,0
38107,1114243,0
38207,1316732,74357
38310,1484721,242346
38410,1429864,187489
38513,1366163,123788
38613,1412128,169753
38715,1313632,71257
38814,1346464,104089
38913,1345085,102710
39014,1424877,182502
39119,1484721,242346
39215,1634332,391957
39315,1479734,237359
39420,1335111,92736
39517,1383201,140826
39617,591010,0
39716,1182103,0
39817,1577072,334697
39922,1459786,217411
40019,1540901,298526
40122,1352996,110621
40225,1282332,39957
40325,1317413,75038
40427,1433766,191391
40527,1284664,42289
40631,1317307,74932
40731,1418694,176319
40826,2042577,800202
40929,1561585,319210
41019,1295215,52840
41128,999900,0
41228,1070008,0
41334,1360046,117671
41435,981775,0
41534,1064773,0
41635,882035,0
41731,1186665,0
41836,892009,0
41937,1069447,0
42035,880171,0
42138,1193835,0
42235,981775,0
42339,1307107,64732
42438,1309522,67147
42543,828806,0
42639,894470,0
42745,753292,0
42840,961827,0
42942,946866,0
43041,1294238,51863
43133,797256,0
43234,786698,0
43339,1172852,0
43434,838523,0
43537,887022,0
43636,954713,0
43738,770711,0
43838,747133,0
43939,702844,0
44039,861638,0
44141,789282,0
44241,703245,0
44343,666020,0
44443,787633,0
44544,1222412,0
44645,1291648,49273
44746,1255062,12687
44846,375413,0
44946,1150646,0
45047,1298128,55753
45152,1863734,621359
45255,1039496,0
45357,1706134,463759
45454,1562732,320357
45556,1509656,267281
45655,1926264,683889
45756,1399942,157567
45859,1346464,104089
45960,1333331,90956
46060,1330048,87673
46159,1573035,330660
46259,1511119,268744
46360,1634332,391957
46464,1564895,322520
46559,1577072,334697
46660,677381,0
46761,911844,0
46864,1357335,114960
46963,1379994,137619
47064,1569500,327125
47164,1484721,242346
47264,1706134,463759
47364,1455181,212806
47467,1469760,227385
47573,1405562,163187
47669,1356314,113939
47777,1509656,267281
47866,1770665,528290
47968,1365033,122658
48071,1439838,197463
48171,1713304,470929
48262,737050,0
48368,1122912,0
48474,1539910,297535
48571,1526882,284507
48675,1505371,262996
48772,1749155,506780
48876,1672547,430172
48976,1846598,604223
49077,1534591,292216
49174,1577072,334697
49226,1173399,0
49329,1583922,341547
49440,1514643,272268
49519,976701,0
49621,807101,0
49721,654368,0
49823,735598,0
49923,1020642,0
50026,873457,0
50128,1084044,0
50231,971381,0
50327,787282,0
50426,828340,0
50527,682758,0
50628,769813,0
50731,765777,0
50830,686214,0
50931,237945,0
51033,802626,0
51131,616429,0
51232,769075,0
51335,623885,0
51434,746227,0
51537,748753,0
51638,636023,0
51739,667924,0
51838,834365,0
51939,715760,0
52040,822943,0
52139,1059350,0
52244,1170530,0
52346,1024946,0
52453,1125847,0
52550,1655943,413568
52642,1426500,184125
52741,1358801,116426
52854,1353771,111396
52951,1409916,167541
53058,1418694,176319
53152,1424877,182502
53256,1424877,182502
53351,1647241,404866
53456,1514643,272268
53557,1414903,172528
53654,1439838,197463
53761,672730,0
53853,1232471,0
53958,1689570,447195
54057,1384981,142606
54157,1320150,77775
54257,1434851,192476
54361,1469760,227385
54460,1648773,406398
54551,2539280,1296905
54652,1668767,426392
54752,1441488,199113
54855,1206104,0
54968,1266460,24085
55076,1230926,0
55168,1326478,84103
55266,820518,0
55363,1168725,0
55464,1423297,180922
55569,1663114,420739
55657,1683155,440780
55759,1557163,314788
55868,1679553,437178
55966,2235640,993265
56072,2391652,1149277
56168,2379949,1137574
56269,1360046,117671
56373,1529604,287229
56473,1026658,0
