datetime,cpu,mem
Fri Oct 21 08:14:32 GMT 2022,5.3,1332487
Fri Oct 21 08:14:33 GMT 2022,6,1337406
Fri Oct 21 08:14:35 GMT 2022,6,1340762
Fri Oct 21 08:14:37 GMT 2022,6,1344202
Fri Oct 21 08:14:38 GMT 2022,6,1340370
Fri Oct 21 08:14:40 GMT 2022,44,1332615
Fri Oct 21 08:14:41 GMT 2022,44,1332104
Fri Oct 21 08:14:43 GMT 2022,44,1331560
Fri Oct 21 08:14:44 GMT 2022,44,1328088
Fri Oct 21 08:14:46 GMT 2022,29,1325757
Fri Oct 21 08:14:47 GMT 2022,29,1326293
Fri Oct 21 08:14:49 GMT 2022,29,1325181
Fri Oct 21 08:14:50 GMT 2022,29,1327675
Fri Oct 21 08:14:52 GMT 2022,26,1323699
Fri Oct 21 08:14:53 GMT 2022,26,1323975
Fri Oct 21 08:14:55 GMT 2022,26,1325241
Fri Oct 21 08:14:57 GMT 2022,-15.3,1324998
Fri Oct 21 08:14:58 GMT 2022,-15.3,1323754
Fri Oct 21 08:15:00 GMT 2022,-15.3,1319067
Fri Oct 21 08:15:01 GMT 2022,-15.3,1320561
Fri Oct 21 08:15:03 GMT 2022,30,1320563
Fri Oct 21 08:15:04 GMT 2022,30,1320040
Fri Oct 21 08:15:06 GMT 2022,30,1319156
Fri Oct 21 08:15:08 GMT 2022,30,1321718
Fri Oct 21 08:15:10 GMT 2022,39,1321560
Fri Oct 21 08:15:11 GMT 2022,39,1320304
Fri Oct 21 08:15:13 GMT 2022,39,1318896
Fri Oct 21 08:15:14 GMT 2022,39,1321790
Fri Oct 21 08:15:16 GMT 2022,29,1321908
Fri Oct 21 08:15:18 GMT 2022,29,1320884
Fri Oct 21 08:15:19 GMT 2022,29,1320706
Fri Oct 21 08:15:21 GMT 2022,39,1321008
Fri Oct 21 08:15:22 GMT 2022,39,1322144
Fri Oct 21 08:15:24 GMT 2022,39,1322350
Fri Oct 21 08:15:26 GMT 2022,0,1320212
Fri Oct 21 08:15:28 GMT 2022,0,1321788
Fri Oct 21 08:15:30 GMT 2022,0,1324218
Fri Oct 21 08:15:31 GMT 2022,0,1321628
Fri Oct 21 08:15:33 GMT 2022,0,1320056
Fri Oct 21 08:15:35 GMT 2022,0,1323818
Fri Oct 21 08:15:37 GMT 2022,35,1323076
Fri Oct 21 08:15:38 GMT 2022,35,1323816
Fri Oct 21 08:15:40 GMT 2022,35,1324532
Fri Oct 21 08:15:41 GMT 2022,35,1326218
Fri Oct 21 08:15:43 GMT 2022,26,1323297
Fri Oct 21 08:15:45 GMT 2022,26,1323168
