Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
18,2215211,700522
92,2143510,628821
193,2500459,985770
293,2095582,580893
394,2027320,512631
494,2179360,664671
597,2241247,726558
698,2294082,779393
798,2457525,942836
899,3055407,1540718
1000,2834102,1319413
1102,2837366,1322677
1202,3046594,1531905
1312,4205092,2690403
1404,5486134,3971445
1506,4513558,2998869
1604,2185003,670314
1705,4068178,2553489
1806,2953992,1439303
1906,3587701,2073012
2006,2051632,536943
2111,1766369,251680
2207,2436193,921504
2307,2600925,1086236
2412,2082101,567412
2513,2071298,556609
2616,2398223,883534
2712,2468046,953357
2815,2816523,1301834
2915,2580659,1065970
3021,1913717,399028
3111,2379713,865024
3212,2331615,816926
3313,2106960,592271
3412,2903361,1388672
3513,1664996,150307
3614,1228832,0
3715,1175846,0
3817,1445980,0
3920,1832846,318157
4018,1086953,0
4117,2516355,1001666
4218,2773643,1258954
4320,3140369,1625680
4419,3882299,2367610
4520,2121031,606342
4620,2289175,774486
4721,2256763,742074
4821,2027320,512631
4922,2167283,652594
5022,2064639,549950
5123,1945010,430321
5223,1534052,19363
5325,1295514,0
5425,1469760,0
5525,1554093,39404
5651,1128894,0
5740,1611062,96373
5835,695183,0
5935,1225541,0
6035,1092117,0
6136,1432596,0
6237,1454799,0
6338,1930565,415876
6432,2321000,806311
6540,2291144,776455
6631,2520707,1006018
6733,1806923,292234
6833,1318465,0
6934,1203386,0
7035,1256740,0
7135,1258410,0
7262,1259526,0
7348,1659267,144578
7447,1197231,0
7542,999365,0
7645,1466321,0
7745,1734814,220125
7846,1696003,181314
7947,1404929,0
8048,1564513,49824
8150,1237098,0
8250,355605,0
8351,1307066,0
8449,1609396,94707
8560,1379994,0
8642,2030758,516069
8743,1455181,0
8844,1768315,253626
8948,1068664,0
9046,1734072,219383
9153,1557097,42408
9252,1491031,0
9359,1419330,0
9449,1633258,118569
9552,1199193,0
9650,1818212,303523
9750,1483861,0
9850,1812510,297821
9954,1495135,0
10053,1328965,0
10154,2113361,598672
10254,1682541,167852
10359,1322257,0
10460,1439858,0
10561,1247164,0
10666,1562281,47592
10763,1536831,22142
10864,1747839,233150
10962,1426500,0
11067,1555562,40873
11163,1419330,0
11283,1117898,0
11368,1985768,471079
11466,1605753,91064
11571,1241402,0
11669,1749155,234466
11768,1469521,0
11865,1383480,0
11968,1482392,0
12065,1497026,0
12176,2000108,485419
12265,1595601,80912
12366,758698,0
12468,1228017,0
12567,1183080,0
12668,1251783,0
12768,1278343,0
12820,1257309,0
12919,1477458,0
13027,1479448,0
13119,1889738,375049
13222,1506373,0
13320,1629526,114837
13420,1556311,41622
13523,1421641,0
13622,1541222,26533
13724,1233657,0
13823,1720535,205846
13928,1370108,0
14024,1436277,0
14129,1419010,0
14231,1536315,21626
14330,1462351,0
14428,1397820,0
14526,1546923,32234
14628,1317794,0
14727,1435934,0
14838,1303140,0
14929,1677454,162765
15035,1536021,21332
15135,1419330,0
15236,1526882,12193
15337,2057529,542840
15436,1766432,251743
15537,838116,0
15637,1734814,220125
15741,1412160,0
15838,1562732,48043
15945,1462351,0
16039,1562732,48043
16145,1327588,0
16234,825355,0
16335,1498890,0
16436,1255034,0
16543,1567842,53153
16665,1127941,0
16744,1937154,422465
16842,1691794,177105
16962,1003009,0
17049,1993396,478707
17145,1333432,0
17245,1354799,0
17356,1179830,0
17447,1837582,322893
17570,1070406,0
17652,1772430,257741
17748,1548392,33703
17866,1116984,0
17955,1699496,184807
18050,1792175,277486
18174,1079986,0
18253,1885386,370697
18351,1512542,0
18468,1143400,0
18560,895736,0
18657,1030046,0
18758,1269159,0
18859,1539578,24889
18960,1384981,0
19061,1514643,0
19163,1264384,0
19262,1384981,0
19361,1713304,198615
19462,1500608,0
19566,1565235,50546
19666,1898258,383569
19764,1379994,0
19865,1429864,0
19967,1349747,0
20069,1579474,64785
20167,990229,0
20266,1203948,0
20365,1576267,61578
20468,1440841,0
20560,1455181,0
20661,1471116,0
20762,1399942,0
20862,1370020,0
20964,1366794,0
21069,1153166,0
21166,1269569,0
21266,1233968,0
21368,1250516,0
21466,1514643,0
21566,2109922,595233
21667,2179360,664671
21778,1517242,2553
21873,1010983,0
21976,514715,0
22076,1476752,0
22182,1330124,0
22277,1749155,234466
22370,1346441,0
22471,1466129,0
22573,1363900,0
22673,1618983,104294
22773,1021980,0
22875,815884,0
22976,679507,0
23079,793865,0
23179,638746,0
23279,712887,0
23379,682758,0
23482,703960,0
23581,712887,0
23683,412618,0
23782,979029,0
23882,1561986,47297
23982,1067286,0
24083,716261,0
24185,850640,0
24285,776293,0
24385,972804,0
24488,760093,0
24589,657716,0
24686,1261292,0
24787,1312708,0
24896,1328908,0
25000,1305649,0
25101,1421978,0
25198,1519630,4941
25298,1474747,0
25401,1293933,0
25501,1170414,0
25608,833873,0
25698,1366922,0
25800,1648773,134084
25901,1409916,0
26002,1505491,0
26102,1770665,255976
26202,1633875,119186
26304,1581464,66775
26405,1419890,0
26506,1479454,0
26608,1336614,0
26708,1408845,0
26807,1429864,0
26910,1522051,7362
27000,1307066,0
27102,687745,0
27204,855558,0
27303,1426053,0
27403,1438985,0
27503,1281578,0
27605,1291648,0
27707,1141168,0
27809,1363927,0
27909,1229457,0
28010,1158368,0
28110,1317611,0
28212,1150095,0
28314,1321447,0
28415,1252830,0
28514,1260076,0
28568,1134473,0
28670,1268453,0
28773,587954,0
28873,959142,0
28976,1447270,0
29078,1499682,0
29181,1292312,0
29283,1268342,0
29386,1251942,0
29483,1435110,0
29581,1511012,0
29680,1777835,263146
29782,1429864,0
29887,1499682,0
29986,1477347,0
30086,1706134,191445
30188,1459786,0
30284,1484721,0
30384,924942,0
30481,1267824,0
30587,1399942,0
30687,1559526,44837
30787,1421061,0
30888,1434851,0
30989,1439838,0
31089,1524617,9928
31193,1399942,0
31289,1634433,119744
31396,1512542,0
31484,1433671,0
31585,1446815,0
31684,1520986,6297
31800,1239321,0
31905,1142089,0
31997,412828,0
32096,1080460,0
32200,1516748,2059
32301,1837459,322770
32396,1445546,0
32490,1474747,0
32593,1511012,0
32691,1358691,0
32792,551355,0
32894,1230954,0
32995,1290028,0
33096,1256178,0
33213,1284280,0
33311,1270584,0
33414,1280610,0
33511,1544565,29876
33606,1558309,43620
33705,1352923,0
33805,1412160,0
33907,1564254,49565
34007,1498201,0
34100,1459786,0
34201,1396945,0
34301,1274495,0
34402,275788,0
34502,1277756,0
34604,1211486,0
34704,1275448,0
34806,1264108,0
34905,1264840,0
35008,1297890,0
35110,1304512,0
35208,1567459,52770
35315,1141768,0
35424,1240765,0
35518,1595157,80468
35619,1539578,24889
35719,1335111,0
35822,1353030,0
35923,1339898,0
36024,1437622,0
36124,1485379,0
36228,1200241,0
36329,1305649,0
36427,1326765,0
36528,1274234,0
36630,1499682,0
36726,1619371,104682
36826,827439,0
36925,1372210,0
37032,1459786,0
37134,1489708,0
37228,1569902,55213
37322,1612923,98234
37422,1451168,0
37523,1384981,0
37623,350446,0
37724,1399942,0
37825,1349050,0
37926,1190426,0
38029,1121083,0
38131,1331898,0
38230,1274901,0
38331,1464108,0
38440,1239458,0
38536,1293742,0
38640,1432338,0
38742,1284083,0
38841,1375007,0
38941,1499682,0
39040,1655943,141254
39143,1589448,74759
39242,1720466,205777
39346,1470481,0
39446,1591413,76724
39542,1541222,26533
39648,1335111,0
39749,1549552,34863
39847,1634433,119744
39938,1379994,0
40039,1098908,0
40144,639974,0
40247,974713,0
40350,1362263,0
40454,1359562,0
40552,1334956,0
40650,1464773,0
40749,1634433,119744
40853,1325373,0
40952,1735074,220385
41052,1559526,44837
41155,1330048,0
41256,1412239,0
41356,1261101,0
41460,1412128,0
41559,1514643,0
41657,1020022,0
41749,1107675,0
41850,873491,0
41950,918374,0
42051,911957,0
42151,878478,0
42251,833499,0
42353,769759,0
42455,692467,0
42557,724453,0
42656,589994,0
42757,649289,0
42859,707047,0
42960,725161,0
43061,686214,0
43161,760148,0
43263,696149,0
43363,700148,0
43463,686729,0
43565,697265,0
43665,701728,0
43769,701890,0
43815,723663,0
43915,895533,0
44020,1181991,0
44128,1017503,0
44226,1011697,0
44326,1251196,0
44419,1287046,0
44519,894004,0
44622,702810,0
44720,1233752,0
44822,1264108,0
44924,1278688,0
45022,1312708,0
45123,1172606,0
45224,1257294,0
45325,1219877,0
45426,1130499,0
45548,1265948,0
45649,1011536,0
45736,926981,0
45836,1353467,0
45937,1482976,0
46038,1434851,0
46139,1569500,54811
46239,1686191,171502
46342,1270950,0
46440,1444825,0
46540,1544565,29876
46640,1384981,0
46742,1320150,0
46842,1609396,94707
46945,1349747,0
47047,1379296,0
47148,1499682,0
47245,944986,0
47343,994419,0
47444,1507474,0
47545,1505371,0
47648,1598583,83894
47743,1655943,141254
47851,1486077,0
47947,1641603,126914
48040,1419890,0
48140,1491064,0
48242,1377033,0
48343,1196519,0
48446,1257294,0
48545,1230513,0
48644,1140053,0
48748,1319828,0
48847,856397,0
48952,767999,0
49051,1067382,0
49155,1655943,141254
49256,1419330,0
49361,1379994,0
49457,1630700,116011
49558,1696887,182198
49662,1419890,0
49759,1555562,40873
49860,1559526,44837
49972,1254534,0
50065,1669241,154552
50164,1251251,0
50263,1514643,0
50369,1444825,0
50464,1166403,0
50562,2096860,582171
50664,1240426,0
50764,2172190,657501
50868,1476691,0
50958,2035785,521096
51059,1360046,0
51159,1367183,0
51270,1281754,0
