datetime,cpu,mem
Fri Oct 21 09:02:56 GMT 2022,0,1360966
Fri Oct 21 09:02:57 GMT 2022,6.5,1358379
Fri Oct 21 09:02:59 GMT 2022,6.5,1265420
Fri Oct 21 09:03:01 GMT 2022,6.5,1278287
Fri Oct 21 09:03:03 GMT 2022,49,1274103
Fri Oct 21 09:03:04 GMT 2022,49,1278094
Fri Oct 21 09:03:06 GMT 2022,49,1277968
Fri Oct 21 09:03:07 GMT 2022,49,1279282
Fri Oct 21 09:03:09 GMT 2022,0,1277885
Fri Oct 21 09:03:11 GMT 2022,0,1276985
Fri Oct 21 09:03:13 GMT 2022,0,1278489
Fri Oct 21 09:03:14 GMT 2022,0,1280979
Fri Oct 21 09:03:16 GMT 2022,0,1278565
Fri Oct 21 09:03:18 GMT 2022,0,1277965
Fri Oct 21 09:03:20 GMT 2022,0,1277991
Fri Oct 21 09:03:21 GMT 2022,37,1277594
Fri Oct 21 09:03:23 GMT 2022,37,1278762
Fri Oct 21 09:03:24 GMT 2022,37,1277746
Fri Oct 21 09:03:26 GMT 2022,37,1280388
Fri Oct 21 09:03:27 GMT 2022,28,1277870
Fri Oct 21 09:03:29 GMT 2022,28,1277879
Fri Oct 21 09:03:31 GMT 2022,28,1268562
Fri Oct 21 09:03:33 GMT 2022,45,1266224
Fri Oct 21 09:03:34 GMT 2022,45,1266068
Fri Oct 21 09:03:36 GMT 2022,45,1265746
Fri Oct 21 09:03:38 GMT 2022,0,1263728
Fri Oct 21 09:03:40 GMT 2022,0,1263352
Fri Oct 21 09:03:42 GMT 2022,0,1265234
Fri Oct 21 09:03:43 GMT 2022,0,1265272
Fri Oct 21 09:03:45 GMT 2022,0,1264180
Fri Oct 21 09:03:47 GMT 2022,0,1265250
Fri Oct 21 09:03:49 GMT 2022,0,1264472
Fri Oct 21 09:03:50 GMT 2022,0,1265804
Fri Oct 21 09:03:52 GMT 2022,0,1264876
Fri Oct 21 09:03:54 GMT 2022,0,1266422
Fri Oct 21 09:03:56 GMT 2022,31,1265108
Fri Oct 21 09:03:58 GMT 2022,31,1265392
Fri Oct 21 09:04:00 GMT 2022,31,1267046
Fri Oct 21 09:04:01 GMT 2022,0,1262560
Fri Oct 21 09:04:03 GMT 2022,0,1263696
Fri Oct 21 09:04:04 GMT 2022,0,1267550
Fri Oct 21 09:04:06 GMT 2022,0,1267804
Fri Oct 21 09:04:08 GMT 2022,0,1266367
