datetime,cpu,mem
Fri Oct 21 08:31:38 GMT 2022,3.8,1245161
Fri Oct 21 08:31:39 GMT 2022,24,1244985
Fri Oct 21 08:31:41 GMT 2022,24,1295174
Fri Oct 21 08:31:42 GMT 2022,24,1315797
Fri Oct 21 08:31:44 GMT 2022,24,1302244
Fri Oct 21 08:31:45 GMT 2022,39,1303269
Fri Oct 21 08:31:47 GMT 2022,39,1302125
Fri Oct 21 08:31:48 GMT 2022,39,1301392
Fri Oct 21 08:31:50 GMT 2022,39,1302487
Fri Oct 21 08:31:52 GMT 2022,28,1300961
Fri Oct 21 08:31:53 GMT 2022,28,1300789
Fri Oct 21 08:31:55 GMT 2022,28,1302045
Fri Oct 21 08:31:56 GMT 2022,28,1232247
Fri Oct 21 08:31:58 GMT 2022,27,1230784
Fri Oct 21 08:31:59 GMT 2022,27,1230912
Fri Oct 21 08:32:01 GMT 2022,27,1232160
Fri Oct 21 08:32:02 GMT 2022,27,1232331
Fri Oct 21 08:32:04 GMT 2022,29,1230616
Fri Oct 21 08:32:06 GMT 2022,29,1231824
Fri Oct 21 08:32:07 GMT 2022,29,1234367
Fri Oct 21 08:32:09 GMT 2022,-15.3,1231844
Fri Oct 21 08:32:11 GMT 2022,-15.3,1231460
Fri Oct 21 08:32:12 GMT 2022,-15.3,1232484
Fri Oct 21 08:32:14 GMT 2022,-15.3,1235027
Fri Oct 21 08:32:15 GMT 2022,0,1232676
Fri Oct 21 08:32:18 GMT 2022,0,1232224
Fri Oct 21 08:32:19 GMT 2022,0,1234011
Fri Oct 21 08:32:21 GMT 2022,0,1233800
Fri Oct 21 08:32:22 GMT 2022,0,1232696
Fri Oct 21 08:32:24 GMT 2022,0,1231480
Fri Oct 21 08:32:26 GMT 2022,0,1234385
Fri Oct 21 08:32:28 GMT 2022,0,1234606
Fri Oct 21 08:32:29 GMT 2022,0,1233278
Fri Oct 21 08:32:31 GMT 2022,0,1232390
Fri Oct 21 08:32:32 GMT 2022,0,1234777
Fri Oct 21 08:32:34 GMT 2022,0,1236426
Fri Oct 21 08:32:36 GMT 2022,0,1234202
Fri Oct 21 08:32:38 GMT 2022,0,1231745
Fri Oct 21 08:32:40 GMT 2022,39,1232398
Fri Oct 21 08:32:41 GMT 2022,39,1237018
Fri Oct 21 08:32:43 GMT 2022,39,1237845
Fri Oct 21 08:32:45 GMT 2022,0,1235426
Fri Oct 21 08:32:47 GMT 2022,0,1233406
Fri Oct 21 08:32:48 GMT 2022,0,1234474
Fri Oct 21 08:32:50 GMT 2022,0,1237089
