datetime,cpu,mem
Fri Oct 21 07:34:40 GMT 2022,21,1325698
Fri Oct 21 07:34:42 GMT 2022,21,1327411
Fri Oct 21 07:34:43 GMT 2022,21,1290859
Fri Oct 21 07:34:45 GMT 2022,21,1337459
Fri Oct 21 07:34:46 GMT 2022,49,1349321
Fri Oct 21 07:34:48 GMT 2022,49,1373888
Fri Oct 21 07:34:50 GMT 2022,49,1416521
Fri Oct 21 07:34:52 GMT 2022,59,1419128
Fri Oct 21 07:34:54 GMT 2022,59,1416808
Fri Oct 21 07:34:55 GMT 2022,59,1417835
Fri Oct 21 07:34:57 GMT 2022,59,1418397
Fri Oct 21 07:34:58 GMT 2022,37,1412407
Fri Oct 21 07:35:00 GMT 2022,37,1387725
Fri Oct 21 07:35:01 GMT 2022,37,1389945
Fri Oct 21 07:35:03 GMT 2022,37,1389408
Fri Oct 21 07:35:04 GMT 2022,33,1389716
Fri Oct 21 07:35:06 GMT 2022,33,1387252
Fri Oct 21 07:35:07 GMT 2022,33,1388799
Fri Oct 21 07:35:09 GMT 2022,33,1389328
Fri Oct 21 07:35:10 GMT 2022,33,1388790
Fri Oct 21 07:35:12 GMT 2022,33,1388398
Fri Oct 21 07:35:13 GMT 2022,33,1390235
Fri Oct 21 07:35:15 GMT 2022,33,1390981
Fri Oct 21 07:35:16 GMT 2022,33,1390223
Fri Oct 21 07:35:18 GMT 2022,33,1390456
Fri Oct 21 07:35:19 GMT 2022,33,1390360
Fri Oct 21 07:35:21 GMT 2022,33,1392094
Fri Oct 21 07:35:22 GMT 2022,33,1390612
Fri Oct 21 07:35:24 GMT 2022,33,1391628
Fri Oct 21 07:35:25 GMT 2022,33,1391492
Fri Oct 21 07:35:27 GMT 2022,33,1392314
Fri Oct 21 07:35:28 GMT 2022,32,1392280
Fri Oct 21 07:35:30 GMT 2022,32,1393800
Fri Oct 21 07:35:31 GMT 2022,32,1392120
Fri Oct 21 07:35:33 GMT 2022,32,1394102
Fri Oct 21 07:35:34 GMT 2022,33,1392780
Fri Oct 21 07:35:36 GMT 2022,33,1393748
Fri Oct 21 07:35:37 GMT 2022,33,1393116
Fri Oct 21 07:35:39 GMT 2022,33,1394102
Fri Oct 21 07:35:40 GMT 2022,32,1393164
Fri Oct 21 07:35:42 GMT 2022,32,1394804
Fri Oct 21 07:35:43 GMT 2022,32,1393284
Fri Oct 21 07:35:45 GMT 2022,32,1395358
Fri Oct 21 07:35:46 GMT 2022,33,1393978
Fri Oct 21 07:35:48 GMT 2022,33,1395782
Fri Oct 21 07:35:49 GMT 2022,33,1395458
Fri Oct 21 07:35:51 GMT 2022,33,1397676
Fri Oct 21 07:35:52 GMT 2022,33,1396707
Fri Oct 21 07:35:54 GMT 2022,33,1381219
