Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
68,2315592,859830
169,2558113,1102351
270,2380123,924361
370,2229551,773789
471,2279742,823980
564,2437484,981722
665,3104302,1648540
765,3178887,1723125
865,1824087,368325
966,1991469,535707
1066,2048656,592894
1168,2044049,588287
1269,3740211,2284449
1370,4512557,3056795
1467,4380645,2924883
1568,3525434,2069672
1668,3525521,2069759
1769,3354908,1899146
1870,3592315,2136553
1976,3053764,1598002
2077,3298048,1842286
2180,1686887,231125
2278,3138097,1682335
2380,2865633,1409871
2484,2396726,940964
2574,2887731,1431969
2675,3089788,1634026
2778,3531516,2075754
2875,3767542,2311780
2978,3668543,2212781
3078,3004868,1549106
3177,3223997,1768235
3280,4054226,2598464
3378,5593305,4137543
3479,4447413,2991651
3578,3800952,2345190
3680,3532116,2076354
3779,3673421,2217659
3880,3348960,1893198
3987,3772378,2316616
4096,5182395,3726633
4182,5680032,4224270
4283,3877685,2421923
4388,2962677,1506915
4489,3228029,1772267
4594,3545334,2089572
4684,3270513,1814751
4785,3025172,1569410
4887,2771333,1315571
4992,3247294,1791532
5093,3802496,2346734
5191,3451149,1995387
5295,3018706,1562944
5392,1914622,458860
5494,2413518,957756
5594,2912005,1456243
5689,3042709,1586947
5795,3274133,1818371
5893,2225474,769712
5991,3454158,1998396
6092,2298314,842552
6192,2976566,1520804
6293,3836549,2380787
6392,3409934,1954172
6494,3930611,2474849
6598,2329822,874060
6702,2034976,579214
6799,2809908,1354146
6899,2830413,1374651
6998,4164152,2708390
7100,2753236,1297474
7202,1917823,462061
7298,3684239,2228477
7403,3572534,2116772
7497,4773618,3317856
7598,2847540,1391778
7699,2852079,1396317
7799,3001334,1545572
7908,2465839,1010077
8005,2633205,1177443
8108,941329,0
8201,3845726,2389964
8301,2789648,1333886
8405,3104392,1648630
8504,3950519,2494757
8605,5318563,3862801
8707,2782016,1326254
8813,2724237,1268475
8907,3167169,1711407
9012,2774432,1318670
9107,4816267,3360505
9216,4906308,3450546
9309,3022830,1567068
9413,2753610,1297848
9512,2720309,1264547
9611,2037036,581274
9713,1562260,106498
9814,2426196,970434
9914,1625106,169344
10024,1663534,207772
10116,3186267,1730505
10218,2285946,830184
10320,2692658,1236896
10416,2643440,1187678
10514,2104779,649017
10614,2711600,1255838
10715,2401161,945399
10815,2659020,1203258
10917,2617260,1161498
11016,2244322,788560
11117,2899242,1443480
11216,3895320,2439558
11318,3046793,1591031
11417,1831021,375259
11522,2986353,1530591
11624,1616463,160701
11727,2866316,1410554
11824,2888480,1432718
11925,1537647,81885
12025,2991844,1536082
12121,3323644,1867882
12221,2267563,811801
12323,1898443,442681
12422,1749214,293452
12523,1034456,0
12623,1361767,0
12727,1081305,0
12824,1411323,0
12925,1487386,31624
13025,1403529,0
13127,2315963,860201
13225,2928694,1472932
13326,2647155,1191393
13426,887588,0
13526,1303814,0
13628,1513109,57347
13727,1699713,243951
13829,1301587,0
13929,1341912,0
14030,1539263,83501
14151,1160264,0
14244,1809439,353677
14339,2093319,637557
14432,2127701,671939
14533,1623693,167931
14634,1605131,149369
14740,2437484,981722
14839,1989489,533727
14956,1161266,0
15045,1589421,133659
15150,1749033,293271
15243,2851119,1395357
15345,2011217,555455
15449,2000108,544346
15545,2014448,558686
15651,1813685,357923
15746,2043129,587367
15848,1892557,436795
15946,1785005,329243
16052,1382579,0
16150,1672621,216859
16247,1627270,171508
16344,1835196,379434
16451,2117887,662125
16544,1997758,541996
16654,1810867,355105
16751,1933726,477964
16857,1481090,25328
16955,1584461,128699
17056,1788929,333167
17155,1799345,343583
17256,2035958,580196
17358,1928407,472645
17459,1770665,314903
17549,1928407,472645
17660,1135932,0
17755,1506217,50455
17859,1818632,362870
17959,1846264,390502
18059,1584461,128699
18166,1609396,153634
18261,1929876,474114
18353,568518,0
18454,1624358,168596
18554,1524617,68855
18655,1639192,183430
18756,1848362,392600
18856,3592990,2137228
18957,1595549,139787
19058,1625713,169951
19158,1487718,31956
19265,1379537,0
19310,1383136,0
19418,1747007,291245
19519,1669241,213479
19619,1773968,318206
19719,2122225,666463
19820,1694176,238414
19920,1729085,273323
20019,1873410,417648
20125,1226373,0
20222,1754020,298258
20322,1831954,376192
20422,1624358,168596
20522,2134822,679060
20615,1485562,29800
20721,1192204,0
20825,1443160,0
20927,2077651,621889
21026,1574487,118725
21127,1685608,229846
21226,1654280,198518
21328,1360046,0
21427,2062343,606581
21532,1667007,211245
21620,1906897,451135
21730,1604409,148647
21830,1848627,392865
21930,1784579,328817
22031,1828481,372719
22131,1602989,147227
22229,1326467,0
22339,1313704,0
