Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,1963082,198630
118,2442891,678439
218,2238984,474532
318,2143510,379058
420,2064639,300187
513,2243891,479439
613,2181330,416878
714,1935577,171125
814,1800901,36449
914,2661225,896773
1015,2310685,546233
1065,3202867,1438415
1165,2830196,1065744
1270,4799448,3034996
1367,5207208,3442756
1469,5086959,3322507
1570,4906151,3141699
1668,3975675,2211223
1768,3766478,2002026
1868,3484091,1719639
1972,2629514,865062
2088,2326413,561961
2180,2671837,907385
2279,3476636,1712184
2377,2698675,934223
2479,2628456,864004
2577,1842366,77914
2698,1545146,0
2787,3381981,1617529
2879,1759633,0
2985,1451258,0
3076,2745450,980998
3176,2059639,295187
3278,2070894,306442
3376,1911087,146635
3499,1094152,0
3584,1849536,85084
3682,1283159,0
3779,1460461,0
3879,1491031,0
3982,1192165,0
4080,2129488,365036
4182,2377720,613268
4284,3443139,1678687
4385,3283881,1519429
4485,2381712,617260
4585,1733346,0
4686,2325025,560573
4786,1906897,142445
4887,2285443,520991
4987,2403896,639444
5094,1634433,0
5195,2100489,336037
5294,1462351,0
5399,1498201,0
5490,1462351,0
5598,528998,0
5698,1814313,49861
5796,1476370,0
5901,1448011,0
5995,1376310,0
6103,1377094,0
6200,1703784,0
6301,1569902,0
6409,2129170,364718
6496,2379742,615290
6596,1747893,0
6708,1340098,0
6808,1310349,0
6909,1342514,0
7013,1378771,0
7109,1188872,0
7207,1114557,0
7308,1684624,0
7414,1384981,0
7510,1612923,0
7603,1449812,0
7703,1848067,83615
7804,1371376,0
7904,1226373,0
8005,1701227,0
8105,1582774,0
8205,1677454,0
8306,1443104,0
8408,1211543,0
8509,1252830,0
8609,1147864,0
8710,560184,0
8813,1171565,0
8910,1508828,0
9011,1569902,0
9112,1335832,0
9212,1740145,0
9316,1876661,112209
9417,1591413,0
9524,1376310,0
9620,1749155,0
9719,1899727,135275
9830,1390650,0
9915,1534052,0
10016,1249217,0
10116,1848067,83615
10217,1115923,0
10323,2437484,673032
10422,2315305,550853
10527,2437257,672805
10623,2123501,359049
10730,1361970,0
10819,1605753,0
10941,1199269,0
11027,1899727,135275
11126,1448011,0
11251,1140200,0
11330,1949917,185465
11422,1476691,0
11526,1222151,0
11625,1363089,0
11724,1301967,0
11831,1324998,0
11927,1078359,0
12027,1439414,0
12127,1726177,0
12236,2279742,515290
12332,1985681,221229
12441,1390650,0
12529,1677454,0
12631,1488094,0
12731,1396351,0
12831,1369140,0
12940,1290911,0
13037,1794438,29986
13160,1104127,0
13244,1196139,0
13342,1517416,0
13442,1418525,0
13547,1498201,0
13636,1598583,0
13736,1514511,0
13837,1668815,0
13938,1125356,0
14038,645308,0
14148,1409516,0
14240,1666022,0
14341,1297499,0
14443,1275193,0
14557,1307066,0
14650,1914067,149615
14749,1311840,0
14852,1635988,0
14950,1634882,0
15047,1218568,0
15145,1740516,0
15251,1191294,0
15348,1335950,0
15448,1515686,0
15548,1998258,233806
15678,1095662,0
15757,1849536,85084
15856,1491031,0
15961,981541,0
16051,868288,0
16154,1172847,0
16278,1198679,0
16362,2315592,551140
16407,1598930,0
16509,731349,0
16612,1630201,0
16714,2301252,536800
16810,1505371,0
16913,1534052,0
17011,1584242,0
17117,1354799,0
17215,1663114,0
17321,1383480,0
17408,1592850,0
17520,1125417,0
17609,1620093,0
17724,1332114,0
17810,1462351,0
17910,1767662,3210
18015,1119911,0
18116,536288,0
18241,1110604,0
18320,1734072,0
18418,1634433,0
18514,1306956,0
18615,1371403,0
18715,1742715,0
18815,1569902,0
18918,1295970,0
19017,1807204,42752
19118,1400144,0
19220,1203078,0
19319,1129995,0
19421,1262873,0
19521,1239026,0
19625,1738427,0
19733,991346,0
19828,1713304,0
19937,1339898,0
20034,1649293,0
20130,1023970,0
20225,762834,0
20326,803013,0
20427,713965,0
20528,630935,0
20629,716234,0
20729,674021,0
20831,747479,0
20932,705026,0
21032,688359,0
21132,767959,0
21234,678295,0
21337,754290,0
21435,703910,0
21537,1072235,0
21640,1703907,0
21736,1704351,0
21846,1573850,0
21937,1264860,0
22039,887022,0
22139,985017,0
22240,1481164,0
22338,1436207,0
22438,319168,0
22539,1400015,0
22651,1324179,0
22759,1328569,0
22848,1713304,0
22953,1454799,0
23052,1569902,0
23144,1521620,0
23243,1862407,97955
23345,1344398,0
23445,1325137,0
23545,1295215,0
23645,1506025,0
23746,1520352,0
23846,1496051,0
23947,1901678,137226
24055,2228655,464203
24162,1389146,0
24260,1349747,0
24360,1599422,0
24458,1469760,0
24558,1549552,0
24658,1562732,0
24761,1228762,0
24857,759245,0
24959,1284135,0
25053,1381383,0
25153,1257818,0
25255,1198393,0
25359,1352058,0
25457,1219586,0
25559,2210922,446470
25659,1242222,0
25761,1240556,0
25861,1272208,0
25963,1270684,0
26064,1235710,0
26163,1140950,0
26286,1275148,0
26374,635436,0
26473,1147215,0
26573,1657412,0
26674,1529604,0
26779,1375007,0
26875,1727644,0
26976,1449812,0
27077,1489708,0
27178,1484721,0
27278,1494695,0
27376,1749155,0
27480,1512542,0
27571,1534052,0
27671,1540934,0
27773,1379994,0
27873,1449178,0
27977,745689,0
28080,1124909,0
28173,1816301,51849
28274,1342088,0
28375,1511012,0
28478,1198393,0
28575,294628,0
28678,1280308,0
28779,1127778,0
28880,1344392,0
28979,1142284,0
29082,1252830,0
29180,1258410,0
29284,1234839,0
29384,1245570,0
29485,1211486,0
29587,1338308,0
29686,1170273,0
29787,1326281,0
29910,1191763,0
30001,1397739,0
30096,1474747,0
30196,1489708,0
30297,329142,0
30397,1509656,0
30498,1360046,0
30603,1479734,0
30698,1670284,0
30798,1655623,0
30898,1534052,0
31000,1429864,0
31101,1772550,8098
31200,1334177,0
31303,1745177,0
31401,1774897,10445
31502,1785005,20553
31604,1519630,0
31705,1512201,0
31806,1359597,0
31906,1389968,0
32007,1449812,0
32112,1419890,0
32212,1454799,0
32310,1478490,0
32409,1404085,0
32510,1519630,0
32611,1091494,0
32713,1003813,0
32813,1521814,0
32913,1677454,0
33015,1409916,0
33116,1360046,0
33215,1093454,0
33322,887022,0
33417,1215171,0
33518,892009,0
33618,911957,0
33718,996736,0
33821,916944,0
33929,936892,0
34023,1021753,0
34115,1011697,0
34215,928990,0
34265,968244,0
34366,924791,0
34467,786124,0
34567,1505371,0
34667,738519,0
34768,1273313,0
34868,868504,0
34969,716755,0
35070,777705,0
35171,731807,0
35270,709873,0
35372,719593,0
35475,711771,0
35574,180641,0
35676,843590,0
35775,739033,0
35875,672222,0
35976,697265,0
36077,693917,0
36178,894413,0
36278,1053695,0
36397,1203386,0
36491,1354613,0
36590,1385582,0
36689,1333142,0
36788,1655138,0
36893,1439838,0
36989,1612923,0
37082,1261101,0
37183,1383599,0
37285,1269700,0
37386,1190426,0
37486,1243548,0
37588,1237295,0
37689,1301368,0
37790,1170986,0
37888,1339532,0
37990,1084554,0
38091,1379419,0
38191,1458093,0
38293,1062520,0
38392,1519084,0
38492,1459786,0
38593,1466129,0
38701,1449812,0
38802,1409916,0
38906,1549552,0
39003,1379994,0
39103,1494695,0
39203,1544565,0
39306,1444825,0
39404,1444825,0
39505,1444825,0
39610,1589448,0
39706,1302478,0
39808,754242,0
39906,1043989,0
40008,1534591,0
40108,1434851,0
40212,1489708,0
40313,1379994,0
40408,1648773,0
40514,1464773,0
40611,1634433,0
40703,1429864,0
40804,1353223,0
40906,1242160,0
41007,1304608,0
41105,1904264,139812
41208,1431220,0
41310,987300,0
41413,872340,0
41516,1721943,0
41618,1325137,0
41718,1454799,0
41818,1484721,0
41921,1359597,0
42024,1474747,0
42119,1663114,0
42212,1464773,0
42314,1367183,0
42415,1304512,0
42515,1180706,0
42615,1394334,0
42717,1130010,0
42820,1281278,0
42918,571141,0
43023,1199999,0
43126,1410045,0
43226,1100624,0
43326,885521,0
43426,1208175,0
43528,911957,0
43633,916944,0
43729,962502,0
43830,911957,0
43930,951245,0
44031,931905,0
44132,1016684,0
44235,818956,0
44332,1566680,0
44438,931905,0
44534,1056580,0
44633,1100624,0
44735,1215345,0
44837,926918,0
44946,961039,0
45035,981270,0
45135,1102291,0
45243,1066555,0
45343,832165,0
45438,1320594,0
45545,892009,0
45640,985017,0
45741,1018789,0
45841,1041619,0
45942,1006710,0
46046,906970,0
46147,1026658,0
46244,1679215,0
46353,1449812,0
46444,1715467,0
46545,1414903,0
46649,1444825,0
46745,1684624,0
46848,892094,0
46944,1015301,0
47048,1600051,0
47146,1584242,0
47248,1439838,0
47348,1389968,0
47449,1524617,0
47553,1618064,0
47653,1849536,85084
47742,1932933,168481
47844,1401932,0
47944,1267667,0
48046,1307857,0
48146,1152327,0
48249,1260642,0
48349,1215441,0
48449,885411,0
48554,1015355,0
48656,1370328,0
48758,1444556,0
48859,1474747,0
48960,1429864,0
49061,1379994,0
49161,1564513,0
49263,1300499,0
49366,1270950,0
49463,1444825,0
49566,1720474,0
49664,1539263,0
49764,1414903,0
49871,1336614,0
49965,1245718,0
50068,967962,0
50166,1235056,0
50272,448459,0
50367,1236856,0
50472,777308,0
50569,1100624,0
50670,997524,0
50770,1056580,0
50870,1195372,0
50971,1457150,0
51075,1026658,0
51122,1182021,0
51231,840857,0
51330,1308556,0
51417,1136474,0
51520,914817,0
51618,833595,0
51718,832165,0
51819,908400,0
51920,878834,0
52022,686444,0
52119,669835,0
52225,982302,0
52327,1031802,0
52432,1007413,0
52522,857100,0
52626,938964,0
52724,769708,0
52827,683102,0
52926,826183,0
53027,647673,0
53127,798643,0
53225,1306318,0
53328,1259526,0
53427,1138937,0
53527,3081323,1316871
53635,1954617,190165
53735,1710627,0
53835,1455181,0
53937,1807956,43504
54039,2031016,266564
54138,1533638,0
54245,1516748,0
54339,2069165,304713
54439,1663114,0
54533,1384981,0
54633,1526607,0
54733,1230384,0
54834,1367716,0
54935,2163551,399099
55036,1391805,0
55136,2237054,472602
55236,2382967,618515
55337,1705766,0
55438,1380316,0
55538,354585,0
55642,1093762,0
55752,1429143,0
55847,1562732,0
55947,1620093,0
56053,1469760,0
56148,1785005,20553
56247,866815,0
56354,902276,0
56449,1401768,0
56544,892009,0
56645,888452,0
56745,968244,0
56847,696738,0
56948,756758,0
57048,763003,0
57148,690847,0
57252,676063,0
57351,681149,0
57453,407576,0
57550,1121507,0
57651,1198996,0
57753,892009,0
57856,809579,0
57955,811118,0
58064,792965,0
58172,991749,0
58255,1251196,0
58355,1168168,0
58456,558193,0
58556,1192761,0
58656,1085210,0
58762,1149740,0
58863,1229685,0
58966,1301386,0
59063,1294216,0
59166,1663093,0
59264,1435470,0
59368,985902,0
59460,1165155,0
59560,993351,0
59666,1229899,0
59768,1150814,0
59863,1235782,0
59963,1128230,0
60063,1092380,0
60164,1214271,0
60264,1207101,0
60365,1149740,0
60465,1128697,0
60566,1129304,0
60665,1149740,0
60766,1301854,0
60866,1365917,0
60967,1230551,0
61073,1307482,0
61175,802911,0
61274,1179097,0
61374,1713304,0
61475,1828026,63574
61575,2032520,268068
61676,1189440,0
61777,1785005,20553
61880,1856706,92254
61970,1569902,0
62071,1641603,0
62176,1883036,118584
62279,623798,0
62373,1762026,0
62472,1698964,0
62573,1629526,0
62673,1711835,0
62775,1340459,0
62877,1304044,0
62976,1276496,0
63077,1423390,0
63179,1049975,0
63283,1344948,0
63391,1333331,0
63485,1459786,0
63588,1336614,0
63691,1534591,0
63790,1406459,0
63881,1365033,0
63980,1685557,0
64081,1578554,0
64197,966814,0
64293,1214078,0
64385,1229685,0
64486,730713,0
64586,783514,0
64688,791159,0
64790,666939,0
64887,583479,0
64991,1009909,0
65099,300857,0
65194,1236856,0
65296,892009,0
65398,961827,0
65498,996736,0
65598,971801,0
65698,961827,0
65805,906970,0
65904,1071542,0
66001,1107794,0
66095,1100624,0
66195,848556,0
66296,838582,0
66398,721213,0
66497,1269963,0
66598,1442173,0
66699,988192,0
66801,803013,0
66902,783704,0
67001,973739,0
67105,682234,0
67208,1287325,0
67302,828806,0
67408,801987,0
67515,847328,0
67614,934715,0
67714,855072,0
67814,792691,0
67913,895567,0
68017,420338,0
68118,1052596,0
68218,1365917,0
68316,1070874,0
68420,1484721,0
68520,1505491,0
68616,1663114,0
68728,1365695,0
68817,1777835,13383
68922,1779598,15146
69018,1461756,0
69121,1819381,54929
69212,1543485,0
69313,1293933,0
69416,1227716,0
69516,1249483,0
69618,1233098,0
69716,1263326,0
69840,1270905,0
69932,1458607,0
70032,1295101,0
70129,1428544,0
70231,1434851,0
70332,1564513,0
70428,1331994,0
70526,681069,0
70627,1300037,0
70733,1399942,0
70829,1918752,154300
70932,1555346,0
71045,1261347,0
71134,1405562,0
71233,843333,0
71337,534341,0
71434,911957,0
71535,946866,0
71638,1041619,0
71685,1327183,0
,,
,,
