datetime,cpu,mem
Fri Oct 21 07:46:02 GMT 2022,31,1285161
Fri Oct 21 07:46:04 GMT 2022,5.2,1285557
Fri Oct 21 07:46:05 GMT 2022,5.2,1266760
Fri Oct 21 07:46:07 GMT 2022,5.2,1335276
Fri Oct 21 07:46:09 GMT 2022,5.2,1358721
Fri Oct 21 07:46:10 GMT 2022,48,1381608
Fri Oct 21 07:46:12 GMT 2022,48,1385750
Fri Oct 21 07:46:14 GMT 2022,48,1393419
Fri Oct 21 07:46:16 GMT 2022,53,1376364
Fri Oct 21 07:46:18 GMT 2022,53,1380056
Fri Oct 21 07:46:20 GMT 2022,53,1388910
Fri Oct 21 07:46:22 GMT 2022,0.1,1382212
Fri Oct 21 07:46:24 GMT 2022,0.1,1388738
Fri Oct 21 07:46:26 GMT 2022,0.1,1394051
Fri Oct 21 07:46:29 GMT 2022,0.1,1392695
Fri Oct 21 07:46:32 GMT 2022,0.1,1404897
Fri Oct 21 07:46:34 GMT 2022,59,1400524
Fri Oct 21 07:46:37 GMT 2022,59,1403685
Fri Oct 21 07:46:40 GMT 2022,61,1399689
Fri Oct 21 07:46:43 GMT 2022,61,1408897
Fri Oct 21 07:46:45 GMT 2022,59,1365771
Fri Oct 21 07:46:48 GMT 2022,59,1374203
Fri Oct 21 07:46:51 GMT 2022,59,1372296
Fri Oct 21 07:46:54 GMT 2022,59,1383880
Fri Oct 21 07:46:56 GMT 2022,58,1373786
Fri Oct 21 07:46:59 GMT 2022,58,1385916
Fri Oct 21 07:47:02 GMT 2022,58,1384960
Fri Oct 21 07:47:05 GMT 2022,58,1391330
Fri Oct 21 07:47:08 GMT 2022,58,1389664
Fri Oct 21 07:47:11 GMT 2022,58,1401054
Fri Oct 21 07:47:13 GMT 2022,0.1,1394958
Fri Oct 21 07:47:16 GMT 2022,0.1,1389634
