Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
61,2174453,616742
161,2475804,918093
261,2215211,657500
368,2334165,776454
469,2633339,1075628
570,2702570,1144859
670,2152323,594612
770,1534052,0
873,2413036,855325
964,1859056,301345
1065,2623558,1065847
1167,2217126,659415
1270,4073680,2515969
1367,4304712,2747001
1466,3517677,1959966
1567,2993466,1435755
1667,2857234,1299523
1767,2561291,1003580
1868,2458646,900935
1969,2417241,859530
2068,1546923,0
2168,1329939,0
2269,2724788,1167077
2369,1631669,73958
2473,1179004,0
2570,1871046,313335
2676,1503903,0
2780,1440841,0
2877,1548392,0
2979,1906897,349186
3077,3119437,1561726
3177,2871454,1313743
3286,2702777,1145066
3378,2685793,1128082
3481,3736011,2178300
3580,3588290,2030579
3678,4767243,3209532
3783,5748817,4191106
3879,5736710,4178999
3980,4431587,2873876
4085,5093085,3535374
4183,5713418,4155707
4282,4507207,2949496
4383,3240571,1682860
4485,3396872,1839161
4584,2471092,913381
4685,2047529,489818
4786,3062095,1504384
4886,2385469,827758
4992,1595409,37698
5087,1825543,267832
5197,1599387,41676
5299,1906052,348341
5393,2838722,1281011
5498,3063345,1505634
5595,2562592,1004881
5704,1958990,401279
5799,3101410,1543699
5898,2024730,467019
6002,2603578,1045867
6093,2781422,1223711
6195,1814804,257093
6294,2115427,557716
6395,2781987,1224276
6496,2755364,1197653
6599,2659530,1101819
6704,2078630,520919
6796,2214760,657049
6896,3492028,1934317
7002,3074869,1517158
7100,2122737,565026
7199,4480376,2922665
7300,3822554,2264843
7401,3370569,1812858
7506,3047212,1489501
7602,4210553,2652842
7703,3442606,1884895
7802,2313578,755867
7902,3555620,1997909
8004,3380754,1823043
8103,3204695,1646984
8204,2402994,845283
8310,2146818,589107
8415,2672582,1114871
8507,4741425,3183714
8605,3891988,2334277
8709,3317250,1759539
8808,2938092,1380381
8909,2888886,1331175
9010,2928116,1370405
9110,3266137,1708426
9217,2767455,1209744
9321,2918526,1360815
9419,3089467,1531756
9512,3158922,1601211
9623,2713784,1156073
9715,3261333,1703622
9814,2218123,660412
9917,2820507,1262796
10022,2519267,961556
10117,3466139,1908428
10217,3716329,2158618
10319,3013302,1455591
10420,2998034,1440323
10520,2672331,1114620
10625,3022264,1464553
10726,2805779,1248068
10830,2807962,1250251
10927,2924972,1367261
11031,2593793,1036082
11122,3115749,1558038
11227,3563151,2005440
11329,3691391,2133680
11422,3495095,1937384
11526,2249961,692250
11633,2677194,1119483
11726,3650295,2092584
11833,2983029,1425318
11927,2960325,1402614
12027,3505157,1947446
12128,3593637,2035926
12228,1732612,174901
12330,2225620,667909
12431,1275339,0
12532,1807521,249810
12631,1822724,265013
12728,2200015,642304
12830,2198640,640929
12931,2357036,799325
13031,3145251,1587540
13132,1884741,327030
13240,2908741,1351030
13335,2529411,971700
13435,2592426,1034715
13536,2711860,1154149
13634,2528541,970830
13737,2473326,915615
13835,2909487,1351776
13945,2508488,950777
14037,2518077,960366
14138,1995357,437646
14238,1997973,440262
14338,2347159,789448
14439,2281415,723704
14539,2133528,575817
14639,2310165,752454
14740,1837684,279973
14840,2403585,845874
14941,2324177,766466
15041,2256632,698921
15142,1979545,421834
15242,2254087,696376
15343,2302060,744349
15446,2204648,646937
15554,2372422,814711
15644,2343350,785639
15745,2362066,804355
15847,2151587,593876
15946,1985601,427890
16046,2402868,845157
16147,2123444,565733
16247,2207337,649626
16348,1719118,161407
16448,2630372,1072661
16548,2266846,709135
16649,2258601,700890
16749,2503966,946255
16850,1288413,0
16951,1968058,410347
17051,2424747,867036
17151,2846708,1288997
17251,2619053,1061342
17352,2202859,645148
17452,1912386,354675
17553,1656410,98699
17653,1772136,214425
17753,2356325,798614
17854,1995811,438100
17957,1895512,337801
18056,1964409,406698
18156,2460408,902697
18257,2312382,754671
18357,1475876,0
18457,2054786,497075
18558,1889486,331775
18659,2154173,596462
18758,2052857,495146
18860,1946707,388996
18961,2123930,566219
19060,2293071,735360
19162,1948578,390867
19262,2202406,644695
19361,2303722,746011
19462,2480170,922459
19565,2179806,622095
19662,2232189,674478
19763,2403307,845596
19863,2226203,668492
19964,2296830,739119
20064,2112556,554845
20164,2177554,619843
20264,2190353,632642
20364,2176012,618301
20465,2255351,697640
20570,1976324,418613
20666,2156044,598333
20767,2258762,701051
20867,1240612,0
20968,2188761,631050
21068,1979700,421989
21168,1980739,423028
21269,2157376,599665
21369,1857306,299595
21471,1427145,0
21574,2240183,682472
21679,2616505,1058794
21727,2351973,794262
21834,2158450,600739
21924,1943347,385636
22024,1969412,411701
22125,1249939,0
22226,2095787,538076
22326,2386819,829108
22426,1887061,329350
22526,2443832,886121
22628,2845148,1287437
22727,2314895,757184
22828,1713503,155792
22928,2345647,787936
23028,2385871,828160
23129,1564064,6353
23230,2151459,593748
23351,1355480,0
23440,2521352,963641
23538,2293200,735489
23638,2257691,699980
23733,2368301,810590
23834,2364155,806444
23935,1804887,247176
24036,1981992,424281
24138,1128201,0
24240,1922647,364936
24340,1720080,162369
24440,2075000,517289
24540,1764759,207048
24641,925568,0
24743,1365510,0
24842,1819896,262185
24943,1848237,290526
25043,1965373,407662
25143,1872880,315169
25244,1079461,0
25346,1924943,367232
25446,1700564,142853
25545,1771291,213580
25645,1523621,0
25747,1764121,206410
25851,1115114,0
25947,2029739,472028
26048,2036585,478874
26148,1946127,388416
26253,1984012,426301
26349,2131003,573292
26454,2061378,503667
26551,1343045,0
26650,1819671,261960
26753,1695704,137993
26852,1979224,421513
26953,1090872,0
27055,1823997,266286
27153,1919938,362227
27252,1654983,97272
27353,1518752,0
27455,974495,0
27555,1836393,278682
27655,1673714,116003
27755,2033791,476080
27860,2020319,462608
27958,1698533,140822
28059,1625551,67840
28161,2308780,751069
28262,1540446,0
28365,2404125,846414
28458,2186004,628293
28559,1990145,432434
28659,2140514,582803
28759,2268707,710996
28860,2004770,447059
28962,2256272,698561
29069,1954471,396760
29166,1659059,101348
29268,1713931,156220
29367,1600053,42342
29472,2144980,587269
29564,2088827,531116
29664,1933161,375450
29765,1146771,0
29865,1937042,379331
29966,1744323,186612
30066,1999767,442056
30166,2322422,764711
30266,1761608,203897
30367,1825490,267779
30467,1257738,0
30568,1954437,396726
30668,2079726,522015
30769,1904361,346650
30869,2129917,572206
30970,1503704,0
31070,1771412,213701
31170,2065651,507940
31270,1871793,314082
31371,2132221,574510
31471,2058709,500998
31572,2157280,599569
31673,2275094,717383
31773,1902472,344761
31873,1903721,346010
31974,1664354,106643
32074,2187771,630060
32182,2247811,690100
32274,2078409,520698
32376,2350239,792528
32475,1974979,417268
32581,2151552,593841
32676,1630815,73104
32777,1812746,255035
32877,1061846,0
32980,2629872,1072161
33078,2893619,1335908
33179,3659538,2101827
33282,3253861,1696150
33386,2468388,910677
33486,2514353,956642
33589,2008560,450849
33688,2018957,461246
33793,1601959,44248
33892,1741474,183763
33995,1870684,312973
34093,1910082,352371
34191,1598485,40774
34295,1828193,270482
34388,1878119,320408
34492,1182059,0
34592,1649347,91636
34696,1694840,137129
34793,2132216,574505
34892,2182407,624696
34993,1522758,0
35093,2024665,466954
35195,2261278,703567
35295,1603440,45729
35396,1064553,0
35496,1782693,224982
35597,1805929,248218
35700,1684906,127195
35806,1429139,0
35902,2172811,615100
35999,1873479,315768
36105,1837893,280182
36200,2256777,699066
36301,1437840,0
36402,1777249,219538
36503,1856120,298409
36602,1889296,331585
36701,1770084,212373
36804,1416269,0
36904,1919991,362280
37004,1814312,256601
37106,1867786,310075
37205,1708794,151083
37307,1795236,237525
37405,2075487,517776
37507,2138926,581215
37611,1887972,330261
37716,1508487,0
37815,2021376,463665
37913,2546869,989158
38008,2398108,840397
38114,1590980,33269
38210,1732497,174786
38333,1356851,0
38419,2011791,454080
38523,2131003,573292
38612,1775517,217806
38713,1765329,207618
38813,994623,0
38919,2151306,593595
39018,1570984,13273
39117,2018548,460837
39217,2201832,644121
39318,1814043,256332
39426,1900084,342373
39516,1781211,223500
39617,1613429,55718
39717,1629506,71795
39821,748961,0
39918,1840344,282633
40020,2091748,534037
40124,2060717,503006
40219,2076443,518732
40320,1986515,428804
40422,1105374,0
40521,2124822,567111
40628,2592012,1034301
40726,2732395,1174684
40826,1969760,412049
40927,1951412,393701
41028,1244146,0
41127,2370470,812759
41228,2037792,480081
41328,2135155,577444
41428,1871673,313962
41529,1224360,0
41630,2092887,535176
41729,2089868,532157
41830,1909864,352153
41930,2299923,742212
42033,2001268,443557
42131,1813183,255472
42231,1965947,408236
42332,1864359,306648
42433,2098822,541111
42534,1501024,0
42634,1954551,396840
42735,2122556,564845
42836,2386796,829085
42935,2469066,911355
43036,2131543,573832
43137,1896402,338691
43237,1300764,0
43344,2077655,519944
43439,1955764,398053
43489,1887346,329635
43594,1940026,382315
43695,2224341,666630
43794,2075844,518133
43895,2396423,838712
43998,2200754,643043
44099,1595448,37737
44198,2032824,475113
44297,1996973,439262
44400,1675452,117741
44501,1557712,1
44601,1894707,336996
44702,2158547,600836
44803,1864234,306523
44910,1545731,0
45009,2050730,493019
45109,2371714,814003
45208,1906286,348575
45306,1782319,224608
45414,1045295,0
45511,2149568,591857
45608,2243768,686057
45709,1850472,292761
45810,1963647,405936
45913,1953194,395483
46009,1656201,98490
46109,1732417,174706
46209,1842987,285276
46310,1804722,247011
46414,1008742,0
46512,2144892,587181
46612,2358482,800771
46712,2083752,526041
46813,1801852,244141
46914,2109033,551322
47015,1339702,0
47115,1659598,101887
47215,1948618,390907
47317,1920277,362566
47417,2030847,473136
47517,1678569,120858
47618,1190305,0
47718,1811518,253807
47818,2036809,479098
47919,2204814,647103
48019,2008203,450492
48120,1730230,172519
48221,2307609,749898
48324,2067192,509481
48425,2043490,485779
48526,2002694,444983
48626,1946202,388491
48727,1552111,0
48831,1400642,0
48923,2064397,506686
49024,1808349,250638
49124,1807366,249655
49231,1224332,0
49330,1677680,119969
49430,2273687,715976
49530,1759516,201805
49635,1877256,319545
49734,1762535,204824
49838,1626303,68592
49934,2202590,644879
50034,2292370,734659
50136,1798896,241185
50235,2287269,729558
50336,2315065,757354
50443,1944612,386901
50538,2439107,881396
50640,2324799,767088
50742,1818199,260488
50837,2108286,550575
50935,1972806,415095
51040,1425886,0
51141,2266418,708707
51246,1723060,165349
51347,1895672,337961
51444,1705892,148181
51558,1040588,0
51646,1995525,437814
51749,2044962,487251
51850,2166854,609143
51949,1837030,279319
52053,1534753,0
52145,1887369,329658
52247,1537697,0
52347,1666305,108594
52448,984469,0
52548,1775030,217319
52649,1983600,425889
52750,1943863,386152
52850,1821707,263996
52953,1004358,0
53050,1922353,364642
53151,1604793,47082
53253,1583282,25571
53351,2424638,866927
53453,2025941,468230
53554,1641003,83292
53654,2119152,561441
53756,2064340,506629
53854,2040061,482350
53957,1408709,0
54060,2096170,538459
54163,1739137,181426
54256,2064397,506686
54357,1772723,215012
54468,1358149,0
54566,1946881,389170
54658,1733854,176143
54760,2072925,515214
54860,1290061,0
54963,1247580,0
55060,2005979,448268
55161,1733854,176143
55262,1719514,161803
55365,1449733,0
55471,1969715,412004
55569,1779480,221769
55668,1928765,371054
55769,1947256,389545
55868,1646112,88401
55969,1598940,41229
56075,1620790,63079
56173,1680639,122928
56267,1718566,160855
56368,1642713,85002
56471,1264165,0
56575,2433129,875418
56669,2224863,667152
56769,2494043,936332
56870,2088631,530920
56970,2099688,541977
57071,2379322,821611
57171,2802357,1244646
57271,1566803,9092
57372,1983081,425370
57472,1910173,352462
57573,1702240,144529
57673,1489088,0
57774,980701,0
57874,1790396,232685
57974,2045337,487626
58074,2187532,629821
58175,1930616,372905
58278,2010694,452983
58381,1908237,350526
58482,2030129,472418
58582,1528716,0
58681,1809156,251445
58783,1765329,207618
58884,1799972,242261
58984,2244518,686807
59085,1576491,18780
59187,1221163,0
59287,1824194,266483
59388,1916314,358603
59488,1449389,0
59592,1670910,113199
59690,1606731,49020
59792,2085568,527857
59891,1844200,286489
59992,1872880,315169
60091,1578906,21195
60194,1214497,0
60293,1846909,289198
60393,1934996,377285
60494,1822689,264978
60544,2102100,544389
60645,1824277,266566
60746,1915677,357966
60846,1305090,0
60951,1957038,399327
61049,2043457,485746
61153,2057194,499483
61254,1964615,406904
61352,1689133,131422
61454,1504596,0
61549,1738868,181157
61650,1824910,267199
61750,1546822,0
61851,1137650,0
61952,2053295,495584
62054,2010596,452885
62152,2134523,576812
62252,2207653,649942
62353,1999307,441596
62456,1497879,0
62554,2363435,805724
62654,2203088,645377
62755,1848925,291214
62856,1814801,257090
62956,1428868,0
63057,1997940,440229
63157,1919525,361814
63259,1718307,160596
63364,1147075,0
63459,1950929,393218
63560,2027828,470117
63660,2228591,670880
63760,1889330,331619
63861,1691361,133650
63962,2233874,676163
64062,1809101,251390
64162,1800311,242600
64263,1903372,345661
64363,1017121,0
64465,2394064,836353
64565,1884202,326491
64666,1924882,367171
64768,1559769,2058
64870,2228475,670764
64973,1209230,0
65073,1920277,362566
65172,1900842,343131
65273,2154475,596764
65374,1778686,220975
65476,1175696,0
65576,1991978,434267
65676,1606604,48893
65776,1628379,70668
65877,1611963,54252
65979,1132403,0
66078,1768463,210752
66183,2016146,458435
66288,2054618,496907
66388,2065875,508164
66487,2116533,558822
66584,1806956,249245
66685,1581656,23945
66785,1773031,215320
66890,2082608,524897
66991,1930634,372923
67088,1879976,322265
67188,2213970,656259
67291,2000081,442370
67393,1994452,436741
67498,2247742,690031
67596,2028224,470513
67700,2157684,599973
67794,1960680,402969
67891,1960680,402969
67994,2050739,493028
68096,2011338,453627
68194,1491751,0
68290,1386663,0
68394,1629624,71913
68492,1622118,64407
68591,1673714,116003
68691,1732816,175105
68792,1721559,163848
68893,1718743,161032
68993,1792856,235145
69093,1567709,9998
69202,1589754,32043
69294,1907305,349594
69395,1707013,149302
69495,1637128,79417
69597,1007648,0
69701,1824007,266296
69797,1752985,195274
69898,1694355,136644
69998,1514238,0
70099,1576153,18442
70200,1073420,0
