Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
84,2193700,639296
184,2399871,845467
286,2222381,667977
386,2236721,682317
486,2258231,703827
587,2301252,746848
688,2150680,596276
788,1962669,408265
887,2412209,857805
984,4025752,2471348
1082,4027080,2472676
1183,3382914,1828510
1286,3946381,2391977
1385,4605160,3050756
1484,3338219,1783815
1585,3581413,2027009
1685,3235279,1680875
1785,3240186,1685782
1886,3161315,1606911
1992,2846641,1292237
2107,1492357,0
2198,1770781,216377
2303,1689026,134622
2396,1548359,0
2498,1799345,244941
2599,1447121,0
2700,1519630,0
2799,1942747,388343
2903,1935577,381173
3000,2372953,818549
3102,1720474,166070
3206,1584242,29838
3295,1792175,237771
3396,1409803,0
3496,1431220,0
3598,1142636,0
3705,2398989,844585
3805,1826731,272327
3906,1068344,0
4010,1716829,162425
4100,1706134,151730
4207,2927019,1372615
4307,3052937,1498533
4401,2946593,1392189
4502,3390671,1836267
4603,2179360,624956
4704,2244392,689988
4803,2265401,710997
4904,1995201,440797
5004,2342804,788400
5105,2206572,652168
5205,1937840,383436
5306,1561437,7033
5410,702669,0
5525,1010911,0
5622,1248120,0
5719,1540173,0
5818,1788929,234525
5918,1595157,40753
6018,1573035,18631
6120,1623693,69289
6220,1449812,0
6319,2430314,875910
6412,1749155,194751
6512,2450355,895951
6614,1242266,0
6714,1910755,356351
6814,2074453,520049
6920,1455768,0
7015,2041262,486858
7115,1651198,96794
7227,2947516,1393112
7322,3248867,1694463
7428,3289156,1734752
7520,4503136,2948732
7630,4616178,3061774
7728,4614470,3060066
7837,4089695,2535291
7923,4955841,3401437
8024,2969368,1414964
8127,2263439,709035
8224,4706573,3152169
8330,3502475,1948071
8429,3580129,2025725
8530,3618316,2063912
8624,4293211,2738807
8725,2103985,549581
8826,3025568,1471164
8927,3347649,1793245
9032,2793742,1239338
9133,3937714,2383310
9237,3424631,1870227
9329,3473954,1919550
9432,3440195,1885791
9533,2566200,1011796
9637,3268936,1714532
9731,3012456,1458052
9830,2390978,836574
9932,2259660,705256
10037,1767012,212608
10140,1552918,0
10238,1920119,365715
10338,637463,0
10441,2018043,463639
10540,2810039,1255635
10645,2514130,959726
10741,2473900,919496
10841,2028637,474233
10936,1537555,0
11042,1551494,0
11160,1096413,0
11245,2053472,499068
11345,1042911,0
11444,1665637,111233
11551,1869892,315488
11645,1645795,91391
11750,1346298,0
11848,1973330,418926
11947,2156534,602130
12048,3073068,1518664
12143,1064340,0
12246,1410465,0
12345,516573,0
12451,1434595,0
12547,1429564,0
12648,1204834,0
12750,1404943,0
12851,1252368,0
12951,983878,0
13049,1285794,0
13150,1879168,324764
13250,2249590,695186
13354,1772693,218289
13462,1220365,0
13552,2589610,1035206
13653,1851382,296978
13755,1912429,358025
13859,952892,0
13959,1004318,0
14060,1786868,232464
14164,1369140,0
14264,1620154,65750
14367,1935638,381234
14463,1605481,51077
14584,1002191,0
14666,2128591,574187
14769,1706195,151791
14861,1792175,237771
14962,1988737,434333
15064,1992999,438595
15170,1297499,0
15263,1034926,0
15364,1322994,0
15463,1507296,0
15565,1680290,125886
15665,1658817,104413
15715,1971079,416675
15816,1349429,0
15917,997899,0
16016,1119847,0
16118,608618,0
16218,984529,0
16318,1080379,0
16420,571576,0
16520,812371,0
16621,1226073,0
16721,2335282,780878
16821,1136942,0
16922,1142789,0
17023,1968673,414269
17123,762069,0
17225,1139232,0
17325,1085210,0
17426,643886,0
17529,1083151,0
17639,835937,0
17726,1244026,0
17828,1073883,0
17928,1172792,0
18027,1995811,441407
18128,1652512,98108
18229,1455230,0
18329,2392175,837771
18429,1485193,0
18532,664183,0
18630,1364843,0
18731,984828,0
18832,905957,0
18933,900329,0
19032,658447,0
19132,2117703,563299
19233,970488,0
19333,1667061,112657
19434,1672014,117610
19536,455308,0
19640,1374622,0
19744,911957,0
19846,1026658,0
19944,1681401,126997
20043,1201005,0
20146,1071542,0
20246,946866,0
20349,1166295,0
20446,1333772,0
20547,1394112,0
20647,1605753,51349
20749,2530695,976291
20841,2456851,902447
20950,1759989,205585
21042,1390689,0
21143,2242422,688018
21244,1896963,342559
21347,2158292,603888
21444,2076551,522147
21544,2015825,461421
21645,1421246,0
21747,1257818,0
21847,1303194,0
21959,1356068,0
22054,2661146,1106742
22153,2573715,1019311
22255,1512542,0
22361,1591565,37161
22458,2337102,782698
22550,2265401,710997
22650,1875698,321294
22751,1617035,62631
22857,1286060,0
22971,1205793,0
23053,1799345,244941
23154,2004718,450314
23255,2243891,689487
23354,1685838,131434
23455,1370467,0
23556,702417,0
23658,962560,0
23758,1013137,0
23859,2160724,606320
23959,1470247,0
24061,1192154,0
24161,1279876,0
24260,1424491,0
24361,838143,0
24462,1610507,56103
24562,1673157,118753
24664,1159506,0
24767,1520091,0
24864,653475,0
24965,1013127,0
25065,1411446,0
25165,1385723,0
25275,1689039,134635
25367,1472395,0
25466,1983878,429474
25568,1446568,0
25668,1322737,0
25769,1375920,0
25871,822979,0
25971,1063143,0
26072,1672083,117679
26172,1354461,0
26275,889881,0
26376,943309,0
26474,1302374,0
26575,917925,0
26675,1151032,0
26776,1699177,144773
26881,1925910,371506
26984,1925791,371387
27081,1816281,261877
27177,1111274,0
27285,1176392,0
27383,2083394,528990
27483,1523659,0
27585,1861728,307324
27691,1614384,59980
27788,1670284,115880
27880,1660498,106094
27980,1265293,0
28081,2056000,501596
28186,2402428,848024
28287,2517062,962658
28393,1429864,0
28491,834452,0
28591,1110580,0
28689,2064639,510235
28794,1548392,0
28884,1589448,35044
28984,1635687,81283
29084,1466129,0
29185,1384981,0
29285,1875866,321462
29386,1899727,345323
29486,1414903,0
29594,542177,0
29695,945437,0
29796,941879,0
29897,1181637,0
29989,1730518,176114
30090,973873,0
30190,1082304,0
30293,1398963,0
30400,1006945,0
30493,1652721,98317
30593,1431247,0
30693,1511569,0
30793,1398354,0
30894,1439240,0
30995,1867824,313420
31094,2073608,519204
31196,1423278,0
31296,1093921,0
31396,1117854,0
31497,998166,0
31602,1484270,0
31706,1151334,0
31804,1710082,155678
31904,2097267,542863
32007,1767443,213039
32107,1351577,0
32200,1600193,45789
32304,1365510,0
32405,1542266,0
32512,1011697,0
32609,1874994,320590
32703,1298613,0
32803,1694668,140264
32903,1836528,282124
33003,1347988,0
33105,894081,0
33204,1243936,0
33305,953429,0
33406,812217,0
33507,1092919,0
33608,800438,0
33708,1085368,0
33809,1967131,412727
33910,1796123,241719
34009,1473936,0
34109,2334815,780411
34210,1829358,274954
34311,2241925,687521
34417,1829709,275305
34519,1236856,0
34612,1352044,0
34714,751693,0
34816,721814,0
34915,953608,0
35015,1162768,0
35117,1975375,420971
35223,1065708,0
35324,1165622,0
35426,1201204,0
35524,1925185,370781
35629,1667061,112657
35723,1711882,157478
35827,2194356,639952
35928,1472395,0
36021,1064773,0
36122,857100,0
36222,1171574,0
36324,835723,0
36426,754614,0
36528,1169747,0
36624,1383450,0
36675,1204018,0
36775,1832839,278435
36875,2046002,491598
36982,2038832,484428
37082,1998755,444351
37183,1948634,394230
37281,2528547,974143
37383,1381680,0
37485,1130378,0
37589,1052561,0
37687,1201993,0
37780,1551768,0
37882,1239730,0
37982,1172711,0
38082,1311480,0
38183,740632,0
38286,964829,0
38383,2536582,982178
38484,2088277,533873
38585,1545135,0
38687,993072,0
38786,1295151,0
38886,1040921,0
38987,1137802,0
39099,1357114,0
39188,1157985,0
39289,879120,0
39391,1187672,0
39490,1503031,0
39590,873491,0
39691,2017322,462918
39791,1214271,0
39892,917473,0
39992,1455541,0
40093,1272418,0
40193,817204,0
40294,862110,0
40394,1560753,6349
40495,1744858,190454
40600,1157979,0
40695,937265,0
40805,1685956,131552
40896,1857432,303028
40997,1202228,0
41098,958270,0
41199,1744858,190454
41298,968244,0
41400,903413,0
41501,963257,0
41600,846051,0
41701,1530346,0
41800,1825888,271484
41901,1888121,333717
42001,1044420,0
42103,1882164,327760
42203,1836995,282591
42303,1153641,0
42405,996736,0
42504,1587727,33323
42605,1083097,0
42710,1222933,0
42808,1279800,0
42909,923507,0
43007,1236856,0
43107,1881090,326686
43207,1809389,254985
43308,1437618,0
43409,1319744,0
43510,988192,0
43610,1072971,0
43711,837152,0
43812,1013127,0
43911,1559977,5573
44012,1120105,0
44113,1882164,327760
44213,1105178,0
44313,1231924,0
44414,1293142,0
44515,1947162,392758
44615,1409733,0
44718,951057,0
44821,1133719,0
44922,1043263,0
45029,910886,0
45122,1953865,399461
45223,1664446,110042
45325,1764151,209747
45427,1682336,127932
45519,1064773,0
45619,933977,0
45720,1665987,111583
45821,1493905,0
45920,2060239,505835
46022,878478,0
46122,772548,0
46224,727693,0
46324,900956,0
46424,1566685,12281
46524,1446568,0
46626,931905,0
46730,896629,0
46826,395396,0
46932,1573443,19039
47037,1842336,287932
47128,1652721,98317
47229,1444112,0
47330,1706192,151788
47429,1044479,0
47530,1064427,0
47631,1010792,0
47732,1202633,0
47831,1544618,0
47939,1028234,0
48044,1011697,0
48140,1229685,0
48242,1494979,0
48343,1380257,0
48440,1387428,0
48542,1437618,0
48641,1667061,112657
48742,1129304,0
48847,954635,0
48943,1233256,0
49044,2219477,665073
49145,1579946,25542
49245,1279876,0
49345,1028923,0
49447,867074,0
49550,986762,0
49648,1066555,0
49753,901983,0
49848,1392937,0
49943,988834,0
50043,1845240,290836
50143,1710863,156459
50244,1412886,0
50344,1689574,135170
50445,1052561,0
50546,752935,0
50653,1571818,17414
50752,1760272,205868
50856,1136474,0
50953,1373555,0
51056,1200569,0
51154,1122134,0
51255,1688571,134167
51355,1939525,385121
51456,1499275,0
51558,814345,0
51662,838656,0
51762,796074,0
51859,1311952,0
51953,1466299,0
52053,1536627,0
52155,1213834,0
52254,1884968,330564
52354,1222515,0
52457,1058156,0
52556,1328366,0
52656,1357673,0
52757,982563,0
52858,867074,0
52957,1517424,0
53058,1308556,0
53161,1743248,188844
53264,1980619,426215
53368,1208175,0
53460,1337237,0
53561,1198907,0
53660,1544565,0
53760,2436015,881611
53860,2174453,620049
53961,1673276,118872
54063,1386337,0
54164,1484721,0
54268,1635774,81370
54364,1999683,445279
54464,2628139,1073735
54565,1436395,0
54665,1401471,0
54770,1462699,0
54873,1726325,171921
54976,2289175,734771
55075,2451824,897420
55176,2179360,624956
55277,1650648,96244
55378,1501038,0
55481,1694176,139772
55577,1209747,0
55672,651755,0
55772,1797479,243075
55872,1905613,351209
55974,1476675,0
56074,1495446,0
56177,868504,0
56277,1097906,0
56376,1307361,0
56477,2184243,629839
56580,1102158,0
56678,852113,0
56780,1845240,290836
56879,989126,0
56979,1072707,0
57079,1545690,0
57180,1931281,376877
57280,1823729,269325
57382,1181901,0
57483,782295,0
57584,1606400,51996
57694,877836,0
57793,871488,0
57896,1016684,0
57997,1261048,0
58047,1913598,359194
58143,1131363,0
58253,1061568,0
58350,942882,0
58443,1573850,19446
58544,1481621,0
58648,1233911,0
58749,1036093,0
58850,1136474,0
58945,1274471,0
59046,962021,0
59149,726073,0
59247,1476919,0
59347,1967131,412727
59448,1753102,198698
59548,1854816,300412
59648,1158482,0
59750,778738,0
59850,896996,0
59951,948442,0
60053,1036632,0
60151,888452,0
60252,794860,0
60353,834311,0
60453,1157598,0
60553,1551724,0
60659,1336881,0
60759,1715276,160872
60855,1750251,195847
60963,1667355,112951
61061,2065762,511358
61163,1335089,0
61265,981775,0
61365,1191230,0
61464,1731592,177188
61564,1336163,0
61672,1051593,0
61767,1308556,0
61860,1559510,5106
61960,1623685,69281
62061,1393956,0
62161,1077609,0
62262,2316387,761983
62363,1021753,0
62463,1187391,0
62564,1214037,0
62664,944153,0
62769,1333637,0
62867,1216935,0
62968,842139,0
63066,1018260,0
63168,868677,0
63269,789037,0
63368,2612440,1058036
63468,1458054,0
63570,1045908,0
63671,380388,0
63771,896996,0
63872,804082,0
63973,863649,0
64073,820403,0
64174,2122268,567864
64274,1887186,332782
64374,793699,0
64474,892009,0
64575,1262477,0
64675,2117703,563299
64782,1157985,0
64883,1495298,0
64982,1118534,0
65082,1278941,0
65187,1134245,0
65286,1041619,0
65392,1465551,0
65481,2123332,568928
65582,1510184,0
65691,1069560,0
65783,1446707,0
65885,1618810,64406
65985,1644875,90471
66085,1240841,0
66200,957628,0
66301,1279876,0
66387,1641394,86990
66487,1037270,0
66588,1536925,0
66687,1627710,73306
66788,1157985,0
66889,1228611,0
66994,1223562,0
67100,1416212,0
67200,2027575,473171
67292,1642935,88531
67392,1132612,0
67493,1855819,301415
67593,1324169,0
67695,913533,0
67795,729138,0
67896,1101784,0
67997,1485969,0
68097,983351,0
68198,713894,0
68299,742731,0
68399,1016421,0
68499,1748875,194471
68599,1062355,0
68700,1337347,0
68800,1535015,0
68901,696061,0
69005,1102833,0
69106,1971793,417389
69207,1564064,9660
69303,992537,0
69404,924003,0
69504,912745,0
69604,1015198,0
69705,1032433,0
69806,872061,0
69908,396340,0
70006,817344,0
70109,635767,0
70209,775770,0
70308,875113,0
70409,1461958,0
70510,1598542,44138
70611,1831973,277569
70711,1637307,82903
70811,1681660,127256
70912,970465,0
71012,1375749,0
71117,1811542,257138
71214,1702912,148508
71314,1035019,0
71415,796446,0
71515,1226139,0
71616,1287649,0
71730,928494,0
71823,1658608,104204
,,
,,
