datetime,cpu,mem
Fri Oct 21 08:05:59 GMT 2022,20,1353876
Fri Oct 21 08:06:00 GMT 2022,20,1377143
Fri Oct 21 08:06:02 GMT 2022,39,1358618
Fri Oct 21 08:06:04 GMT 2022,39,1392031
Fri Oct 21 08:06:06 GMT 2022,39,1404466
Fri Oct 21 08:06:08 GMT 2022,53,1425048
Fri Oct 21 08:06:10 GMT 2022,53,1439343
Fri Oct 21 08:06:12 GMT 2022,53,1436377
Fri Oct 21 08:06:14 GMT 2022,0,1463139
Fri Oct 21 08:06:16 GMT 2022,0,1468275
Fri Oct 21 08:06:18 GMT 2022,0,1463269
Fri Oct 21 08:06:20 GMT 2022,38,1464075
Fri Oct 21 08:06:21 GMT 2022,38,1465383
Fri Oct 21 08:06:23 GMT 2022,38,1464096
Fri Oct 21 08:06:24 GMT 2022,38,1464792
Fri Oct 21 08:06:26 GMT 2022,0,1462162
Fri Oct 21 08:06:27 GMT 2022,0,1463486
Fri Oct 21 08:06:29 GMT 2022,0,1465346
Fri Oct 21 08:06:31 GMT 2022,0,1457774
Fri Oct 21 08:06:32 GMT 2022,32,1465728
Fri Oct 21 08:06:34 GMT 2022,32,1467872
Fri Oct 21 08:06:36 GMT 2022,32,1468398
Fri Oct 21 08:06:38 GMT 2022,50,1459932
Fri Oct 21 08:06:39 GMT 2022,50,1460480
Fri Oct 21 08:06:41 GMT 2022,50,1461784
Fri Oct 21 08:06:43 GMT 2022,50,1461978
Fri Oct 21 08:06:44 GMT 2022,28,1460276
Fri Oct 21 08:06:46 GMT 2022,28,1461360
Fri Oct 21 08:06:48 GMT 2022,28,1465070
Fri Oct 21 08:06:50 GMT 2022,37,1462860
Fri Oct 21 08:06:51 GMT 2022,37,1462520
Fri Oct 21 08:06:53 GMT 2022,37,1460790
Fri Oct 21 08:06:54 GMT 2022,37,1466034
Fri Oct 21 08:06:56 GMT 2022,0,1464276
Fri Oct 21 08:06:58 GMT 2022,0,1464428
Fri Oct 21 08:07:00 GMT 2022,0,1465798
Fri Oct 21 08:07:01 GMT 2022,0,1466044
Fri Oct 21 08:07:03 GMT 2022,0,1464528
Fri Oct 21 08:07:05 GMT 2022,0,1466422
Fri Oct 21 08:07:07 GMT 2022,35,1464940
Fri Oct 21 08:07:08 GMT 2022,35,1466316
Fri Oct 21 08:07:10 GMT 2022,35,1466629
Fri Oct 21 08:07:12 GMT 2022,0,1463565
