datetime,cpu,mem
Fri Oct 21 08:11:40 GMT 2022,39,1361127
Fri Oct 21 08:11:41 GMT 2022,0,1360695
Fri Oct 21 08:11:43 GMT 2022,0,1343252
Fri Oct 21 08:11:45 GMT 2022,0,1347358
Fri Oct 21 08:11:46 GMT 2022,0,1332294
Fri Oct 21 08:11:48 GMT 2022,45,1334329
Fri Oct 21 08:11:49 GMT 2022,45,1332911
Fri Oct 21 08:11:51 GMT 2022,45,1332973
Fri Oct 21 08:11:52 GMT 2022,45,1331015
Fri Oct 21 08:11:54 GMT 2022,33,1327994
Fri Oct 21 08:11:56 GMT 2022,33,1327824
Fri Oct 21 08:11:58 GMT 2022,33,1330582
Fri Oct 21 08:12:00 GMT 2022,0,1321255
Fri Oct 21 08:12:01 GMT 2022,0,1321727
Fri Oct 21 08:12:03 GMT 2022,0,1324159
Fri Oct 21 08:12:05 GMT 2022,38,1322084
Fri Oct 21 08:12:07 GMT 2022,38,1321070
Fri Oct 21 08:12:08 GMT 2022,38,1321954
Fri Oct 21 08:12:10 GMT 2022,38,1324580
Fri Oct 21 08:12:12 GMT 2022,36,1322670
Fri Oct 21 08:12:14 GMT 2022,36,1323587
Fri Oct 21 08:12:16 GMT 2022,36,1324933
Fri Oct 21 08:12:18 GMT 2022,38,1323115
Fri Oct 21 08:12:20 GMT 2022,38,1321635
Fri Oct 21 08:12:21 GMT 2022,38,1324169
Fri Oct 21 08:12:23 GMT 2022,34,1324567
Fri Oct 21 08:12:25 GMT 2022,34,1323755
Fri Oct 21 08:12:27 GMT 2022,34,1325025
Fri Oct 21 08:12:29 GMT 2022,37,1324115
Fri Oct 21 08:12:31 GMT 2022,37,1325339
Fri Oct 21 08:12:33 GMT 2022,37,1325517
Fri Oct 21 08:12:34 GMT 2022,33,1325421
Fri Oct 21 08:12:37 GMT 2022,33,1324909
Fri Oct 21 08:12:39 GMT 2022,33,1325333
Fri Oct 21 08:12:41 GMT 2022,36,1323371
Fri Oct 21 08:12:43 GMT 2022,36,1324399
Fri Oct 21 08:12:45 GMT 2022,36,1327137
Fri Oct 21 08:12:47 GMT 2022,36,1325075
Fri Oct 21 08:12:49 GMT 2022,36,1326447
Fri Oct 21 08:12:51 GMT 2022,36,1326717
Fri Oct 21 08:12:52 GMT 2022,0,1326868
Fri Oct 21 08:12:54 GMT 2022,0,1304748
