datetime,cpu,mem
Fri Oct 21 08:45:49 GMT 2022,0,1270280
Fri Oct 21 08:45:51 GMT 2022,22,1269922
Fri Oct 21 08:45:52 GMT 2022,22,1243780
Fri Oct 21 08:45:54 GMT 2022,22,1299321
Fri Oct 21 08:45:56 GMT 2022,47,1312323
Fri Oct 21 08:45:57 GMT 2022,47,1299836
Fri Oct 21 08:45:59 GMT 2022,47,1298820
Fri Oct 21 08:46:00 GMT 2022,47,1301025
Fri Oct 21 08:46:02 GMT 2022,30,1295052
Fri Oct 21 08:46:04 GMT 2022,30,1296344
Fri Oct 21 08:46:05 GMT 2022,30,1295508
Fri Oct 21 08:46:07 GMT 2022,30,1298078
Fri Oct 21 08:46:08 GMT 2022,26,1295760
Fri Oct 21 08:46:10 GMT 2022,26,1297136
Fri Oct 21 08:46:12 GMT 2022,26,1297746
Fri Oct 21 08:46:14 GMT 2022,-17.5,1295985
Fri Oct 21 08:46:15 GMT 2022,-17.5,1296293
Fri Oct 21 08:46:17 GMT 2022,-17.5,1297597
Fri Oct 21 08:46:18 GMT 2022,-17.5,1297931
Fri Oct 21 08:46:20 GMT 2022,28,1296793
Fri Oct 21 08:46:22 GMT 2022,28,1294619
Fri Oct 21 08:46:23 GMT 2022,28,1292495
Fri Oct 21 08:46:25 GMT 2022,28,1293013
Fri Oct 21 08:46:27 GMT 2022,30,1291048
Fri Oct 21 08:46:29 GMT 2022,30,1290744
Fri Oct 21 08:46:31 GMT 2022,30,1292238
Fri Oct 21 08:46:32 GMT 2022,46,1288676
Fri Oct 21 08:46:34 GMT 2022,46,1290180
Fri Oct 21 08:46:35 GMT 2022,46,1293002
Fri Oct 21 08:46:37 GMT 2022,0,1291136
Fri Oct 21 08:46:39 GMT 2022,0,1290648
Fri Oct 21 08:46:41 GMT 2022,0,1292598
Fri Oct 21 08:46:42 GMT 2022,0,1292492
Fri Oct 21 08:46:44 GMT 2022,0,1291636
Fri Oct 21 08:46:46 GMT 2022,0,1293210
Fri Oct 21 08:46:48 GMT 2022,34,1291068
Fri Oct 21 08:46:50 GMT 2022,34,1291220
Fri Oct 21 08:46:51 GMT 2022,34,1291416
Fri Oct 21 08:46:53 GMT 2022,34,1293054
Fri Oct 21 08:46:55 GMT 2022,26,1287720
Fri Oct 21 08:46:56 GMT 2022,26,1288276
Fri Oct 21 08:46:58 GMT 2022,26,1291522
Fri Oct 21 08:47:00 GMT 2022,20,1292520
Fri Oct 21 08:47:01 GMT 2022,20,1294024
Fri Oct 21 08:47:03 GMT 2022,20,1280294
