Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
65,2242509,634429
167,1408395,0
267,2222381,614301
368,2286912,678832
468,2315592,707512
570,2444654,836574
662,2518324,910244
771,2929283,1321203
867,2621262,1013182
970,2848355,1240275
1071,1863876,255796
1174,2498903,890823
1267,2831491,1223411
1372,3822433,2214353
1472,4670299,3062219
1571,5203593,3595513
1672,3431372,1823292
1772,2740543,1132463
1897,2252120,644040
1986,2322808,714728
2081,1881872,273792
2179,1534052,0
2284,1476691,0
2375,2035958,427878
2477,2126025,517945
2577,1220737,0
2689,1105127,0
2784,1877853,269773
2888,2222381,614301
2987,2185062,576982
3081,4539268,2931188
3185,4266424,2658344
3288,3007741,1399661
3388,3324119,1716039
3489,3399457,1791377
3588,1976587,368507
3689,1917789,309709
3793,3942916,2334836
3892,4217738,2609658
3995,3981283,2373203
4087,3060885,1452805
4192,2139297,531217
4293,2651116,1043036
4387,2935272,1327192
4488,2561066,952986
4589,2759911,1151831
4689,2828449,1220369
4790,2478887,870807
4891,3273119,1665039
4991,2762392,1154312
5099,2585015,976935
5196,1897844,289764
5315,961320,0
5400,1885447,277367
5499,1526942,0
5606,1153975,0
5695,1913392,305312
5798,1197057,0
5897,1555982,0
5996,1428544,0
6102,1117641,0
6213,1354040,0
6310,1785005,176925
6405,1526969,0
6509,731349,0
6607,1830082,222002
6709,1539578,0
6809,1370020,0
6909,1784750,176670
7009,1731447,123367
7114,1454799,0
7215,1479734,0
7310,1792175,184095
7410,2027320,419240
7510,2566198,958118
7617,2394582,786502
7715,2006484,398404
7808,1393674,0
7913,1810454,202374
8015,1519712,0
8108,1641603,33523
8207,1640134,32054
8307,1575604,0
8412,1211543,0
8509,1231063,0
8611,1155675,0
8711,1253842,0
8814,1426958,0
8912,1577072,0
9012,1725001,116921
9114,1369140,0
9213,1085861,0
9320,995174,0
9428,1192323,0
9515,1691794,83714
9616,1070868,0
9728,1489934,0
9825,1677454,69374
9924,2137809,529729
10026,2009541,401461
10126,1894820,286740
10226,1440901,0
10325,1637741,29661
10435,1508680,0
10522,2394237,786157
10622,2185032,576952
10724,2011240,403160
10823,1756325,148245
10928,1094086,0
11033,1079529,0
11130,1684624,76544
11245,1204963,0
11333,1891794,283714
11431,1383480,0
11527,1698964,90884
11627,2369721,761641
11729,1132527,0
11828,1455181,0
11931,1295089,0
12031,1862407,254327
12130,1468727,0
12232,1686468,78388
12333,1442503,0
12433,1513219,0
12537,1355087,0
12633,536609,0
12736,1089326,0
12835,1386424,0
12937,1277257,0
13035,1852556,244476
13138,1310310,0
13236,1580130,0
13346,1500795,0
13443,1634433,26353
13549,1251905,0
13642,1849536,241456
13755,1275928,0
13845,1770665,162585
13947,1512542,0
14058,1197330,0
14153,2049297,441217
14246,1368334,0
14292,1240078,0
14410,1201766,0
14500,1649293,41213
14603,1777835,169755
14698,1318949,0
14803,1426500,0
14894,1555562,0
15000,1302706,0
15100,1713304,105224
15207,1361970,0
15295,1648773,40693
15425,1082598,0
15515,1381323,0
15605,1592730,0
15704,1369487,0
15811,1298908,0
15899,1849536,241456
16000,1406959,0
16101,1231552,0
16202,1716655,108575
16326,1101575,0
16412,1806515,198435
16508,1476691,0
16616,1368527,0
16712,1746075,137995
16814,1149472,0
16905,1975954,367874
17007,1347629,0
17108,1389181,0
17212,812511,0
17314,689297,0
17408,1567678,0
17509,1574429,0
17611,1123315,0
17710,1406762,0
17811,1753323,145243
17940,1183979,0
18023,1376334,0
18120,2052268,444188
18218,1347629,0
18326,1293933,0
18420,1677454,69374
18537,1094302,0
18630,1334223,0
18724,1906957,298877
18818,744335,0
18923,1018153,0
19019,1359461,0
19121,1580917,0
19220,1620726,12646
19320,1542924,0
19431,1439838,0
19530,1479734,0
19630,1464773,0
19734,1504669,0
19831,1547751,0
19941,1484721,0
20031,1770665,162585
20131,543458,0
20241,1323782,0
20334,1519712,0
20427,1683642,75562
20533,1128897,0
20628,509378,0
20729,1350072,0
20830,1446255,0
20932,928348,0
21033,896996,0
21135,1023247,0
21235,865393,0
21335,721839,0
21435,735599,0
21537,714003,0
21638,646557,0
21739,760148,0
21839,654368,0
21943,702187,0
22040,795403,0
22140,660067,0
22241,735793,0
22342,691685,0
22442,700563,0
22543,1425894,0
22645,1097899,0
22743,349090,0
22843,1023027,0
22943,1550274,0
23044,1403299,0
23146,1251251,0
23257,1259016,0
23361,2258211,650131
23456,1501036,0
23556,1674228,66148
23655,1813685,205605
23757,1526882,0
23855,1849536,241456
23957,1370020,0
24060,1541818,0
24160,927705,0
24258,930360,0
24360,1494695,0
24463,1504669,0
24561,1489708,0
24664,1519630,0
24764,1706134,98054
24858,1569902,0
24965,519544,0
25055,1586451,0
25160,1400663,0
25268,1444825,0
25365,1489708,0
25465,1579474,0
25569,1454799,0
25665,1951887,343807
25766,1944510,336430
25870,1188555,0
25969,1559526,0
26069,1439838,0
26170,1464773,0
26270,1384981,0
26370,1509656,0
26475,1370020,0
26573,1713304,105224
26664,1505371,0
26765,1331827,0
26869,1207719,0
26986,1313440,0
27078,1321970,0
27182,1244899,0
27278,798615,0
27377,988339,0
27480,1625947,17867
27577,1494233,0
27681,1412128,0
27783,1250031,0
27887,1174529,0
27982,1326765,0
28081,589188,0
28181,1554539,0
28282,1419890,0
28384,1469760,0
28483,1464773,0
28588,1389968,0
28684,1605753,0
28784,1534052,0
28878,1755758,147678
28984,1049683,0
29079,1494880,0
29179,1284083,0
29282,1330769,0
29381,1364443,0
29482,1239990,0
29583,1141168,0
29684,295840,0
29785,1123315,0
29886,1247802,0
29987,1265105,0
30087,1285191,0
30190,1246686,0
30288,1228832,0
30390,1144516,0
30490,1165718,0
30590,1562630,0
30702,1537508,0
30799,1444259,0
30900,1665609,57529
31001,1449812,0
31101,1589921,0
31201,1448591,0
31307,1489708,0
31404,1641603,33523
31444,1741985,133905
31545,1669381,61301
31646,1242110,0
31755,1288408,0
31846,1279526,0
31949,1494093,0
32049,1301368,0
32150,582146,0
32254,683378,0
32361,1399821,0
32458,1444825,0
32559,1474747,0
32660,1459786,0
32760,1375007,0
32861,1529604,0
32960,1407112,0
33062,3084261,1476181
33155,3705829,2097749
33254,2069959,461879
33355,1295215,0
33455,1414903,0
33556,1495417,0
33660,1462396,0
33774,765486,0
33865,934359,0
33965,1365426,0
34067,1414903,0
34168,2029305,421225
34268,1419890,0
34367,1591413,0
34470,1480639,0
34569,545119,0
34670,1421079,0
34770,1785005,176925
34874,1326119,0
34965,1679423,71343
35071,2083211,475131
35174,1679717,71637
35265,1972722,364642
35365,1869577,261497
35469,1176903,0
35574,1474747,0
35676,1484721,0
35775,1770665,162585
35875,1591413,0
35977,1469760,0
36076,1495695,0
36178,1464773,0
36282,1464773,0
36389,1379956,0
36484,1529604,0
36584,1506237,0
36683,1605753,0
36785,1159059,0
36877,437383,0
36977,1294216,0
37082,1078393,0
37185,877723,0
37279,941808,0
37380,1117854,0
37479,969032,0
37581,799729,0
37682,706633,0
37784,706192,0
37884,707307,0
37987,653252,0
38087,721814,0
38187,750373,0
38287,997936,0
38388,810669,0
38490,788923,0
38590,752337,0
38690,626471,0
38791,862944,0
38892,672765,0
38994,710606,0
39094,659849,0
39194,463403,0
39297,1281731,0
39396,928221,0
39498,918374,0
39597,862087,0
39699,942172,0
39799,988192,0
39897,1471190,0
39999,1205388,0
40098,375148,0
40201,1160138,0
40301,1363377,0
40404,1311820,0
40503,1148306,0
40603,1256008,0
40705,1286788,0
40804,1258360,0
40905,1494208,0
41011,1001467,0
41115,1441715,0
41215,1543011,0
41331,1300679,0
41414,2143510,535430
41515,1648773,40693
41654,1489901,0
41716,1856119,248039
41816,1627263,19183
41917,1534052,0
42021,1464773,0
42130,1376013,0
42222,1366163,0
42324,1479734,0
42420,1655943,47863
42522,924386,0
42622,1075514,0
42722,1504056,0
42815,1476691,0
42916,1455333,0
43018,1200275,0
43129,1248120,0
43226,1654280,46200
43326,619831,0
43431,1424877,0
43519,1632964,24884
43621,1207986,0
43721,1177408,0
43821,1563417,0
43935,1332834,0
44033,1474747,0
44129,1992938,384858
44230,1075173,0
44331,1577072,0
44432,1459786,0
44533,1429864,0
44633,1414903,0
44737,1595549,0
44833,1896789,288709
44927,1429864,0
45029,1344201,0
45129,1219453,0
45232,1255062,0
45333,1346624,0
45434,1150095,0
45535,1256729,0
45635,1039549,0
45740,693194,0
45844,1171263,0
45944,977770,0
46044,1027446,0
46145,966814,0
46246,926918,0
46347,996736,0
46450,921931,0
46546,1165155,0
46649,1066555,0
46748,915515,0
46854,805824,0
46949,911957,0
47052,782841,0
47155,1001723,0
47256,1011697,0
47356,1136373,0
47453,1011697,0
47558,862087,0
47656,1179495,0
47749,951853,0
47850,639068,0
47953,923868,0
48051,536676,0
48157,1495446,0
48251,974165,0
48366,841003,0
48459,1046606,0
48559,961827,0
48660,996736,0
48709,1221760,0
48811,921931,0
48912,976788,0
49012,1409916,0
49116,1359597,0
49216,1382579,0
49316,1339898,0
49415,1444825,0
49524,1439838,0
49618,1763495,155415
