datetime,cpu,mem
Fri Oct 21 08:51:32 GMT 2022,38,1291536
Fri Oct 21 08:51:33 GMT 2022,0,1293061
Fri Oct 21 08:51:35 GMT 2022,0,1243308
Fri Oct 21 08:51:37 GMT 2022,0,1283923
Fri Oct 21 08:51:39 GMT 2022,54,1300137
Fri Oct 21 08:51:40 GMT 2022,54,1293873
Fri Oct 21 08:51:42 GMT 2022,54,1315765
Fri Oct 21 08:51:44 GMT 2022,0,1289645
Fri Oct 21 08:51:46 GMT 2022,0,1290185
Fri Oct 21 08:51:49 GMT 2022,0,1292751
Fri Oct 21 08:51:51 GMT 2022,0.1,1286787
Fri Oct 21 08:51:54 GMT 2022,0.1,1290210
Fri Oct 21 08:51:56 GMT 2022,0.1,1292572
Fri Oct 21 08:51:58 GMT 2022,46,1289831
Fri Oct 21 08:52:00 GMT 2022,46,1272089
Fri Oct 21 08:52:03 GMT 2022,51,1268591
Fri Oct 21 08:52:06 GMT 2022,51,1262655
Fri Oct 21 08:52:09 GMT 2022,52,1262863
Fri Oct 21 08:52:11 GMT 2022,52,1265969
Fri Oct 21 08:52:14 GMT 2022,52,1260783
Fri Oct 21 08:52:17 GMT 2022,52,1264487
Fri Oct 21 08:52:20 GMT 2022,51,1264329
Fri Oct 21 08:52:22 GMT 2022,51,1261835
Fri Oct 21 08:52:25 GMT 2022,52,1263509
Fri Oct 21 08:52:28 GMT 2022,52,1264147
Fri Oct 21 08:52:31 GMT 2022,50,1262815
Fri Oct 21 08:52:33 GMT 2022,50,1265487
Fri Oct 21 08:52:36 GMT 2022,51,1263105
Fri Oct 21 08:52:39 GMT 2022,51,1266713
Fri Oct 21 08:52:42 GMT 2022,49,1265697
Fri Oct 21 08:52:44 GMT 2022,49,1245421
