Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
6,5290594,1868452
96,4627095,1204953
186,4700505,1278363
287,3999667,577525
385,4096786,674644
489,4745128,1322986
587,4676669,1254527
687,4246871,824729
789,3227097,0
889,3063235,0
999,2917654,0
1098,3193194,0
1202,3930082,507940
1299,3774750,352608
1402,3020361,0
1497,4086230,664088
1601,3993067,570925
1702,4659512,1237370
1801,3860586,438444
1898,3823590,401448
1999,4241038,818896
2107,3744035,321893
2207,2858305,0
2305,2242438,0
2410,4143005,720863
2507,2475487,0
2608,2718948,0
2712,1916391,0
2808,3185935,0
2908,2319028,0
3009,3854625,432483
3111,2877320,0
3211,3009359,0
3305,3595945,173803
3407,2512682,0
3505,2528432,0
3609,1690094,0
3706,1896079,0
3809,2060690,0
3907,2118534,0
4012,1688620,0
4124,1256198,0
4216,2344843,0
4315,3128865,0
4417,2980611,0
4516,2498707,0
4616,3011658,0
4717,3224248,0
4816,3731356,309214
4914,2854774,0
5018,3554341,132199
5121,3321905,0
5218,3335130,0
5319,2999756,0
5417,3530039,107897
5520,3744426,322284
5618,3117690,0
5720,3101528,0
5824,2019487,0
5926,1704690,0
6024,2536378,0
6132,2283990,0
6225,2369899,0
6327,2103251,0
6422,3270365,0
6523,2001964,0
6624,2020220,0
6730,1024704,0
6833,2305496,0
6931,2335634,0
7033,1299226,0
7137,2086077,0
7232,2207238,0
7326,1867815,0
7427,1747686,0
7527,1484721,0
7629,1197390,0
7729,1226066,0
7831,1369878,0
7954,1194730,0
8039,2265401,0
8139,1634433,0
8238,1921237,0
8343,1595549,0
8443,1660350,0
8539,879697,0
8643,1270176,0
8734,1659822,0
8842,2329555,0
8936,2363139,0
9036,3740895,318753
9137,3143101,0
9237,3240044,0
9337,3114420,0
9439,2900786,0
9551,3132492,0
9639,3065698,0
9746,2780864,0
9847,3538925,116783
9948,3624966,202824
10048,3162913,0
10152,3048813,0
10250,3388628,0
10352,2643882,0
10452,2630004,0
10552,2364982,0
10646,3128786,0
10748,1744567,0
10848,1989327,0
10948,2729056,0
11053,2287289,0
11157,2609458,0
11255,1952886,0
11356,1419720,0
11455,2257759,0
11552,1511845,0
11651,1827329,0
11753,1198165,0
11853,1638127,0
11953,2435922,0
12054,1309163,0
12156,849670,0
12255,1393524,0
12356,1452893,0
12456,2068586,0
12557,1810324,0
12658,1381451,0
12758,886234,0
12859,1661802,0
12959,1441293,0
13059,1832497,0
13160,1738589,0
13260,1921743,0
13360,2132042,0
13461,2599569,0
13562,2446452,0
13662,2043524,0
13763,1640976,0
13863,2353189,0
13963,2540686,0
14064,2319835,0
14165,1646642,0
14271,680667,0
14366,920415,0
14467,1215793,0
14568,799480,0
14670,991998,0
14770,1106720,0
14880,798322,0
14927,1512132,0
15025,1193835,0
15142,631043,0
15234,931267,0
15335,828675,0
15433,920736,0
15531,1129515,0
15625,1315727,0
15725,1242952,0
15826,1866750,0
15926,2173990,0
16027,2104507,0
16127,1617338,0
16228,1831973,0
16329,1515415,0
16429,1027849,0
16530,1860654,0
16630,2342221,0
16732,2295183,0
16832,2573742,0
16932,2331968,0
17033,1768416,0
17133,2166121,0
17233,2511220,0
17334,2246931,0
17434,1470528,0
17539,2208068,0
17646,1699343,0
17741,1829127,0
17836,891187,0
17937,605404,0
18041,993612,0
18137,1351179,0
18238,1111438,0
18338,1097906,0
18455,1136991,0
18546,1552340,0
18644,1423278,0
18741,595090,0
18842,734088,0
18943,705698,0
19044,766745,0
19144,916639,0
19245,910282,0
19345,1511186,0
19445,2132043,0
19546,1873920,0
19646,1795049,0
19747,1665987,0
19847,1873920,0
19947,1909770,0
20048,1694946,0
20162,1531288,0
20250,2581589,0
20350,2424642,0
20452,2502042,0
20552,2485623,0
20654,2431415,0
20752,2540368,0
20852,2297122,0
20954,2539433,0
21053,1986869,0
21155,1276950,0
21255,1318715,0
21359,702351,0
21455,790873,0
21557,760507,0
21657,839225,0
21757,759717,0
21858,781603,0
21958,811933,0
22059,795086,0
22162,679662,0
22265,1463543,0
22368,991749,0
22469,1126399,0
22569,991749,0
22669,1340361,0
22776,1588190,0
22872,2032736,0
22967,1853484,0
23065,2468985,0
23165,2203691,0
23265,2124820,0
23366,2176085,0
23467,2433135,0
23566,2291741,0
23667,2355338,0
23768,2297977,0
23867,2514014,0
23968,2211936,0
24068,2215238,0
24169,2014754,0
24275,2259681,0
24383,1999479,0
24471,2267577,0
24571,1321374,0
24671,1615351,0
24772,928348,0
24873,936688,0
24975,926918,0
25075,825995,0
25176,1003288,0
25276,861638,0
25378,845011,0
25478,937099,0
25579,843833,0
25700,705287,0
25793,1043458,0
25887,1251196,0
25990,1258366,0
26082,1199931,0
26183,1364843,0
26283,1838069,0
26388,1883876,0
26494,1871017,0
26586,1767910,0
26687,1922569,0
26788,2933266,0
26889,3054083,0
26988,3111444,0
27090,3120623,0
27189,1861521,0
27290,3312207,0
27392,2989552,0
27490,3099113,0
27592,3012137,0
27692,2955711,0
27791,3245205,0
27894,3381437,0
27991,3026154,0
28092,2546912,0
28192,1380154,0
28294,782773,0
28393,1008910,0
28499,1172315,0
28601,675575,0
28705,1156321,0
28802,1086503,0
28903,1215793,0
29003,1360128,0
29104,1494979,0
29204,1416108,0
29304,1315727,0
29405,993072,0
29505,1208175,0
29607,1288965,0
29707,1229685,0
29809,1932355,0
29904,1929739,0
30005,1400694,0
30105,1840078,0
30205,1609700,0
30306,1823729,0
30406,1845240,0
30510,1870342,0
30607,3198102,0
30709,3089337,0
30808,3059722,0
30909,3139528,0
31010,2959341,0
31110,2288469,0
31210,3482758,60616
31312,3089337,0
31410,3017169,0
31511,2846559,0
31612,2480476,0
31713,1193805,0
31814,761985,0
31914,788923,0
32015,1945698,0
32119,2828616,0
32224,2579324,0
32316,1258366,0
32416,1265536,0
32517,1085283,0
32621,859337,0
32718,1189997,0
32818,1077958,0
32919,822860,0
33020,763674,0
33119,1046909,0
33219,1816559,0
33320,1624041,0
33421,1723348,0
33521,1730518,0
33623,1523659,0
33723,1003288,0
33822,1553513,0
33923,1780709,0
34024,1916940,0
34124,1809389,0
34224,2061884,0
34326,1724876,0
34426,2427546,0
34526,2200251,0
34633,2187333,0
34728,2144032,0
34828,2285483,0
34927,2556607,0
35028,2377216,0
35128,1638835,0
35230,1289730,0
35342,747547,0
35440,1021579,0
35539,1170763,0
35640,1255193,0
35741,1121793,0
35842,1076529,0
35943,1186243,0
36048,1003885,0
36146,1344407,0
36243,1178144,0
36347,1174657,0
36445,1210618,0
36547,1104267,0
36646,1082684,0
36748,1503348,0
36850,1853484,0
36942,1724422,0
37043,1249048,0
37143,2039208,0
37244,2015758,0
37344,2087250,0
37444,2265428,0
37545,1359498,0
37655,2213792,0
37755,2467265,0
37855,2603497,0
37954,2209142,0
38057,2319487,0
38160,2254956,0
38250,2395743,0
38301,2482251,0
38402,2219106,0
38500,2596973,0
38601,1950590,0
38702,1361359,0
38805,982804,0
38910,950291,0
39012,1056580,0
39107,1142620,0
39208,1457150,0
39310,1637943,0
39412,1249565,0
39513,1066555,0
39613,458804,0
39714,1056580,0
39814,1096477,0
39917,1169049,0
40015,1129304,0
40115,1146347,0
40222,1076529,0
40316,1982545,0
40418,1487809,0
40512,1284431,0
40613,1945621,0
40713,1787879,0
40818,3456720,34578
40919,2954722,0
41014,3107630,0
41115,3183886,0
41217,2223465,0
41316,3278639,0
41417,2819753,0
41518,3235618,0
41619,3049196,0
41719,3172161,0
41819,3141265,0
41919,3098245,0
42019,3005033,0
42120,2798901,0
42221,1156192,0
42324,810362,0
42422,831398,0
42523,734872,0
42623,784393,0
42723,816025,0
42824,487776,0
42929,1204575,0
43032,1139269,0
43126,1097591,0
43227,811452,0
43327,927302,0
43428,785425,0
43530,940921,0
43637,1330866,0
43731,2607606,0
43833,2035938,0
43934,1609700,0
44034,1809389,0
44134,1945621,0
44235,1868291,0
44336,2074683,0
44436,1968205,0
44538,1797058,0
44638,2585993,0
44739,2398497,0
44839,2600801,0
44941,2425914,0
45044,2193452,0
45141,2389497,0
45242,2698567,0
45342,2464102,0
45443,2455857,0
45543,2190564,0
45643,1830437,0
45744,1828229,0
45844,1016977,0
45945,1076529,0
46045,904792,0
46146,924491,0
46246,816378,0
46347,785473,0
46448,771433,0
46561,876924,0
46658,930585,0
46759,1216165,0
46860,1165155,0
46951,1311273,0
47053,921280,0
47156,1867852,0
47263,1394598,0
47353,1910844,0
47454,1707466,0
47555,1800141,0
47655,1774613,0
47756,1933289,0
47856,1896504,0
47957,1974301,0
48057,1983013,0
48158,1858506,0
48260,1767443,0
48359,3117150,0
48458,3051077,0
48562,2917928,0
48660,3382443,0
48761,3359859,0
48862,3182755,0
48962,3138660,0
49062,2419851,0
49162,1724717,0
49263,1154365,0
49363,1102893,0
49464,1137802,0
49566,881368,0
49666,727280,0
49766,695281,0
49867,735177,0
49968,800008,0
50068,706586,0
50169,832007,0
50270,836621,0
50370,635437,0
50471,804995,0
50570,1004633,0
50670,1072971,0
50772,1412088,0
50871,1753102,0
50971,1484656,0
51072,1358747,0
51172,2154450,0
51279,3360866,0
51378,2338343,0
51477,2227052,0
51580,2318911,0
51674,2173291,0
51775,1363251,0
51875,2137073,0
51976,2158951,0
52076,2114856,0
52176,1907661,0
52277,1337243,0
52378,1964256,0
52480,2956504,0
52579,2265281,0
52686,1585021,0
52787,1071923,0
52886,1294238,0
52987,1474712,0
53087,1094975,0
53192,864946,0
53288,1210164,0
53390,1041619,0
53495,739959,0
53590,1420176,0
53690,1074009,0
53786,887587,0
53887,712454,0
53987,689472,0
54091,705362,0
54188,634331,0
54293,1297005,0
54390,1407985,0
54492,1286094,0
54591,1305538,0
54691,816793,0
54791,1773031,0
54892,2267748,0
54992,2175611,0
55093,2225802,0
55193,1398652,0
55294,2049099,0
55395,1980196,0
55499,2117176,0
55596,1974848,0
55697,2011773,0
55815,1382385,0
55902,2164955,0
56003,2135966,0
56105,1610386,0
56212,1584729,0
56306,1322897,0
56406,1141360,0
56530,457218,0
56610,788044,0
56715,787968,0
56808,846157,0
56912,736833,0
57007,1045329,0
57110,770086,0
57212,901825,0
57312,832007,0
57413,1003760,0
57513,836994,0
57614,797098,0
57715,559377,0
57814,1348049,0
57918,1568746,0
58019,1403834,0
58123,1798189,0
58212,1705242,0
58312,1862720,0
58415,1787761,0
58513,1521748,0
58629,2666822,0
58713,3289487,0
58813,2909472,0
58914,3073310,0
59015,3089192,0
59115,3252563,0
59215,3239296,0
59316,3175700,0
59417,3030290,0
59517,2631904,0
59618,2055278,0
59718,1235451,0
59819,846222,0
59920,398801,0
59971,531880,0
60072,526824,0
60172,258795,0
60273,607739,0
60373,618250,0
60479,698620,0
60583,935241,0
60681,876890,0
60781,1311375,0
60884,1112878,0
60976,1002308,0
61076,763395,0
61177,675333,0
61278,1382999,0
61378,2752754,0
61478,2819551,0
61577,2977696,0
61677,3049947,0
61778,3285486,0
61879,2204904,0
61985,2321167,0
62088,2134277,0
62185,2421081,0
62297,1511587,0
62393,2371997,0
62482,2056513,0
62582,2206011,0
62682,1314905,0
62783,2276498,0
62883,2056981,0
62988,2174457,0
63090,1646058,0
63185,1549839,0
63285,933405,0
63386,835372,0
63486,924491,0
63589,758737,0
63689,628895,0
63790,859852,0
63890,635437,0
63990,775073,0
64091,854865,0
64194,804995,0
64291,1217713,0
64393,516865,0
64494,480550,0
64592,786859,0
64693,775442,0
64795,1525359,0
64895,1954800,0
64995,1866750,0
65096,1817633,0
65196,3124643,0
65299,2789806,0
65401,3088988,0
65506,2803062,0
65597,2982315,0
65699,3302821,0
65799,3082696,0
65902,3196343,0
66004,3205055,0
66105,3089866,0
66205,2529349,0
66306,3208947,0
66406,2942718,0
66507,3151586,0
66609,2653363,0
66710,1158827,0
66810,636940,0
66911,505714,0
67011,657949,0
67112,498269,0
67213,549072,0
67313,622914,0
67414,505332,0
67514,558791,0
67615,542370,0
67718,988653,0
67823,1228352,0
67917,980798,0
68023,932580,0
68123,973584,0
68218,901825,0
68319,1438543,0
68420,1788000,0
68522,1651768,0
68619,2130099,0
68720,1838069,0
68820,1954332,0
68922,3313025,0
69022,3047731,0
69123,3305855,0
69224,3492277,70135
69323,3198771,0
69424,3485107,62965
69525,3327365,0
69625,3235228,0
69726,3198303,0
69825,3370385,0
69930,3238383,0
70028,2715175,0
70132,2682129,0
70226,1806502,0
70327,898426,0
70428,961827,0
70528,1033075,0
70630,913375,0
70730,670346,0
70831,914709,0
70933,702345,0
71032,851209,0
71132,742241,0
71232,879800,0
71334,512092,0
71434,623808,0
71534,673055,0
71634,686188,0
71739,848835,0
71835,1594408,0
71935,1346738,0
72036,1580067,0
72137,1426212,0
72236,1494026,0
72338,765099,0
72438,1694789,0
72542,1615537,0
72642,2128907,0
72738,2209730,0
72840,2991995,0
72940,3006335,0
73041,2705191,0
,,
,,
,,
,,
