datetime,cpu,mem
Fri Oct 28 18:18:49 GMT 2022,0,1277286
Fri Oct 28 18:18:50 GMT 2022,4.7,1275970
Fri Oct 28 18:18:52 GMT 2022,4.7,1293261
Fri Oct 28 18:18:53 GMT 2022,4.7,1303343
Fri Oct 28 18:18:55 GMT 2022,4.7,1291554
Fri Oct 28 18:18:57 GMT 2022,0.3,1285165
Fri Oct 28 18:19:00 GMT 2022,0.3,1252805
Fri Oct 28 18:19:01 GMT 2022,0.3,1257240
Fri Oct 28 18:19:03 GMT 2022,0,1257055
Fri Oct 28 18:19:05 GMT 2022,0,1258395
Fri Oct 28 18:19:07 GMT 2022,0,1258788
Fri Oct 28 18:19:09 GMT 2022,30,1258447
Fri Oct 28 18:19:11 GMT 2022,30,1258135
Fri Oct 28 18:19:13 GMT 2022,30,1260519
Fri Oct 28 18:19:15 GMT 2022,44,1255576
Fri Oct 28 18:19:17 GMT 2022,44,1257232
Fri Oct 28 18:19:19 GMT 2022,44,1259853
Fri Oct 28 18:19:21 GMT 2022,32,1253515
Fri Oct 28 18:19:22 GMT 2022,32,1248289
Fri Oct 28 18:19:24 GMT 2022,32,1250018
Fri Oct 28 18:19:26 GMT 2022,35,1249181
Fri Oct 28 18:19:28 GMT 2022,35,1248261
Fri Oct 28 18:19:30 GMT 2022,35,1249210
Fri Oct 28 18:19:32 GMT 2022,58,1248561
Fri Oct 28 18:19:34 GMT 2022,58,1248733
Fri Oct 28 18:19:36 GMT 2022,58,1250272
Fri Oct 28 18:19:38 GMT 2022,31,1245971
Fri Oct 28 18:19:40 GMT 2022,31,1246487
Fri Oct 28 18:19:42 GMT 2022,31,1248432
Fri Oct 28 18:19:44 GMT 2022,26,1248179
Fri Oct 28 18:19:46 GMT 2022,26,1249907
Fri Oct 28 18:19:48 GMT 2022,26,1252440
Fri Oct 28 18:19:50 GMT 2022,28,1250083
Fri Oct 28 18:19:52 GMT 2022,28,1248955
Fri Oct 28 18:19:53 GMT 2022,28,1251272
Fri Oct 28 18:19:55 GMT 2022,33,1251563
Fri Oct 28 18:19:57 GMT 2022,33,1250427
Fri Oct 28 18:19:59 GMT 2022,33,1251694
Fri Oct 28 18:20:01 GMT 2022,32,1248969
Fri Oct 28 18:20:03 GMT 2022,32,1235915
